position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,19,False,False,False,67.096,0,1288,11310
2,12,17,False,False,False,67.134,0.038,1288,11310
3,44,22,False,False,False,67.211,0.115,1288,11310
4,81,17,False,False,False,67.344,0.248,1288,11310
5,1,20,False,False,False,67.36,0.264,1288,11310
6,3,16,False,False,False,67.369,0.273,1288,11310
7,16,24,False,False,False,67.452,0.356,1288,11310
8,6,27,False,False,False,67.912,0.816,1288,11310
9,30,21,False,False,False,68.031,0.935,1288,11310
10,41,24,False,False,False,68.109,1.013,1288,11310
11,10,16,False,False,False,68.193,1.097,1288,11310
12,27,22,False,False,False,68.303,1.207,1288,11310
13,5,22,False,False,False,68.311,1.215,1288,11310
14,43,18,False,False,False,68.394,1.298,1288,11310
15,87,19,False,False,False,68.529,1.433,1288,11310
16,31,15,False,False,False,68.707,1.611,1288,11310
17,55,27,False,False,False,68.843,1.747,1288,11310
18,23,25,False,False,False,68.992,1.896,1288,11310
19,11,29,False,False,False,69.532,2.436,1288,11310
20,77,24,False,False,False,69.74,2.644,1288,11310
21,14,21,False,False,False,70.421,3.325,1288,11310
22,18,19,False,False,False,70.567,3.471,1288,11310
