date,session_key,pit_duration,meeting_key,stop_duration,lane_duration,lap_number,driver_number
2026-08-21T14:30:24.009000+00:00,11344,,1292,,,1,12
2026-08-21T14:30:30.048000+00:00,11344,,1292,,,1,63
2026-08-21T14:30:32.720000+00:00,11344,,1292,,,1,11
2026-08-21T14:31:38.561000+00:00,11344,,1292,,,1,16
2026-08-21T14:31:43.409000+00:00,11344,,1292,,,1,44
2026-08-21T14:31:49.126000+00:00,11344,,1292,,,1,31
2026-08-21T14:31:52.331000+00:00,11344,,1292,,,1,87
2026-08-21T14:32:09.310000+00:00,11344,,1292,,,1,27
2026-08-21T14:32:30.364000+00:00,11344,,1292,,,1,1
2026-08-21T14:32:36.515000+00:00,11344,,1292,,,1,41
2026-08-21T14:32:41.048000+00:00,11344,,1292,,,1,55
2026-08-21T14:32:43.657000+00:00,11344,,1292,,,1,22
2026-08-21T14:32:49.686000+00:00,11344,,1292,,,1,23
2026-08-21T14:32:56.533000+00:00,11344,,1292,,,1,3
2026-08-21T14:33:05.834000+00:00,11344,,1292,,,1,30
2026-08-21T14:33:14.042000+00:00,11344,,1292,,,1,81
2026-08-21T14:33:54.468000+00:00,11344,,1292,,,1,77
2026-08-21T14:34:55.911000+00:00,11344,,1292,,,1,10
2026-08-21T14:34:57.508000+00:00,11344,,1292,,,1,43
2026-08-21T14:35:00.629000+00:00,11344,,1292,,,1,18
2026-08-21T14:35:01.690000+00:00,11344,,1292,,,1,5
2026-08-21T14:35:09.483000+00:00,11344,,1292,,,1,14
2026-08-21T14:36:27.604000+00:00,11344,97.4,1292,,97.4,4,12
2026-08-21T14:38:51.948000+00:00,11344,46.6,1292,,46.6,5,27
2026-08-21T14:38:59.369000+00:00,11344,142.0,1292,,142.0,4,31
2026-08-21T14:39:02.947000+00:00,11344,141.8,1292,,141.8,4,87
2026-08-21T14:39:10.145000+00:00,11344,17.8,1292,,17.8,5,55
2026-08-21T14:40:17.514000+00:00,11344,235.3,1292,,235.3,5,11
2026-08-21T14:49:06.046000+00:00,11344,350.1,1292,,350.1,8,27
2026-08-21T14:49:13.928000+00:00,11344,346.6,1292,,346.6,7,31
2026-08-21T14:49:22.273000+00:00,11344,345.8,1292,,345.8,8,23
2026-08-21T14:50:07.429000+00:00,11344,712.3,1292,,712.3,5,1
2026-08-21T14:50:22.245000+00:00,11344,657.2,1292,,657.2,5,81
2026-08-21T14:50:31.162000+00:00,11344,446.0,1292,,446.0,9,16
2026-08-21T14:50:35.288000+00:00,11344,514.3,1292,,514.3,8,44
2026-08-21T14:51:02.704000+00:00,11344,435.1,1292,,435.1,8,3
2026-08-21T14:51:35.422000+00:00,11344,462.9,1292,,462.9,8,30
2026-08-21T14:51:45.756000+00:00,11344,543.3,1292,,543.3,8,12
2026-08-21T14:51:51.052000+00:00,11344,475.4,1292,,475.4,10,63
2026-08-21T14:52:22.614000+00:00,11344,480.7,1292,,480.7,7,43
2026-08-21T14:55:10.895000+00:00,11344,711.0,1292,,711.0,8,22
2026-08-21T14:55:17.442000+00:00,11344,737.5,1292,,737.5,8,41
2026-08-21T14:55:31.642000+00:00,11344,668.4,1292,,668.4,7,5
2026-08-21T14:55:36.663000+00:00,11344,134.9,1292,,134.9,11,27
2026-08-21T14:55:43.475000+00:00,11344,124.3,1292,,124.3,10,31
2026-08-21T14:56:13.156000+00:00,11344,723.6,1292,,723.6,7,10
2026-08-21T14:56:19.972000+00:00,11344,148.2,1292,,148.2,11,23
2026-08-21T15:09:35.748000+00:00,11344,567.2,1292,,567.2,12,1
2026-08-21T15:09:39.045000+00:00,11344,720.1,1292,,720.1,12,12
2026-08-21T15:09:45.405000+00:00,11344,716.6,1292,,716.6,14,63
2026-08-21T15:09:50.285000+00:00,11344,806.0,1292,,806.0,13,16
2026-08-21T15:09:54.116000+00:00,11344,555.2,1292,,555.2,12,81
2026-08-21T15:10:01.491000+00:00,11344,805.9,1292,,805.9,12,44
2026-08-21T15:10:08.401000+00:00,11344,545.5,1292,,545.5,12,41
2026-08-21T15:10:16.970000+00:00,11344,805.7,1292,,805.7,12,3
2026-08-21T15:11:37.680000+00:00,11344,706.7,1292,,706.7,10,5
2026-08-21T15:12:10.553000+00:00,11344,696.7,1292,,696.7,10,10
