position,driver_number,lap_duration,meeting_key,session_key,source_closure_retrieved_utc
1,63,91.52,1280,11236,2026-07-25T23:35:16.232824Z
2,12,91.809,1280,11236,2026-07-25T23:35:16.232824Z
3,1,92.141,1280,11236,2026-07-25T23:35:16.232824Z
4,44,92.161,1280,11236,2026-07-25T23:35:16.232824Z
5,81,92.224,1280,11236,2026-07-25T23:35:16.232824Z
6,16,92.528,1280,11236,2026-07-25T23:35:16.232824Z
7,10,92.888,1280,11236,2026-07-25T23:35:16.232824Z
8,3,93.254,1280,11236,2026-07-25T23:35:16.232824Z
9,87,93.409,1280,11236,2026-07-25T23:35:16.232824Z
10,6,93.723,1280,11236,2026-07-25T23:35:16.232824Z
11,27,93.635,1280,11236,2026-07-25T23:35:16.232824Z
12,31,93.639,1280,11236,2026-07-25T23:35:16.232824Z
13,30,93.714,1280,11236,2026-07-25T23:35:16.232824Z
14,5,93.774,1280,11236,2026-07-25T23:35:16.232824Z
15,41,94.048,1280,11236,2026-07-25T23:35:16.232824Z
16,43,94.327,1280,11236,2026-07-25T23:35:16.232824Z
17,55,94.761,1280,11236,2026-07-25T23:35:16.232824Z
18,14,95.581,1280,11236,2026-07-25T23:35:16.232824Z
19,18,96.151,1280,11236,2026-07-25T23:35:16.232824Z
20,77,97.378,1280,11236,2026-07-25T23:35:16.232824Z
21,11,,1280,11236,2026-07-25T23:35:16.232824Z
22,23,95.305,1280,11236,2026-07-25T23:35:16.232824Z
1,1,87.869,1284,11271,2026-07-25T23:39:09.180228Z
2,12,88.091,1284,11271,2026-07-25T23:39:09.180228Z
3,81,88.108,1284,11271,2026-07-25T23:39:09.180228Z
4,16,88.239,1284,11271,2026-07-25T23:39:09.180228Z
5,3,88.461,1284,11271,2026-07-25T23:39:09.180228Z
6,63,88.493,1284,11271,2026-07-25T23:39:09.180228Z
7,44,88.618,1284,11271,2026-07-25T23:39:09.180228Z
8,43,89.32,1284,11271,2026-07-25T23:39:09.180228Z
9,6,89.422,1284,11271,2026-07-25T23:39:09.180228Z
10,10,89.474,1284,11271,2026-07-25T23:39:09.180228Z
11,5,89.994,1284,11271,2026-07-25T23:39:09.180228Z
12,27,90.019,1284,11271,2026-07-25T23:39:09.180228Z
13,87,90.116,1284,11271,2026-07-25T23:39:09.180228Z
14,55,90.224,1284,11271,2026-07-25T23:39:09.180228Z
15,30,91.043,1284,11271,2026-07-25T23:39:09.180228Z
16,31,91.245,1284,11271,2026-07-25T23:39:09.180228Z
17,11,91.255,1284,11271,2026-07-25T23:39:09.180228Z
18,23,91.322,1284,11271,2026-07-25T23:39:09.180228Z
19,77,91.826,1284,11271,2026-07-25T23:39:09.180228Z
20,14,101.311,1284,11271,2026-07-25T23:39:09.180228Z
21,18,,1284,11271,2026-07-25T23:39:09.180228Z
22,41,90.573,1284,11271,2026-07-25T23:39:09.180228Z
1,63,72.965,1285,11282,2026-07-25T23:40:09.929499Z
2,12,73.033,1285,11282,2026-07-25T23:40:09.929499Z
3,1,73.28,1285,11282,2026-07-25T23:40:09.929499Z
4,81,73.299,1285,11282,2026-07-25T23:40:09.929499Z
5,44,73.326,1285,11282,2026-07-25T23:40:09.929499Z
6,16,73.41,1285,11282,2026-07-25T23:40:09.929499Z
7,3,73.504,1285,11282,2026-07-25T23:40:09.929499Z
8,6,73.605,1285,11282,2026-07-25T23:40:09.929499Z
9,41,73.737,1285,11282,2026-07-25T23:40:09.929499Z
10,55,74.536,1285,11282,2026-07-25T23:40:09.929499Z
11,27,74.595,1285,11282,2026-07-25T23:40:09.929499Z
12,5,74.627,1285,11282,2026-07-25T23:40:09.929499Z
13,43,74.702,1285,11282,2026-07-25T23:40:09.929499Z
14,31,74.928,1285,11282,2026-07-25T23:40:09.929499Z
15,14,,1285,11282,2026-07-25T23:40:09.929499Z
16,11,76.002,1285,11282,2026-07-25T23:40:09.929499Z
17,18,76.354,1285,11282,2026-07-25T23:40:09.929499Z
18,30,,1285,11282,2026-07-25T23:40:09.929499Z
19,87,75.197,1285,11282,2026-07-25T23:40:09.929499Z
20,10,76.642,1285,11282,2026-07-25T23:40:09.929499Z
21,77,76.866,1285,11282,2026-07-25T23:40:09.929499Z
22,23,,1285,11282,2026-07-25T23:40:09.929499Z
1,63,74.679,1287,11303,2026-07-25T23:42:13.712627Z
2,44,74.743,1287,11303,2026-07-25T23:42:13.712627Z
3,12,74.998,1287,11303,2026-07-25T23:42:13.712627Z
4,1,75.001,1287,11303,2026-07-25T23:42:13.712627Z
5,3,75.021,1287,11303,2026-07-25T23:42:13.712627Z
6,6,75.077,1287,11303,2026-07-25T23:42:13.712627Z
7,81,75.09,1287,11303,2026-07-25T23:42:13.712627Z
8,30,76.542,1287,11303,2026-07-25T23:42:13.712627Z
9,27,76.657,1287,11303,2026-07-25T23:42:13.712627Z
10,16,,1287,11303,2026-07-25T23:42:13.712627Z
11,41,75.84,1287,11303,2026-07-25T23:42:13.712627Z
12,5,76.001,1287,11303,2026-07-25T23:42:13.712627Z
13,43,76.191,1287,11303,2026-07-25T23:42:13.712627Z
14,10,76.261,1287,11303,2026-07-25T23:42:13.712627Z
15,87,76.389,1287,11303,2026-07-25T23:42:13.712627Z
16,55,77.827,1287,11303,2026-07-25T23:42:13.712627Z
17,31,77.073,1287,11303,2026-07-25T23:42:13.712627Z
18,23,77.424,1287,11303,2026-07-25T23:42:13.712627Z
19,11,77.545,1287,11303,2026-07-25T23:42:13.712627Z
20,77,77.757,1287,11303,2026-07-25T23:42:13.712627Z
21,18,78.758,1287,11303,2026-07-25T23:42:13.712627Z
22,14,78.815,1287,11303,2026-07-25T23:42:13.712627Z
1,63,66.113,1288,11311,2026-07-25T23:43:13.568284Z
2,16,66.349,1288,11311,2026-07-25T23:43:13.568284Z
3,44,66.408,1288,11311,2026-07-25T23:43:13.568284Z
4,12,66.414,1288,11311,2026-07-25T23:43:13.568284Z
5,3,66.475,1288,11311,2026-07-25T23:43:13.568284Z
6,1,66.502,1288,11311,2026-07-25T23:43:13.568284Z
7,81,66.511,1288,11311,2026-07-25T23:43:13.568284Z
8,6,66.632,1288,11311,2026-07-25T23:43:13.568284Z
