date,session_key,meeting_key,pressure,humidity,air_temperature,track_temperature,wind_speed,wind_direction,rainfall
2026-07-24T11:17:29.625000+00:00,11335,1291,986.0,31.1,23.1,40.8,1.9,296,0
2026-07-24T11:18:29.640000+00:00,11335,1291,986.0,30.8,23.1,39.2,3.9,298,0
2026-07-24T11:19:29.638000+00:00,11335,1291,986.0,31.0,22.9,38.8,1.9,297,0
2026-07-24T11:20:29.641000+00:00,11335,1291,986.0,31.3,22.8,37.8,4.6,296,0
2026-07-24T11:21:29.639000+00:00,11335,1291,986.0,31.3,22.5,37.9,3.3,294,0
2026-07-24T11:22:29.642000+00:00,11335,1291,986.0,31.8,22.6,39.0,3.5,298,0
2026-07-24T11:23:29.649000+00:00,11335,1291,986.0,31.4,22.7,41.8,0.9,306,0
2026-07-24T11:24:29.639000+00:00,11335,1291,985.9,31.3,22.8,43.3,0.9,330,0
2026-07-24T11:25:29.639000+00:00,11335,1291,985.9,31.3,22.8,44.5,0.7,331,0
2026-07-24T11:26:29.655000+00:00,11335,1291,985.9,30.8,22.7,45.5,1.0,301,0
2026-07-24T11:27:29.639000+00:00,11335,1291,985.9,30.2,22.9,46.5,3.1,295,0
2026-07-24T11:28:29.638000+00:00,11335,1291,985.9,29.6,22.9,46.0,2.3,288,0
2026-07-24T11:29:29.640000+00:00,11335,1291,985.9,31.1,23.0,43.7,1.5,287,0
2026-07-24T11:30:29.641000+00:00,11335,1291,986.0,31.7,22.9,42.4,2.7,297,0
2026-07-24T11:31:29.639000+00:00,11335,1291,985.8,31.4,22.8,40.8,3.1,292,0
2026-07-24T11:32:29.636000+00:00,11335,1291,985.8,31.7,22.9,40.9,1.7,297,0
2026-07-24T11:33:29.654000+00:00,11335,1291,985.8,31.5,23.0,41.2,0.6,271,0
2026-07-24T11:34:29.653000+00:00,11335,1291,985.9,31.5,23.0,40.3,1.4,158,0
2026-07-24T11:35:29.656000+00:00,11335,1291,986.0,31.0,23.1,39.3,2.5,288,0
2026-07-24T11:36:29.648000+00:00,11335,1291,985.9,30.6,23.0,39.2,1.6,294,0
2026-07-24T11:37:29.640000+00:00,11335,1291,985.9,31.4,22.9,39.0,0.0,0,0
2026-07-24T11:38:29.654000+00:00,11335,1291,985.9,31.2,22.9,40.3,1.3,290,0
2026-07-24T11:39:29.669000+00:00,11335,1291,985.9,30.7,22.9,39.9,1.0,182,0
2026-07-24T11:40:29.669000+00:00,11335,1291,985.9,30.6,22.9,40.0,1.2,296,0
2026-07-24T11:41:29.668000+00:00,11335,1291,985.9,30.6,22.9,39.3,2.0,229,0
2026-07-24T11:42:29.694000+00:00,11335,1291,985.8,31.0,22.8,40.4,0.5,325,0
2026-07-24T11:43:29.682000+00:00,11335,1291,985.9,30.8,22.9,39.9,1.0,279,0
2026-07-24T11:44:29.710000+00:00,11335,1291,985.8,30.9,23.0,41.8,1.0,154,0
2026-07-24T11:45:29.708000+00:00,11335,1291,985.8,30.5,23.2,42.6,1.3,279,0
2026-07-24T11:46:29.701000+00:00,11335,1291,985.9,30.0,23.4,43.4,1.1,262,0
2026-07-24T11:47:29.708000+00:00,11335,1291,985.9,29.4,23.5,43.9,2.6,299,0
2026-07-24T11:48:29.710000+00:00,11335,1291,985.8,29.2,23.5,44.5,1.4,277,0
2026-07-24T11:49:29.704000+00:00,11335,1291,985.8,29.4,23.7,45.0,3.3,296,0
2026-07-24T11:50:29.704000+00:00,11335,1291,985.8,28.9,23.7,45.3,2.8,294,0
2026-07-24T11:51:29.713000+00:00,11335,1291,985.8,28.7,23.8,45.6,2.1,298,0
2026-07-24T11:52:29.709000+00:00,11335,1291,985.9,29.0,23.7,46.7,1.4,317,0
2026-07-24T11:53:29.713000+00:00,11335,1291,985.8,28.5,23.7,46.7,3.2,299,0
2026-07-24T11:54:29.700000+00:00,11335,1291,985.9,28.6,23.6,47.0,3.0,292,0
2026-07-24T11:55:29.722000+00:00,11335,1291,985.9,28.5,23.5,45.8,1.0,325,0
2026-07-24T11:56:29.709000+00:00,11335,1291,985.9,28.8,23.5,43.1,4.5,298,0
2026-07-24T11:57:29.716000+00:00,11335,1291,985.9,29.0,23.5,42.9,3.8,294,0
2026-07-24T11:58:29.703000+00:00,11335,1291,985.8,29.3,23.5,41.4,3.1,299,0
2026-07-24T11:59:29.709000+00:00,11335,1291,985.9,29.8,23.4,41.3,1.2,281,0
2026-07-24T12:00:29.716000+00:00,11335,1291,985.8,30.0,23.2,40.8,2.2,290,0
2026-07-24T12:01:29.721000+00:00,11335,1291,985.9,30.1,23.1,41.5,2.7,295,0
2026-07-24T12:02:29.719000+00:00,11335,1291,985.9,29.6,23.1,40.8,1.3,265,0
2026-07-24T12:03:29.732000+00:00,11335,1291,986.0,29.6,23.1,42.0,2.1,288,0
2026-07-24T12:04:29.745000+00:00,11335,1291,985.8,29.8,23.1,43.8,1.4,303,0
2026-07-24T12:05:29.770000+00:00,11335,1291,986.0,29.0,23.1,42.1,2.8,285,0
2026-07-24T12:06:29.778000+00:00,11335,1291,985.9,29.0,23.1,41.6,2.6,301,0
2026-07-24T12:07:29.780000+00:00,11335,1291,986.0,29.4,23.3,43.7,1.7,259,0
2026-07-24T12:08:29.782000+00:00,11335,1291,985.9,29.4,23.3,43.1,2.3,293,0
2026-07-24T12:09:29.801000+00:00,11335,1291,985.9,29.3,23.2,42.7,1.1,298,0
2026-07-24T12:10:29.808000+00:00,11335,1291,985.8,29.4,23.1,42.0,1.5,290,0
2026-07-24T12:11:29.809000+00:00,11335,1291,985.9,29.7,23.1,43.0,1.2,285,0
2026-07-24T12:12:29.812000+00:00,11335,1291,985.9,29.7,23.1,44.6,1.4,290,0
2026-07-24T12:13:29.819000+00:00,11335,1291,985.8,29.5,23.2,45.2,1.2,237,0
2026-07-24T12:14:29.809000+00:00,11335,1291,985.9,29.4,23.3,46.4,2.1,293,0
2026-07-24T12:15:29.800000+00:00,11335,1291,985.9,28.9,23.4,46.2,2.1,286,0
2026-07-24T12:16:29.811000+00:00,11335,1291,985.9,28.9,23.4,45.3,1.3,158,0
2026-07-24T12:17:29.809000+00:00,11335,1291,985.8,28.0,23.6,44.2,0.3,193,0
2026-07-24T12:18:29.790000+00:00,11335,1291,985.7,28.2,23.7,43.9,1.9,168,0
2026-07-24T12:19:29.809000+00:00,11335,1291,985.8,28.1,23.7,43.9,0.5,173,0
2026-07-24T12:20:29.807000+00:00,11335,1291,985.8,28.4,23.6,43.1,0.8,226,0
2026-07-24T12:21:29.807000+00:00,11335,1291,985.8,28.5,23.5,42.5,1.4,180,0
2026-07-24T12:22:29.827000+00:00,11335,1291,985.8,28.3,23.5,43.7,0.0,0,0
2026-07-24T12:23:29.807000+00:00,11335,1291,985.9,27.9,23.5,45.0,0.6,312,0
2026-07-24T12:24:29.812000+00:00,11335,1291,985.9,27.9,23.5,43.8,1.3,257,0
2026-07-24T12:25:29.826000+00:00,11335,1291,986.0,28.0,23.5,43.5,0.4,267,0
2026-07-24T12:26:29.812000+00:00,11335,1291,985.9,27.6,23.5,43.9,0.4,215,0
2026-07-24T12:27:29.808000+00:00,11335,1291,985.9,27.3,23.6,41.8,3.8,298,0
2026-07-24T12:28:29.808000+00:00,11335,1291,985.9,27.4,23.6,41.3,2.0,293,0
2026-07-24T12:29:29.816000+00:00,11335,1291,986.0,27.4,23.9,42.8,1.4,271,0
2026-07-24T12:30:29.823000+00:00,11335,1291,985.8,27.8,24.0,44.1,2.1,285,0
2026-07-24T12:31:29.806000+00:00,11335,1291,985.9,27.4,24.0,44.5,1.7,283,0
2026-07-24T12:32:29.808000+00:00,11335,1291,985.8,27.7,24.0,40.4,1.6,291,0
2026-07-24T12:33:29.806000+00:00,11335,1291,985.9,27.4,24.0,44.2,2.8,282,0
2026-07-24T12:34:29.824000+00:00,11335,1291,985.8,28.1,23.8,45.2,1.6,297,0
2026-07-24T12:35:29.822000+00:00,11335,1291,985.8,28.0,23.9,45.9,2.4,297,0
