date,session_key,lane_duration,stop_duration,meeting_key,lap_number,pit_duration,driver_number
2026-07-24T11:30:03.281000+00:00,11335,,,1291,1,,50
2026-07-24T11:30:09.211000+00:00,11335,,,1291,1,,31
2026-07-24T11:30:10.772000+00:00,11335,,,1291,1,,6
2026-07-24T11:30:14.200000+00:00,11335,,,1291,1,,25
2026-07-24T11:30:23.311000+00:00,11335,,,1291,1,,27
2026-07-24T11:30:24.869000+00:00,11335,,,1291,1,,11
2026-07-24T11:30:26.455000+00:00,11335,,,1291,1,,72
2026-07-24T11:30:29.069000+00:00,11335,,,1291,1,,5
2026-07-24T11:30:30.990000+00:00,11335,,,1291,1,,61
2026-07-24T11:30:34.043000+00:00,11335,,,1291,1,,16
2026-07-24T11:30:38.137000+00:00,11335,,,1291,1,,23
2026-07-24T11:30:40.064000+00:00,11335,,,1291,1,,55
2026-07-24T11:30:43.111000+00:00,11335,,,1291,1,,14
2026-07-24T11:30:46.392000+00:00,11335,,,1291,1,,18
2026-07-24T11:30:50.752000+00:00,11335,,,1291,1,,30
2026-07-24T11:30:53.625000+00:00,11335,,,1291,1,,44
2026-07-24T11:30:55.558000+00:00,11335,,,1291,1,,67
2026-07-24T11:31:03.483000+00:00,11335,,,1291,1,,1
2026-07-24T11:31:08.104000+00:00,11335,,,1291,1,,41
2026-07-24T11:32:19.048000+00:00,11335,,,1291,1,,63
2026-07-24T11:32:23.546000+00:00,11335,,,1291,1,,10
2026-07-24T11:32:43.849000+00:00,11335,36.9,,1291,2,36.9,27
2026-07-24T11:32:58.637000+00:00,11335,,,1291,1,,3
2026-07-24T11:34:03.381000+00:00,11335,30.0,,1291,2,30.0,5
2026-07-24T11:36:29.281000+00:00,11335,47.7,,1291,4,47.7,61
2026-07-24T11:36:38.502000+00:00,11335,33.3,,1291,3,33.3,5
2026-07-24T11:37:00.869000+00:00,11335,57.3,,1291,4,57.3,55
2026-07-24T11:38:17.004000+00:00,11335,50.7,,1291,4,50.7,63
2026-07-24T11:39:56.237000+00:00,11335,329.5,,1291,3,329.5,27
2026-07-24T11:40:23.423000+00:00,11335,29.4,,1291,6,29.4,30
2026-07-24T11:40:39.450000+00:00,11335,70.0,,1291,6,70.0,18
2026-07-24T11:42:35.108000+00:00,11335,430.8,,1291,4,430.8,50
2026-07-24T11:43:03.719000+00:00,11335,50.0,,1291,7,50.0,10
2026-07-24T11:45:47.669000+00:00,11335,19.6,,1291,10,19.6,16
2026-07-24T11:45:48.966000+00:00,11335,651.7,,1291,4,651.7,31
2026-07-24T11:46:30.826000+00:00,11335,16.7,,1291,9,16.7,5
2026-07-24T11:47:53.581000+00:00,11335,671.3,,1291,5,671.3,6
2026-07-24T11:48:41.872000+00:00,11335,26.0,,1291,8,26.0,27
2026-07-24T11:48:46.450000+00:00,11335,561.6,,1291,6,561.6,72
2026-07-24T11:49:40.141000+00:00,11335,430.6,,1291,8,430.6,23
2026-07-24T11:50:00.666000+00:00,11335,409.3,,1291,8,409.3,67
2026-07-24T11:51:35.766000+00:00,11335,25.9,,1291,12,25.9,5
2026-07-24T11:51:53.625000+00:00,11335,49.6,,1291,12,49.6,10
2026-07-24T11:52:10.136000+00:00,11335,54.1,,1291,9,54.1,50
2026-07-24T11:54:49.312000+00:00,11335,17.9,,1291,9,17.9,31
2026-07-24T11:55:27.222000+00:00,11335,437.0,,1291,10,437.0,63
2026-07-24T11:55:37.079000+00:00,11335,494.8,,1291,10,494.8,1
2026-07-24T11:56:34.766000+00:00,11335,627.8,,1291,9,627.8,3
2026-07-24T11:57:56.059000+00:00,11335,472.0,,1291,12,472.0,41
2026-07-24T11:58:11.278000+00:00,11335,476.7,,1291,12,476.7,30
2026-07-24T11:58:18.016000+00:00,11335,689.4,,1291,10,689.4,61
2026-07-24T11:58:40.100000+00:00,11335,882.8,,1291,9,882.8,14
2026-07-24T11:58:48.508000+00:00,11335,320.5,,1291,11,320.5,27
2026-07-24T11:58:54.369000+00:00,11335,485.8,,1291,13,485.8,25
2026-07-24T11:59:15.966000+00:00,11335,32.4,,1291,12,32.4,1
2026-07-24T12:00:56.184000+00:00,11335,272.0,,1291,12,272.0,23
2026-07-24T12:01:12.361000+00:00,11335,633.5,,1291,13,633.5,16
2026-07-24T12:01:51.001000+00:00,11335,347.5,,1291,10,347.5,6
2026-07-24T12:02:09.469000+00:00,11335,25.8,,1291,15,25.8,67
2026-07-24T12:03:01.112000+00:00,11335,360.9,,1291,12,360.9,50
2026-07-24T12:03:07.005000+00:00,11335,1087.2,,1291,10,1087.2,11
2026-07-24T12:03:22.641000+00:00,11335,804.5,,1291,11,804.5,44
2026-07-24T12:03:29.836000+00:00,11335,430.4,,1291,15,430.4,5
2026-07-24T12:04:13.771000+00:00,11335,25.2,,1291,16,25.2,67
2026-07-24T12:04:27.107000+00:00,11335,1046.9,,1291,10,1046.9,18
2026-07-24T12:04:48.737000+00:00,11335,287.7,,1291,12,287.7,31
2026-07-24T12:05:30.852000+00:00,11335,433.0,,1291,16,433.0,10
2026-07-24T12:05:36.260000+00:00,11335,159.4,,1291,15,159.4,30
2026-07-24T12:05:42.369000+00:00,11335,168.1,,1291,15,168.1,41
2026-07-24T12:05:44.697000+00:00,11335,1047.9,,1291,11,1047.9,55
2026-07-24T12:06:10+00:00,11335,18.0,,1291,16,18.0,16
2026-07-24T12:06:20.481000+00:00,11335,24.3,,1291,17,24.3,67
2026-07-24T12:13:02.938000+00:00,11335,781.9,,1291,14,781.9,31
2026-07-24T12:13:10.892000+00:00,11335,893.0,,1291,17,893.0,10
2026-07-24T12:13:13.368000+00:00,11335,1344.7,,1291,18,1344.7,25
2026-07-24T12:13:19.126000+00:00,11335,978.9,,1291,15,978.9,50
2026-07-24T12:13:24.868000+00:00,11335,1508.1,,1291,12,1508.1,55
2026-07-24T12:13:30.363000+00:00,11335,521.9,,1291,16,521.9,72
2026-07-24T12:13:31.155000+00:00,11335,1031.7,,1291,18,1031.7,5
2026-07-24T12:13:35.399000+00:00,11335,729.9,,1291,12,729.9,3
2026-07-24T12:13:38.509000+00:00,11335,537.7,,1291,13,537.7,14
2026-07-24T12:13:41.090000+00:00,11335,464.9,,1291,18,464.9,67
2026-07-24T12:13:49.734000+00:00,11335,652.7,,1291,16,652.7,30
2026-07-24T12:14:02.949000+00:00,11335,668.8,,1291,16,668.8,41
2026-07-24T12:14:12.192000+00:00,11335,1068.0,,1291,16,1068.0,23
2026-07-24T12:14:15.213000+00:00,11335,1247.2,,1291,17,1247.2,27
2026-07-24T12:14:30.731000+00:00,11335,1661.8,,1291,16,1661.8,61
2026-07-24T12:15:16.782000+00:00,11335,1153.2,,1291,14,1153.2,6
2026-07-24T12:15:51.748000+00:00,11335,17.6,,1291,19,17.6,5
2026-07-24T12:16:03.295000+00:00,11335,697.6,,1291,15,697.6,1
2026-07-24T12:17:07.246000+00:00,11335,675.2,,1291,17,675.2,16
2026-07-24T12:17:41.169000+00:00,11335,24.8,,1291,18,24.8,23
2026-07-24T12:18:43.057000+00:00,11335,1724.8,,1291,14,1724.8,44
2026-07-24T12:19:07.884000+00:00,11335,2048.0,,1291,13,2048.0,11
2026-07-24T12:19:16.684000+00:00,11335,29.8,,1291,16,29.8,14
2026-07-24T12:19:21.168000+00:00,11335,16.5,,1291,19,16.5,72
2026-07-24T12:21:12.425000+00:00,11335,25.0,,1291,22,25.0,67
2026-07-24T12:21:28.529000+00:00,11335,210.2,,1291,21,210.2,25
