date,session_key,rainfall,wind_direction,meeting_key,wind_speed,air_temperature,humidity,pressure,track_temperature
2026-09-25T11:47:55.308000+00:00,11373,0,275,1295,1.2,24.6,69.2,1023.9,40.3
2026-09-25T11:48:55.317000+00:00,11373,0,90,1295,0.6,24.6,68.7,1023.8,39.9
2026-09-25T11:49:55.303000+00:00,11373,0,325,1295,1.3,24.6,69.3,1023.9,39.6
2026-09-25T11:50:55.308000+00:00,11373,0,28,1295,2.8,24.6,68.5,1023.9,39.9
2026-09-25T11:51:55.309000+00:00,11373,0,59,1295,2.3,24.6,68.8,1023.9,40.0
2026-09-25T11:52:55.307000+00:00,11373,0,75,1295,1.4,24.6,69.0,1023.9,40.4
2026-09-25T11:53:55.337000+00:00,11373,0,91,1295,0.8,24.6,69.2,1024.0,40.8
2026-09-25T11:54:55.312000+00:00,11373,0,334,1295,1.3,24.6,68.5,1023.8,41.1
2026-09-25T11:55:55.310000+00:00,11373,0,350,1295,2.5,24.7,68.5,1024.0,41.3
2026-09-25T11:56:55.315000+00:00,11373,0,0,1295,0.0,24.7,68.4,1023.9,41.3
2026-09-25T11:57:55.313000+00:00,11373,0,77,1295,1.8,24.7,68.3,1023.8,41.2
2026-09-25T11:58:55.313000+00:00,11373,0,42,1295,0.7,24.8,67.8,1023.9,41.2
2026-09-25T11:59:55.316000+00:00,11373,0,353,1295,1.5,24.8,67.2,1023.9,40.7
2026-09-25T12:00:55.314000+00:00,11373,0,57,1295,3.9,24.8,66.7,1024.0,40.2
2026-09-25T12:01:55.314000+00:00,11373,0,61,1295,1.6,24.8,67.3,1023.9,39.9
2026-09-25T12:02:55.314000+00:00,11373,0,35,1295,1.6,24.7,68.0,1024.0,40.1
2026-09-25T12:03:55.317000+00:00,11373,0,345,1295,0.6,24.7,68.3,1024.0,40.7
2026-09-25T12:04:55.317000+00:00,11373,0,36,1295,1.9,24.7,68.0,1023.8,39.3
2026-09-25T12:05:55.315000+00:00,11373,0,93,1295,2.0,24.6,67.7,1023.8,39.5
2026-09-25T12:06:55.314000+00:00,11373,0,354,1295,1.8,24.5,68.5,1023.9,39.9
2026-09-25T12:07:55.316000+00:00,11373,0,291,1295,0.7,24.6,68.1,1024.0,39.5
2026-09-25T12:08:55.316000+00:00,11373,0,99,1295,1.2,24.6,68.2,1023.9,40.3
2026-09-25T12:09:55.310000+00:00,11373,0,232,1295,1.1,24.6,68.0,1023.9,40.5
2026-09-25T12:10:55.331000+00:00,11373,0,236,1295,2.7,24.6,67.8,1024.0,40.0
2026-09-25T12:11:55.324000+00:00,11373,0,228,1295,2.5,24.7,66.5,1024.0,40.0
2026-09-25T12:12:55.324000+00:00,11373,0,0,1295,0.0,24.7,66.5,1023.9,40.1
2026-09-25T12:13:55.315000+00:00,11373,0,196,1295,0.4,24.7,66.0,1024.0,40.1
2026-09-25T12:14:55.315000+00:00,11373,0,305,1295,2.4,24.6,65.8,1024.0,38.8
2026-09-25T12:15:55.324000+00:00,11373,0,24,1295,2.7,24.6,66.4,1024.0,38.5
2026-09-25T12:16:55.351000+00:00,11373,0,260,1295,1.3,24.5,67.2,1024.0,39.0
2026-09-25T12:17:55.327000+00:00,11373,0,5,1295,2.9,24.5,68.3,1023.9,39.1
2026-09-25T12:18:55.329000+00:00,11373,0,249,1295,1.6,24.5,67.8,1023.8,39.3
2026-09-25T12:19:55.329000+00:00,11373,0,236,1295,1.6,24.6,67.6,1023.9,39.4
2026-09-25T12:20:55.317000+00:00,11373,0,0,1295,0.0,24.6,67.7,1024.0,39.3
2026-09-25T12:21:56.113000+00:00,11373,0,72,1295,2.3,24.6,68.1,1023.8,38.3
2026-09-25T12:22:55.333000+00:00,11373,0,282,1295,0.6,24.6,67.3,1023.8,39.7
2026-09-25T12:23:55.333000+00:00,11373,0,346,1295,2.0,24.6,68.3,1024.0,39.5
2026-09-25T12:24:55.333000+00:00,11373,0,0,1295,0.0,24.6,67.8,1023.8,39.9
2026-09-25T12:25:55.333000+00:00,11373,0,340,1295,1.6,24.6,68.0,1023.7,39.3
2026-09-25T12:26:55.335000+00:00,11373,0,112,1295,0.7,24.5,68.3,1023.7,39.6
2026-09-25T12:27:55.336000+00:00,11373,0,196,1295,3.3,24.5,68.7,1023.8,39.2
2026-09-25T12:28:55.337000+00:00,11373,0,16,1295,3.1,24.6,68.2,1023.9,39.3
2026-09-25T12:29:55.373000+00:00,11373,0,28,1295,1.8,24.5,67.9,1023.8,39.2
2026-09-25T12:30:55.342000+00:00,11373,0,165,1295,1.8,24.5,67.5,1024.0,37.8
2026-09-25T12:31:55.341000+00:00,11373,0,130,1295,0.9,24.4,68.2,1023.8,38.4
2026-09-25T12:32:55.327000+00:00,11373,0,342,1295,4.2,24.4,68.6,1023.8,37.2
2026-09-25T12:33:55.340000+00:00,11373,0,359,1295,2.3,24.4,68.1,1024.0,37.1
2026-09-25T12:34:55.327000+00:00,11373,0,199,1295,2.9,24.3,69.0,1024.0,37.3
2026-09-25T12:35:55.341000+00:00,11373,0,229,1295,5.6,24.3,69.4,1023.8,36.4
2026-09-25T12:36:55.343000+00:00,11373,0,150,1295,0.9,24.3,69.4,1023.8,36.9
2026-09-25T12:37:55.332000+00:00,11373,0,12,1295,1.6,24.3,69.9,1024.0,36.6
2026-09-25T12:38:55.344000+00:00,11373,0,27,1295,1.3,24.3,69.6,1023.8,36.9
2026-09-25T12:39:55.347000+00:00,11373,0,30,1295,2.5,24.2,69.8,1023.9,36.3
2026-09-25T12:40:55.345000+00:00,11373,0,105,1295,0.9,24.2,69.8,1023.8,36.6
2026-09-25T12:41:55.345000+00:00,11373,0,305,1295,1.5,24.2,69.9,1023.8,36.3
2026-09-25T12:42:55.349000+00:00,11373,0,287,1295,1.9,24.2,69.4,1023.8,35.5
2026-09-25T12:43:55.355000+00:00,11373,0,232,1295,2.3,24.2,70.0,1023.9,36.6
2026-09-25T12:44:55.344000+00:00,11373,0,192,1295,3.2,24.3,70.2,1023.8,36.4
2026-09-25T12:45:55.352000+00:00,11373,0,245,1295,0.3,24.3,70.0,1023.8,36.8
2026-09-25T12:46:55.565000+00:00,11373,0,233,1295,3.2,24.3,70.2,1023.8,36.3
2026-09-25T12:47:55.346000+00:00,11373,0,172,1295,1.7,24.3,70.2,1023.9,36.6
2026-09-25T12:48:55.361000+00:00,11373,0,202,1295,1.5,24.2,70.4,1023.9,36.5
2026-09-25T12:49:55.357000+00:00,11373,0,108,1295,1.4,24.2,70.3,1023.9,36.3
2026-09-25T12:50:55.358000+00:00,11373,0,297,1295,2.9,24.1,69.9,1023.8,36.0
2026-09-25T12:51:55.405000+00:00,11373,0,81,1295,1.0,24.1,70.6,1023.8,36.2
2026-09-25T12:52:55.378000+00:00,11373,0,56,1295,2.1,24.1,70.5,1023.9,36.3
2026-09-25T12:53:55.369000+00:00,11373,0,84,1295,1.4,24.1,70.8,1023.9,35.7
2026-09-25T12:54:55.412000+00:00,11373,0,22,1295,0.8,24.1,70.6,1023.9,35.8
2026-09-25T12:55:55.418000+00:00,11373,0,114,1295,1.7,24.0,70.9,1023.9,36.2
2026-09-25T12:56:55.405000+00:00,11373,0,32,1295,2.2,24.0,71.4,1024.0,35.5
2026-09-25T12:57:55.413000+00:00,11373,0,194,1295,1.9,24.0,70.4,1023.8,35.4
2026-09-25T12:58:55.413000+00:00,11373,0,213,1295,0.9,24.0,71.1,1023.8,35.8
2026-09-25T12:59:55.411000+00:00,11373,0,182,1295,0.3,24.1,70.5,1023.8,35.5
2026-09-25T13:00:55.418000+00:00,11373,0,316,1295,1.0,24.1,70.3,1023.9,35.4
2026-09-25T13:01:55.405000+00:00,11373,0,78,1295,0.8,24.0,70.3,1023.9,35.3
2026-09-25T13:02:55.411000+00:00,11373,0,73,1295,2.2,24.0,70.2,1023.9,34.8
2026-09-25T13:03:55.417000+00:00,11373,0,352,1295,0.7,24.0,70.2,1023.8,34.6
2026-09-25T13:04:55.413000+00:00,11373,0,110,1295,0.6,24.0,70.7,1023.8,34.7
2026-09-25T13:05:55.412000+00:00,11373,0,26,1295,1.0,24.0,70.9,1024.0,34.7
2026-09-25T13:06:55.407000+00:00,11373,0,25,1295,0.9,23.9,71.2,1023.9,34.5
2026-09-25T13:07:55.420000+00:00,11373,0,301,1295,2.5,23.9,71.2,1023.8,34.6
