date,session_key,driver_number,gap_to_leader,meeting_key,interval
2026-07-26T13:03:29.270000+00:00,11342,3,0.358,1291,0.03
2026-07-26T13:03:29.557000+00:00,11342,44,0.414,1291,0.056
2026-07-26T13:03:29.605000+00:00,11342,12,0.648,1291,0.234
2026-07-26T13:03:29.727000+00:00,11342,6,0.756,1291,0.108
2026-07-26T13:03:29.883000+00:00,11342,41,0.973,1291,0.217
2026-07-26T13:03:30.023000+00:00,11342,30,1.122,1291,0.149
2026-07-26T13:03:30.359000+00:00,11342,10,1.291,1291,0.169
2026-07-26T13:03:30.461000+00:00,11342,27,1.401,1291,0.11
2026-07-26T13:03:30.506000+00:00,11342,31,1.429,1291,0.028
2026-07-26T13:03:30.634000+00:00,11342,43,1.487,1291,0.058
2026-07-26T13:03:31.002000+00:00,11342,87,1.726,1291,0.239
2026-07-26T13:03:31.113000+00:00,11342,5,1.824,1291,0.098
2026-07-26T13:03:31.159000+00:00,11342,14,1.871,1291,0.047
2026-07-26T13:03:31.186000+00:00,11342,23,1.896,1291,0.025
2026-07-26T13:03:31.355000+00:00,11342,55,2.051,1291,0.155
2026-07-26T13:03:31.470000+00:00,11342,77,2.168,1291,0.117
2026-07-26T13:03:31.514000+00:00,11342,63,2.247,1291,0.079
2026-07-26T13:03:31.573000+00:00,11342,18,2.482,1291,0.235
2026-07-26T13:03:36.096000+00:00,11342,11,7.216,1291,4.734
2026-07-26T13:03:36.346000+00:00,11342,81,0.186,1291,0.186
2026-07-26T13:03:36.502000+00:00,11342,3,0.34,1291,0.154
2026-07-26T13:03:36.643000+00:00,11342,44,0.53,1291,0.19
2026-07-26T13:03:36.705000+00:00,11342,16,0.553,1291,0.023
2026-07-26T13:03:36.815000+00:00,11342,6,0.694,1291,0.141
2026-07-26T13:03:36.940000+00:00,11342,12,0.827,1291,0.133
2026-07-26T13:03:37.236000+00:00,11342,30,1.109,1291,0.282
2026-07-26T13:03:37.283000+00:00,11342,41,1.155,1291,0.046
2026-07-26T13:03:37.611000+00:00,11342,10,1.504,1291,0.349
2026-07-26T13:03:37.987000+00:00,11342,27,1.826,1291,0.322
2026-07-26T13:03:38.096000+00:00,11342,31,1.908,1291,0.082
2026-07-26T13:03:38.190000+00:00,11342,43,1.947,1291,0.039
2026-07-26T13:03:38.346000+00:00,11342,87,2.043,1291,0.096
2026-07-26T13:03:38.518000+00:00,11342,5,2.287,1291,0.244
2026-07-26T13:03:38.658000+00:00,11342,14,2.441,1291,0.154
2026-07-26T13:03:38.815000+00:00,11342,55,2.665,1291,0.224
2026-07-26T13:03:38.908000+00:00,11342,23,2.746,1291,0.081
2026-07-26T13:03:39.080000+00:00,11342,77,2.992,1291,0.246
2026-07-26T13:03:39.236000+00:00,11342,18,3.116,1291,0.124
2026-07-26T13:03:39.393000+00:00,11342,63,3.327,1291,0.211
2026-07-26T13:03:42.190000+00:00,11342,81,0.257,1291,0.257
2026-07-26T13:03:42.549000+00:00,11342,3,0.53,1291,0.273
2026-07-26T13:03:42.643000+00:00,11342,16,0.613,1291,0.083
2026-07-26T13:03:42.768000+00:00,11342,44,0.72,1291,0.107
2026-07-26T13:03:43.190000+00:00,11342,6,1.073,1291,0.353
2026-07-26T13:03:43.236000+00:00,11342,12,1.106,1291,0.033
2026-07-26T13:03:43.549000+00:00,11342,30,1.382,1291,0.276
2026-07-26T13:03:43.549000+00:00,11342,41,1.415,1291,0.033
2026-07-26T13:03:43.627000+00:00,11342,11,7.576,1291,4.249
2026-07-26T13:03:44.041000+00:00,11342,10,1.923,1291,0.508
2026-07-26T13:03:44.270000+00:00,11342,27,2.101,1291,0.178
2026-07-26T13:03:44.656000+00:00,11342,43,2.354,1291,0.253
2026-07-26T13:03:44.739000+00:00,11342,31,2.412,1291,0.058
2026-07-26T13:03:45.056000+00:00,11342,14,2.668,1291,0.256
2026-07-26T13:03:45.127000+00:00,11342,87,2.748,1291,0.08
2026-07-26T13:03:45.441000+00:00,11342,5,2.992,1291,0.244
2026-07-26T13:03:45.796000+00:00,11342,55,3.324,1291,0.332
2026-07-26T13:03:45.915000+00:00,11342,23,3.499,1291,0.175
2026-07-26T13:03:46.121000+00:00,11342,77,3.778,1291,
2026-07-26T13:03:46.189000+00:00,11342,18,3.766,1291,0.267
2026-07-26T13:03:46.542000+00:00,11342,63,4.32,1291,0.542
2026-07-26T13:03:46.943000+00:00,11342,81,0.0,1291,0.0
2026-07-26T13:03:47.379000+00:00,11342,1,0.307,1291,0.307
2026-07-26T13:03:47.702000+00:00,11342,3,0.487,1291,0.18
2026-07-26T13:03:47.782000+00:00,11342,44,0.543,1291,0.056
2026-07-26T13:03:48.238000+00:00,11342,16,0.861,1291,0.318
2026-07-26T13:03:48.402000+00:00,11342,12,1.051,1291,0.19
2026-07-26T13:03:48.575000+00:00,11342,6,1.213,1291,0.162
2026-07-26T13:03:48.908000+00:00,11342,30,1.551,1291,0.338
2026-07-26T13:03:49.335000+00:00,11342,41,1.98,1291,0.429
2026-07-26T13:03:49.382000+00:00,11342,1,0.352,1291,0.352
2026-07-26T13:03:49.504000+00:00,11342,27,2.153,1291,0.173
2026-07-26T13:03:49.570000+00:00,11342,10,2.22,1291,0.067
2026-07-26T13:03:49.746000+00:00,11342,11,7.578,1291,3.515
2026-07-26T13:03:49.843000+00:00,11342,43,2.478,1291,0.258
2026-07-26T13:03:49.883000+00:00,11342,3,0.69,1291,0.338
2026-07-26T13:03:49.967000+00:00,11342,31,2.612,1291,0.134
2026-07-26T13:03:50.135000+00:00,11342,44,0.862,1291,0.172
2026-07-26T13:03:50.214000+00:00,11342,87,2.85,1291,0.238
2026-07-26T13:03:50.242000+00:00,11342,14,2.851,1291,0.001
2026-07-26T13:03:50.335000+00:00,11342,16,0.988,1291,0.126
2026-07-26T13:03:50.491000+00:00,11342,5,3.127,1291,0.276
2026-07-26T13:03:50.572000+00:00,11342,12,1.266,1291,0.278
2026-07-26T13:03:50.819000+00:00,11342,6,1.395,1291,0.129
2026-07-26T13:03:51.143000+00:00,11342,30,1.714,1291,0.319
2026-07-26T13:03:51.227000+00:00,11342,55,3.663,1291,0.536
2026-07-26T13:03:51.264000+00:00,11342,23,3.797,1291,0.134
2026-07-26T13:03:51.501000+00:00,11342,77,3.955,1291,0.158
2026-07-26T13:03:51.533000+00:00,11342,18,3.99,1291,0.035
2026-07-26T13:03:51.548000+00:00,11342,41,2.112,1291,0.398
2026-07-26T13:03:52.017000+00:00,11342,63,4.415,1291,0.425
2026-07-26T13:03:52.048000+00:00,11342,27,2.539,1291,0.427
2026-07-26T13:03:52.127000+00:00,11342,10,2.603,1291,0.064
2026-07-26T13:03:53.142000+00:00,11342,31,2.942,1291,
2026-07-26T13:03:53.361000+00:00,11342,43,2.765,1291,0.162
2026-07-26T13:03:53.392000+00:00,11342,87,3.29,1291,0.348
2026-07-26T13:03:53.410000+00:00,11342,5,3.332,1291,0.042
2026-07-26T13:03:53.410000+00:00,11342,14,3.244,1291,0.302
2026-07-26T13:03:53.410000+00:00,11342,1,0.344,1291,0.344
2026-07-26T13:03:53.439000+00:00,11342,55,4.02,1291,0.688
2026-07-26T13:03:53.455000+00:00,11342,3,0.711,1291,0.367
2026-07-26T13:03:53.470000+00:00,11342,23,4.157,1291,0.137
2026-07-26T13:03:53.673000+00:00,11342,44,0.93,1291,0.219
2026-07-26T13:03:53.704000+00:00,11342,18,4.361,1291,0.204
2026-07-26T13:03:53.720000+00:00,11342,16,1.025,1291,0.095
2026-07-26T13:03:53.892000+00:00,11342,77,4.532,1291,0.171
2026-07-26T13:03:54.033000+00:00,11342,12,1.313,1291,0.288
2026-07-26T13:03:54.079000+00:00,11342,63,4.737,1291,0.205
2026-07-26T13:03:54.145000+00:00,11342,6,1.446,1291,0.133
2026-07-26T13:03:54.439000+00:00,11342,30,1.735,1291,0.289
2026-07-26T13:03:54.767000+00:00,11342,41,2.047,1291,0.312
2026-07-26T13:03:54.862000+00:00,11342,11,7.781,1291,3.366
2026-07-26T13:03:55.376000+00:00,11342,27,2.668,1291,0.621
2026-07-26T13:03:55.392000+00:00,11342,10,2.683,1291,0.015
2026-07-26T13:03:55.579000+00:00,11342,43,2.842,1291,0.159
2026-07-26T13:03:55.767000+00:00,11342,31,3.063,1291,0.221
2026-07-26T13:03:56.158000+00:00,11342,5,3.423,1291,0.36
2026-07-26T13:03:56.376000+00:00,11342,14,3.622,1291,0.199
2026-07-26T13:03:56.658000+00:00,11342,87,3.952,1291,0.33
2026-07-26T13:03:56.923000+00:00,11342,55,4.191,1291,0.239
2026-07-26T13:03:56.942000+00:00,11342,11,7.871,1291,3.134
2026-07-26T13:03:56.970000+00:00,11342,1,0.475,1291,0.475
2026-07-26T13:03:57.098000+00:00,11342,23,4.388,1291,0.197
2026-07-26T13:03:57.392000+00:00,11342,18,4.659,1291,0.271
2026-07-26T13:03:57.486000+00:00,11342,3,0.956,1291,0.481
2026-07-26T13:03:57.579000+00:00,11342,77,4.874,1291,0.215
2026-07-26T13:03:57.579000+00:00,11342,63,4.897,1291,0.023
2026-07-26T13:03:57.658000+00:00,11342,44,1.103,1291,0.147
2026-07-26T13:03:57.892000+00:00,11342,16,1.342,1291,0.239
2026-07-26T13:03:58.087000+00:00,11342,12,1.56,1291,0.218
2026-07-26T13:03:58.455000+00:00,11342,6,1.879,1291,0.319
2026-07-26T13:03:58.595000+00:00,11342,30,2.081,1291,0.202
2026-07-26T13:03:58.932000+00:00,11342,41,2.435,1291,0.354
2026-07-26T13:03:59.502000+00:00,11342,27,2.952,1291,0.517
2026-07-26T13:03:59.705000+00:00,11342,10,3.183,1291,0.231
2026-07-26T13:04:00.199000+00:00,11342,31,3.689,1291,0.506
2026-07-26T13:04:00.365000+00:00,11342,43,3.815,1291,0.126
2026-07-26T13:04:00.502000+00:00,11342,5,3.913,1291,0.098
2026-07-26T13:04:00.618000+00:00,11342,11,7.916,1291,3.019
2026-07-26T13:04:00.717000+00:00,11342,14,4.144,1291,0.231
2026-07-26T13:04:01.070000+00:00,11342,87,4.549,1291,0.405
2026-07-26T13:04:01.414000+00:00,11342,55,4.909,1291,0.36
2026-07-26T13:04:01.614000+00:00,11342,23,5.091,1291,0.182
2026-07-26T13:04:01.736000+00:00,11342,1,0.644,1291,0.644
2026-07-26T13:04:01.889000+00:00,11342,18,5.371,1291,0.28
2026-07-26T13:04:02.102000+00:00,11342,3,1.29,1291,0.646
2026-07-26T13:04:02.289000+00:00,11342,77,5.778,1291,0.407
2026-07-26T13:04:02.359000+00:00,11342,44,1.535,1291,0.245
2026-07-26T13:04:02.415000+00:00,11342,63,5.915,1291,0.137
2026-07-26T13:04:02.443000+00:00,11342,16,1.603,1291,0.068
2026-07-26T13:04:02.788000+00:00,11342,12,1.954,1291,0.351
2026-07-26T13:04:03.041000+00:00,11342,6,2.238,1291,0.284
2026-07-26T13:04:03.378000+00:00,11342,30,2.549,1291,0.311
2026-07-26T13:04:03.641000+00:00,11342,41,2.816,1291,0.267
2026-07-26T13:04:04.197000+00:00,11342,27,3.406,1291,0.59
2026-07-26T13:04:04.436000+00:00,11342,10,3.636,1291,0.23
2026-07-26T13:04:04.706000+00:00,11342,11,8.16,1291,2.245
2026-07-26T13:04:04.922000+00:00,11342,31,4.098,1291,0.462
2026-07-26T13:04:05.013000+00:00,11342,5,4.173,1291,0.075
2026-07-26T13:04:05.159000+00:00,11342,43,4.336,1291,0.163
2026-07-26T13:04:05.314000+00:00,11342,1,0.697,1291,0.697
2026-07-26T13:04:05.370000+00:00,11342,14,4.567,1291,
2026-07-26T13:04:05.941000+00:00,11342,87,5.16,1291,0.593
2026-07-26T13:04:06.034000+00:00,11342,3,1.44,1291,0.743
2026-07-26T13:04:06.186000+00:00,11342,55,5.39,1291,0.23
2026-07-26T13:04:06.256000+00:00,11342,44,1.66,1291,0.22
2026-07-26T13:04:06.329000+00:00,11342,16,1.745,1291,0.085
2026-07-26T13:04:06.558000+00:00,11342,23,5.729,1291,0.339
2026-07-26T13:04:06.683000+00:00,11342,18,5.883,1291,0.154
2026-07-26T13:04:06.702000+00:00,11342,12,2.11,1291,0.365
2026-07-26T13:04:06.977000+00:00,11342,6,2.391,1291,0.281
2026-07-26T13:04:07.075000+00:00,11342,63,6.298,1291,0.415
2026-07-26T13:04:07.100000+00:00,11342,77,6.302,1291,0.004
2026-07-26T13:04:07.335000+00:00,11342,30,2.718,1291,0.327
2026-07-26T13:04:07.502000+00:00,11342,41,2.932,1291,0.214
2026-07-26T13:04:08.072000+00:00,11342,27,3.503,1291,0.571
2026-07-26T13:04:08.586000+00:00,11342,10,4.013,1291,0.51
2026-07-26T13:04:08.958000+00:00,11342,31,4.364,1291,0.351
2026-07-26T13:04:09.141000+00:00,11342,11,8.364,1291,2.062
2026-07-26T13:04:09.241000+00:00,11342,5,4.586,1291,0.222
2026-07-26T13:04:09.487000+00:00,11342,43,4.908,1291,0.322
2026-07-26T13:04:09.656000+00:00,11342,14,5.034,1291,0.126
2026-07-26T13:04:10.020000+00:00,11342,87,5.419,1291,0.385
2026-07-26T13:04:10.435000+00:00,11342,55,5.86,1291,0.441
2026-07-26T13:04:10.635000+00:00,11342,23,6.052,1291,0.192
2026-07-26T13:04:10.766000+00:00,11342,1,0.698,1291,0.698
2026-07-26T13:04:10.943000+00:00,11342,18,6.359,1291,0.307
2026-07-26T13:04:11.234000+00:00,11342,63,6.634,1291,0.275
2026-07-26T13:04:11.356000+00:00,11342,77,6.768,1291,0.134
2026-07-26T13:04:11.835000+00:00,11342,3,1.739,1291,1.041
2026-07-26T13:04:12.036000+00:00,11342,44,1.995,1291,0.256
2026-07-26T13:04:12.527000+00:00,11342,16,2.418,1291,0.423
2026-07-26T13:04:12.702000+00:00,11342,12,2.624,1291,0.206
2026-07-26T13:04:13.072000+00:00,11342,6,2.982,1291,0.358
2026-07-26T13:04:13.234000+00:00,11342,11,8.625,1291,1.857
2026-07-26T13:04:13.302000+00:00,11342,30,3.241,1291,0.259
2026-07-26T13:04:13.578000+00:00,11342,41,3.531,1291,0.29
2026-07-26T13:04:14.006000+00:00,11342,27,3.955,1291,0.424
2026-07-26T13:04:14.502000+00:00,11342,10,4.432,1291,0.477
2026-07-26T13:04:14.947000+00:00,11342,31,4.892,1291,0.46
2026-07-26T13:04:15.115000+00:00,11342,5,5.057,1291,0.165
2026-07-26T13:04:15.341000+00:00,11342,1,0.802,1291,0.802
2026-07-26T13:04:15.670000+00:00,11342,43,5.55,1291,0.493
2026-07-26T13:04:15.823000+00:00,11342,14,5.733,1291,0.183
2026-07-26T13:04:16.259000+00:00,11342,87,6.149,1291,0.416
2026-07-26T13:04:16.337000+00:00,11342,3,1.811,1291,1.009
2026-07-26T13:04:16.665000+00:00,11342,55,6.574,1291,0.425
2026-07-26T13:04:16.743000+00:00,11342,44,2.161,1291,0.35
2026-07-26T13:04:16.977000+00:00,11342,23,6.933,1291,0.359
2026-07-26T13:04:17.102000+00:00,11342,16,2.585,1291,0.424
2026-07-26T13:04:17.322000+00:00,11342,18,7.257,1291,0.324
2026-07-26T13:04:17.455000+00:00,11342,12,2.925,1291,0.34
2026-07-26T13:04:17.470000+00:00,11342,63,7.417,1291,0.16
2026-07-26T13:04:17.729000+00:00,11342,6,3.212,1291,0.287
2026-07-26T13:04:17.926000+00:00,11342,77,7.868,1291,0.451
2026-07-26T13:04:18.142000+00:00,11342,30,3.607,1291,0.395
2026-07-26T13:04:18.435000+00:00,11342,41,3.909,1291,0.302
2026-07-26T13:04:18.829000+00:00,11342,27,4.302,1291,0.393
2026-07-26T13:04:18.883000+00:00,11342,11,8.827,1291,0.959
2026-07-26T13:04:19.291000+00:00,11342,10,4.74,1291,0.438
2026-07-26T13:04:19.470000+00:00,11342,1,0.823,1291,0.823
2026-07-26T13:04:19.683000+00:00,11342,31,5.155,1291,0.415
2026-07-26T13:04:19.902000+00:00,11342,5,5.376,1291,0.221
2026-07-26T13:04:20.449000+00:00,11342,43,5.939,1291,0.563
2026-07-26T13:04:20.541000+00:00,11342,3,1.88,1291,1.057
2026-07-26T13:04:20.825000+00:00,11342,14,6.275,1291,0.336
2026-07-26T13:04:20.916000+00:00,11342,44,2.212,1291,0.332
2026-07-26T13:04:21.201000+00:00,11342,87,6.664,1291,0.389
2026-07-26T13:04:21.308000+00:00,11342,16,2.661,1291,0.449
2026-07-26T13:04:21.543000+00:00,11342,55,7.022,1291,0.358
2026-07-26T13:04:21.772000+00:00,11342,12,3.116,1291,0.455
2026-07-26T13:04:22.013000+00:00,11342,23,7.492,1291,0.47
2026-07-26T13:04:22.081000+00:00,11342,6,3.427,1291,0.311
2026-07-26T13:04:22.343000+00:00,11342,18,7.83,1291,0.338
