position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,57,25.0,False,False,False,5663.754,0,1294,11369
2,3,57,18.0,False,False,False,5668.105,4.351,1294,11369
3,1,57,15.0,False,False,False,5668.843,5.089,1294,11369
4,16,57,12.0,False,False,False,5692.87,29.116,1294,11369
5,63,57,10.0,False,False,False,5693.583,29.829,1294,11369
6,30,57,8.0,False,False,False,5750.5,86.746,1294,11369
7,43,57,6.0,False,False,False,5758.035,94.281,1294,11369
8,81,57,4.0,False,False,False,5759.593,95.839,1294,11369
9,41,56,2.0,False,False,False,,+1 LAP,1294,11369
10,27,56,1.0,False,False,False,,+1 LAP,1294,11369
11,31,56,0.0,False,False,False,,+1 LAP,1294,11369
12,10,56,0.0,False,False,False,,+1 LAP,1294,11369
13,5,56,0.0,False,False,False,,+1 LAP,1294,11369
14,22,56,0.0,False,False,False,,+1 LAP,1294,11369
15,23,56,0.0,False,False,False,,+1 LAP,1294,11369
16,87,56,0.0,False,False,False,,+1 LAP,1294,11369
17,14,55,0.0,False,False,False,,+2 LAPS,1294,11369
18,77,54,0.0,False,False,False,,+3 LAPS,1294,11369
,55,43,0.0,True,False,False,,,1294,11369
,11,31,0.0,True,False,False,,,1294,11369
,18,12,0.0,True,False,False,,,1294,11369
,44,6,0.0,True,False,False,,,1294,11369
