position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,24,False,False,False,93.662,0,1294,11363
2,16,26,False,False,False,93.775,0.113,1294,11363
3,44,23,False,False,False,93.811,0.149,1294,11363
4,41,15,False,False,False,93.89,0.228,1294,11363
5,63,25,False,False,False,93.999,0.337,1294,11363
6,3,22,False,False,False,94.063,0.401,1294,11363
7,81,24,False,False,False,94.2,0.538,1294,11363
8,22,26,False,False,False,94.758,1.096,1294,11363
9,31,26,False,False,False,94.867,1.205,1294,11363
10,30,21,False,False,False,94.938,1.276,1294,11363
11,10,21,False,False,False,94.959,1.297,1294,11363
12,27,22,False,False,False,95.06,1.398,1294,11363
13,5,25,False,False,False,95.17,1.508,1294,11363
14,87,26,False,False,False,95.203,1.541,1294,11363
15,43,22,False,False,False,95.886,2.224,1294,11363
16,55,25,False,False,False,96.291,2.629,1294,11363
17,14,16,False,False,False,96.78,3.118,1294,11363
18,23,22,False,False,False,96.936,3.274,1294,11363
19,11,24,False,False,False,97.195,3.533,1294,11363
20,18,20,False,False,False,97.273,3.611,1294,11363
21,77,24,False,False,False,97.727,4.065,1294,11363
22,1,2,False,False,False,,,1294,11363
