date,session_key,pressure,meeting_key,humidity,wind_direction,wind_speed,rainfall,air_temperature,track_temperature
2026-07-17T11:39:32.678000+00:00,11327,966.6,1290,41.4,150,3.7,0,24.4,42.6
2026-07-17T11:40:32.678000+00:00,11327,966.6,1290,41.1,162,2.9,0,24.4,42.8
2026-07-17T11:41:32.677000+00:00,11327,966.6,1290,41.1,162,2.9,0,24.4,42.8
2026-07-17T11:42:32.675000+00:00,11327,966.6,1290,40.9,148,2.5,0,24.6,42.9
2026-07-17T11:43:32.675000+00:00,11327,966.6,1290,40.4,152,1.9,0,24.6,43.0
2026-07-17T11:44:32.682000+00:00,11327,966.5,1290,40.8,101,0.4,0,24.5,42.5
2026-07-17T11:45:32.678000+00:00,11327,966.6,1290,40.6,314,1.2,0,24.4,42.7
2026-07-17T11:46:32.688000+00:00,11327,966.6,1290,42.3,335,0.8,0,24.5,42.1
2026-07-17T11:47:32.682000+00:00,11327,966.7,1290,41.8,298,2.1,0,24.6,42.1
2026-07-17T11:48:32.681000+00:00,11327,966.7,1290,41.7,312,1.7,0,24.6,40.9
2026-07-17T11:49:32.699000+00:00,11327,966.7,1290,41.7,327,1.4,0,24.5,41.1
2026-07-17T11:50:32.698000+00:00,11327,966.6,1290,41.8,315,0.7,0,24.4,39.7
2026-07-17T11:51:32.698000+00:00,11327,966.6,1290,41.8,315,0.7,0,24.4,39.7
2026-07-17T11:52:32.692000+00:00,11327,966.6,1290,42.1,6,0.8,0,24.4,40.6
2026-07-17T11:53:32.683000+00:00,11327,966.7,1290,42.0,313,3.7,0,24.2,39.9
2026-07-17T11:54:32.699000+00:00,11327,966.7,1290,42.7,314,2.2,0,24.1,40.0
2026-07-17T11:55:32.696000+00:00,11327,966.7,1290,42.7,314,2.2,0,24.1,40.0
2026-07-17T11:56:32.706000+00:00,11327,966.7,1290,42.9,323,1.9,0,24.1,39.9
2026-07-17T11:57:32.687000+00:00,11327,966.8,1290,43.1,296,2.3,0,24.1,38.8
2026-07-17T11:58:32.709000+00:00,11327,966.8,1290,43.5,288,1.6,0,24.1,38.7
2026-07-17T11:59:32.694000+00:00,11327,966.8,1290,43.5,295,0.8,0,23.9,39.5
2026-07-17T12:00:32.709000+00:00,11327,966.7,1290,44.3,108,0.7,0,23.9,39.5
2026-07-17T12:01:32.729000+00:00,11327,966.7,1290,43.7,0,0.0,0,23.9,39.6
2026-07-17T12:02:32.901000+00:00,11327,966.7,1290,45.4,176,0.9,0,23.9,39.5
2026-07-17T12:03:32.919000+00:00,11327,966.7,1290,45.4,176,0.9,0,23.9,39.5
2026-07-17T12:04:32.887000+00:00,11327,966.6,1290,44.7,155,1.7,0,23.9,39.4
2026-07-17T12:05:32.886000+00:00,11327,966.7,1290,44.3,138,1.0,0,24.0,39.2
2026-07-17T12:06:32.897000+00:00,11327,966.7,1290,43.6,114,2.3,0,24.1,38.7
2026-07-17T12:07:32.899000+00:00,11327,966.6,1290,43.2,171,0.9,0,24.2,39.0
2026-07-17T12:08:32.898000+00:00,11327,966.8,1290,43.7,293,1.7,0,24.2,38.2
2026-07-17T12:09:32.915000+00:00,11327,966.7,1290,42.6,300,2.3,0,24.3,38.5
2026-07-17T12:10:32.900000+00:00,11327,966.8,1290,40.1,320,2.3,0,24.3,38.3
2026-07-17T12:11:32.908000+00:00,11327,966.7,1290,38.8,315,2.9,0,24.2,39.2
2026-07-17T12:12:32.920000+00:00,11327,966.7,1290,39.3,321,3.5,0,24.2,38.5
2026-07-17T12:13:32.921000+00:00,11327,966.8,1290,39.8,315,3.3,0,24.2,38.3
2026-07-17T12:14:32.911000+00:00,11327,966.8,1290,39.8,315,3.3,0,24.2,38.3
2026-07-17T12:15:32.924000+00:00,11327,966.8,1290,40.3,321,2.7,0,24.0,37.8
2026-07-17T12:16:32.921000+00:00,11327,966.7,1290,39.7,329,2.6,0,24.0,37.8
