date,session_key,gap_to_leader,meeting_key,interval,driver_number
2026-09-13T13:04:22.356000+00:00,11369,2.101,1294,0.374,41
2026-09-13T13:04:22.417000+00:00,11369,3.09,1294,0.073,5
2026-09-13T13:04:22.542000+00:00,11369,2.239,1294,0.138,31
2026-09-13T13:04:22.636000+00:00,11369,2.359,1294,0.12,27
2026-09-13T13:04:23.105000+00:00,11369,2.809,1294,0.45,23
2026-09-13T13:04:23.261000+00:00,11369,2.997,1294,0.188,10
2026-09-13T13:04:23.277000+00:00,11369,3.939,1294,0.849,22
2026-09-13T13:04:23.308000+00:00,11369,3.978,1294,0.039,11
2026-09-13T13:04:23.355000+00:00,11369,3.075,1294,0.078,5
2026-09-13T13:04:23.527000+00:00,11369,4.182,1294,0.204,55
2026-09-13T13:04:23.683000+00:00,11369,4.345,1294,0.163,18
2026-09-13T13:04:23.699000+00:00,11369,4.384,1294,0.039,14
2026-09-13T13:04:24.183000+00:00,11369,0.09,1294,0.09,12
2026-09-13T13:04:24.183000+00:00,11369,0.102,1294,0.012,3
2026-09-13T13:04:24.199000+00:00,11369,4.865,1294,0.481,77
2026-09-13T13:04:24.245000+00:00,11369,3.951,1294,,11
2026-09-13T13:04:24.261000+00:00,11369,3.95,1294,0.875,22
2026-09-13T13:04:24.496000+00:00,11369,4.226,1294,0.275,55
2026-09-13T13:04:24.511000+00:00,11369,0.47,1294,0.368,44
2026-09-13T13:04:24.636000+00:00,11369,4.357,1294,0.131,18
2026-09-13T13:04:24.683000+00:00,11369,4.39,1294,0.033,14
2026-09-13T13:04:24.839000+00:00,11369,0.791,1294,0.321,16
2026-09-13T13:04:25.214000+00:00,11369,4.935,1294,0.545,77
2026-09-13T13:04:25.214000+00:00,11369,1.165,1294,0.374,63
2026-09-13T13:04:25.355000+00:00,11369,1.282,1294,0.117,43
2026-09-13T13:04:25.589000+00:00,11369,1.547,1294,0.265,30
2026-09-13T13:04:25.714000+00:00,11369,1.662,1294,0.115,81
2026-09-13T13:04:25.980000+00:00,11369,1.94,1294,0.278,41
2026-09-13T13:04:26.121000+00:00,11369,2.088,1294,0.148,31
2026-09-13T13:04:26.246000+00:00,11369,2.211,1294,0.123,27
2026-09-13T13:04:26.761000+00:00,11369,2.698,1294,0.487,23
2026-09-13T13:04:26.886000+00:00,11369,2.852,1294,0.154,10
2026-09-13T13:04:26.980000+00:00,11369,2.934,1294,0.082,5
2026-09-13T13:04:27.246000+00:00,11369,0.061,1294,0.061,12
2026-09-13T13:04:27.360000+00:00,11369,0.198,1294,0.137,3
2026-09-13T13:04:27.683000+00:00,11369,0.505,1294,0.307,44
2026-09-13T13:04:27.917000+00:00,11369,3.866,1294,0.932,11
2026-09-13T13:04:27.917000+00:00,11369,3.895,1294,0.029,22
2026-09-13T13:04:27.996000+00:00,11369,0.843,1294,0.338,16
2026-09-13T13:04:28.355000+00:00,11369,4.26,1294,0.365,55
2026-09-13T13:04:28.371000+00:00,11369,1.203,1294,0.36,63
2026-09-13T13:04:28.449000+00:00,11369,4.388,1294,0.128,18
2026-09-13T13:04:28.542000+00:00,11369,1.368,1294,0.165,43
2026-09-13T13:04:28.542000+00:00,11369,4.462,1294,0.074,14
2026-09-13T13:04:28.714000+00:00,11369,1.553,1294,0.185,30
2026-09-13T13:04:28.964000+00:00,11369,1.824,1294,0.271,81
2026-09-13T13:04:29.121000+00:00,11369,1.951,1294,0.127,41
2026-09-13T13:04:29.214000+00:00,11369,5.183,1294,0.721,77
2026-09-13T13:04:29.371000+00:00,11369,2.172,1294,0.221,31
2026-09-13T13:04:29.574000+00:00,11369,2.398,1294,0.226,27
2026-09-13T13:04:29.933000+00:00,11369,2.773,1294,0.375,23
2026-09-13T13:04:29.964000+00:00,11369,2.813,1294,0.04,10
2026-09-13T13:04:30.121000+00:00,11369,2.98,1294,0.167,5
2026-09-13T13:04:31.089000+00:00,11369,3.93,1294,0.95,11
2026-09-13T13:04:31.324000+00:00,11369,4.125,1294,0.195,22
2026-09-13T13:04:31.683000+00:00,11369,4.482,1294,0.357,55
2026-09-13T13:04:31.855000+00:00,11369,4.694,1294,0.212,18
2026-09-13T13:04:31.933000+00:00,11369,4.77,1294,0.076,14
2026-09-13T13:04:32.042000+00:00,11369,11.78,1294,6.845,87
2026-09-13T13:04:32.261000+00:00,11369,0.0,1294,0.0,12
2026-09-13T13:04:32.746000+00:00,11369,0.425,1294,0.425,1
2026-09-13T13:04:32.839000+00:00,11369,5.559,1294,0.85,77
2026-09-13T13:04:33.028000+00:00,11369,0.704,1294,0.279,3
2026-09-13T13:04:33.402000+00:00,11369,1.091,1294,0.387,44
2026-09-13T13:04:33.824000+00:00,11369,1.511,1294,0.42,16
2026-09-13T13:04:34.433000+00:00,11369,2.126,1294,0.615,63
2026-09-13T13:04:35.015000+00:00,11369,2.627,1294,0.501,43
2026-09-13T13:04:35.402000+00:00,11369,2.959,1294,0.332,30
2026-09-13T13:04:35.699000+00:00,11369,3.296,1294,0.337,41
2026-09-13T13:04:35.746000+00:00,11369,3.3,1294,0.004,81
2026-09-13T13:04:35.980000+00:00,11369,3.639,1294,0.339,31
2026-09-13T13:04:36.402000+00:00,11369,4.01,1294,0.371,27
2026-09-13T13:04:36.433000+00:00,11369,12.303,1294,7.21,87
2026-09-13T13:04:36.668000+00:00,11369,0.0,1294,0.0,1
2026-09-13T13:04:36.746000+00:00,11369,3.911,1294,0.326,23
