date,session_key,driver_number,position,meeting_key
2026-07-17T14:46:49.045000+00:00,11328,1,1,1290
2026-07-17T14:46:49.045000+00:00,11328,3,2,1290
2026-07-17T14:46:49.045000+00:00,11328,5,3,1290
2026-07-17T14:46:49.045000+00:00,11328,6,4,1290
2026-07-17T14:46:49.045000+00:00,11328,10,5,1290
2026-07-17T14:46:49.045000+00:00,11328,11,6,1290
2026-07-17T14:46:49.045000+00:00,11328,12,7,1290
2026-07-17T14:46:49.045000+00:00,11328,14,8,1290
2026-07-17T14:46:49.045000+00:00,11328,16,9,1290
2026-07-17T14:46:49.045000+00:00,11328,18,10,1290
2026-07-17T14:46:49.045000+00:00,11328,23,11,1290
2026-07-17T14:46:49.045000+00:00,11328,27,12,1290
2026-07-17T14:46:49.045000+00:00,11328,30,13,1290
2026-07-17T14:46:49.045000+00:00,11328,31,14,1290
2026-07-17T14:46:49.045000+00:00,11328,41,15,1290
2026-07-17T14:46:49.045000+00:00,11328,43,16,1290
2026-07-17T14:46:49.045000+00:00,11328,44,17,1290
2026-07-17T14:46:49.045000+00:00,11328,55,18,1290
2026-07-17T14:46:49.045000+00:00,11328,63,19,1290
2026-07-17T14:46:49.045000+00:00,11328,77,20,1290
2026-07-17T14:46:49.045000+00:00,11328,81,21,1290
2026-07-17T14:46:49.045000+00:00,11328,87,22,1290
2026-07-17T15:00:08.690000+00:00,11328,1,2,1290
2026-07-17T15:00:08.690000+00:00,11328,3,3,1290
2026-07-17T15:00:08.690000+00:00,11328,5,4,1290
2026-07-17T15:00:08.690000+00:00,11328,6,5,1290
2026-07-17T15:00:08.690000+00:00,11328,10,6,1290
2026-07-17T15:00:08.690000+00:00,11328,11,7,1290
2026-07-17T15:00:08.690000+00:00,11328,12,8,1290
2026-07-17T15:00:08.690000+00:00,11328,14,9,1290
2026-07-17T15:00:08.690000+00:00,11328,16,10,1290
2026-07-17T15:00:08.690000+00:00,11328,18,11,1290
2026-07-17T15:00:08.690000+00:00,11328,23,12,1290
2026-07-17T15:00:08.690000+00:00,11328,27,13,1290
2026-07-17T15:00:08.690000+00:00,11328,30,14,1290
2026-07-17T15:00:08.690000+00:00,11328,31,15,1290
2026-07-17T15:00:08.690000+00:00,11328,41,16,1290
2026-07-17T15:00:08.690000+00:00,11328,43,17,1290
2026-07-17T15:00:08.690000+00:00,11328,44,18,1290
2026-07-17T15:00:08.690000+00:00,11328,55,19,1290
2026-07-17T15:00:08.690000+00:00,11328,63,20,1290
2026-07-17T15:00:08.690000+00:00,11328,77,1,1290
2026-07-17T15:00:13.566000+00:00,11328,1,3,1290
2026-07-17T15:00:13.566000+00:00,11328,3,4,1290
2026-07-17T15:00:13.566000+00:00,11328,5,5,1290
2026-07-17T15:00:13.566000+00:00,11328,6,6,1290
2026-07-17T15:00:13.566000+00:00,11328,10,7,1290
2026-07-17T15:00:13.566000+00:00,11328,11,8,1290
