date,session_key,gap_to_leader,interval,driver_number,meeting_key
2026-08-23T13:03:49.654000+00:00,11353,4.34,0.401,77,1292
2026-08-23T13:03:49.795000+00:00,11353,1.244,0.368,16,1292
2026-08-23T13:03:50.123000+00:00,11353,1.557,0.313,81,1292
2026-08-23T13:03:50.435000+00:00,11353,1.886,0.329,44,1292
2026-08-23T13:03:50.717000+00:00,11353,2.168,0.282,3,1292
2026-08-23T13:03:50.795000+00:00,11353,2.239,0.071,30,1292
2026-08-23T13:03:51.170000+00:00,11353,2.613,0.374,10,1292
2026-08-23T13:03:51.388000+00:00,11353,2.841,0.228,22,1292
2026-08-23T13:03:51.435000+00:00,11353,2.887,0.046,41,1292
2026-08-23T13:03:51.842000+00:00,11353,3.257,0.37,5,1292
2026-08-23T13:03:51.968000+00:00,11353,3.42,0.163,43,1292
2026-08-23T13:03:52.170000+00:00,11353,9.504,5.684,11,1292
2026-08-23T13:03:52.232000+00:00,11353,3.687,0.267,27,1292
2026-08-23T13:03:52.451000+00:00,11353,3.872,0.185,23,1292
2026-08-23T13:03:52.717000+00:00,11353,4.167,0.295,31,1292
2026-08-23T13:03:53.076000+00:00,11353,4.542,0.375,18,1292
2026-08-23T13:03:53.232000+00:00,11353,4.665,0.123,14,1292
2026-08-23T13:03:53.420000+00:00,11353,4.863,0.198,87,1292
2026-08-23T13:03:53.451000+00:00,11353,0.348,0.348,12,1292
2026-08-23T13:03:53.560000+00:00,11353,5.01,0.147,55,1292
2026-08-23T13:03:53.842000+00:00,11353,5.285,0.275,77,1292
2026-08-23T13:03:53.967000+00:00,11353,0.873,0.525,63,1292
2026-08-23T13:03:54.561000+00:00,11353,1.479,0.606,16,1292
2026-08-23T13:03:54.842000+00:00,11353,1.745,0.266,81,1292
2026-08-23T13:03:55.295000+00:00,11353,2.211,0.466,44,1292
2026-08-23T13:03:55.357000+00:00,11353,10.043,5.703,11,1292
2026-08-23T13:03:55.576000+00:00,11353,2.49,0.279,3,1292
2026-08-23T13:03:55.638000+00:00,11353,2.545,0.055,30,1292
2026-08-23T13:03:56.263000+00:00,11353,3.178,0.633,10,1292
2026-08-23T13:03:56.404000+00:00,11353,3.306,0.128,22,1292
2026-08-23T13:03:56.435000+00:00,11353,3.318,0.012,41,1292
2026-08-23T13:03:56.888000+00:00,11353,3.791,0.473,43,1292
2026-08-23T13:03:57.123000+00:00,11353,0.292,0.292,12,1292
2026-08-23T13:03:57.263000+00:00,11353,4.157,0.366,27,1292
2026-08-23T13:03:57.310000+00:00,11353,4.197,0.04,5,1292
2026-08-23T13:03:57.482000+00:00,11353,4.392,0.195,23,1292
2026-08-23T13:03:57.592000+00:00,11353,0.786,0.494,63,1292
2026-08-23T13:03:57.826000+00:00,11353,4.737,0.345,31,1292
2026-08-23T13:03:58.060000+00:00,11353,4.961,0.224,18,1292
2026-08-23T13:03:58.076000+00:00,11353,4.973,0.012,14,1292
2026-08-23T13:03:58.310000+00:00,11353,1.485,0.699,16,1292
2026-08-23T13:03:58.435000+00:00,11353,5.345,0.372,87,1292
2026-08-23T13:03:58.592000+00:00,11353,1.717,0.232,81,1292
2026-08-23T13:03:58.810000+00:00,11353,5.736,0.391,55,1292
2026-08-23T13:03:58.998000+00:00,11353,10.403,5.118,11,1292
2026-08-23T13:03:59.107000+00:00,11353,2.283,0.566,44,1292
2026-08-23T13:03:59.185000+00:00,11353,6.067,0.331,77,1292
2026-08-23T13:03:59.435000+00:00,11353,2.568,0.285,3,1292
2026-08-23T13:03:59.498000+00:00,11353,2.627,0.059,30,1292
2026-08-23T13:04:00.163000+00:00,11353,3.305,0.678,10,1292
2026-08-23T13:04:00.291000+00:00,11353,0.243,0.243,12,1292
2026-08-23T13:04:00.291000+00:00,11353,3.41,0.105,41,1292
2026-08-23T13:04:00.349000+00:00,11353,3.486,0.076,22,1292
2026-08-23T13:04:00.655000+00:00,11353,3.818,0.332,43,1292
2026-08-23T13:04:00.767000+00:00,11353,0.76,0.517,63,1292
2026-08-23T13:04:01.009000+00:00,11353,4.185,0.367,27,1292
2026-08-23T13:04:01.189000+00:00,11353,4.359,0.174,5,1292
2026-08-23T13:04:01.240000+00:00,11353,4.399,0.04,23,1292
2026-08-23T13:04:01.439000+00:00,11353,0.263,0.263,12,1292
2026-08-23T13:04:01.513000+00:00,11353,1.475,0.715,16,1292
2026-08-23T13:04:01.616000+00:00,11353,4.8,0.401,31,1292
2026-08-23T13:04:01.663000+00:00,11353,1.672,0.197,81,1292
2026-08-23T13:04:01.831000+00:00,11353,4.993,0.193,18,1292
2026-08-23T13:04:01.907000+00:00,11353,5.066,0.073,14,1292
2026-08-23T13:04:01.989000+00:00,11353,0.801,0.538,63,1292
2026-08-23T13:04:02.267000+00:00,11353,5.392,0.326,87,1292
2026-08-23T13:04:02.322000+00:00,11353,2.301,0.629,44,1292
2026-08-23T13:04:02.655000+00:00,11353,2.563,0.262,3,1292
2026-08-23T13:04:02.667000+00:00,11353,5.832,0.44,55,1292
2026-08-23T13:04:02.719000+00:00,11353,1.493,0.692,16,1292
2026-08-23T13:04:02.760000+00:00,11353,2.742,0.179,30,1292
2026-08-23T13:04:02.874000+00:00,11353,1.697,0.204,81,1292
2026-08-23T13:04:03.069000+00:00,11353,6.25,0.418,77,1292
2026-08-23T13:04:03.323000+00:00,11353,3.316,0.574,10,1292
2026-08-23T13:04:03.491000+00:00,11353,2.323,0.626,44,1292
2026-08-23T13:04:03.613000+00:00,11353,3.596,0.28,41,1292
2026-08-23T13:04:03.817000+00:00,11353,2.62,0.297,3,1292
2026-08-23T13:04:03.926000+00:00,11353,3.824,0.228,22,1292
2026-08-23T13:04:03.926000+00:00,11353,10.747,4.68,11,1292
2026-08-23T13:04:03.992000+00:00,11353,3.989,0.165,43,1292
2026-08-23T13:04:04.024000+00:00,11353,2.851,0.231,30,1292
2026-08-23T13:04:04.283000+00:00,11353,4.245,0.256,27,1292
2026-08-23T13:04:04.393000+00:00,11353,4.369,0.124,5,1292
2026-08-23T13:04:04.548000+00:00,11353,3.358,0.507,10,1292
2026-08-23T13:04:04.730000+00:00,11353,4.662,0.293,23,1292
2026-08-23T13:04:04.907000+00:00,11353,3.661,0.303,41,1292
2026-08-23T13:04:04.975000+00:00,11353,4.935,0.273,31,1292
2026-08-23T13:04:05.009000+00:00,11353,0.353,0.353,12,1292
2026-08-23T13:04:05.123000+00:00,11353,3.946,0.285,22,1292
2026-08-23T13:04:05.160000+00:00,11353,5.127,0.192,18,1292
2026-08-23T13:04:05.268000+00:00,11353,4.112,0.166,43,1292
2026-08-23T13:04:05.302000+00:00,11353,5.294,0.167,14,1292
2026-08-23T13:04:05.546000+00:00,11353,4.34,0.228,27,1292
2026-08-23T13:04:05.591000+00:00,11353,5.549,0.255,87,1292
2026-08-23T13:04:05.612000+00:00,11353,1.009,0.656,63,1292
2026-08-23T13:04:05.694000+00:00,11353,4.484,0.144,5,1292
2026-08-23T13:04:05.948000+00:00,11353,4.754,0.27,23,1292
2026-08-23T13:04:06.007000+00:00,11353,5.991,0.442,55,1292
2026-08-23T13:04:06.247000+00:00,11353,5.046,0.292,31,1292
2026-08-23T13:04:06.363000+00:00,11353,1.78,0.771,16,1292
2026-08-23T13:04:06.475000+00:00,11353,5.266,0.22,18,1292
2026-08-23T13:04:06.563000+00:00,11353,5.396,0.13,14,1292
