date,session_key,lap_number,stop_duration,lane_duration,driver_number,pit_duration,meeting_key
2026-09-25T12:04:02.219000+00:00,11373,1,,,77,,1295
2026-09-25T12:04:08.662000+00:00,11373,1,,,43,,1295
2026-09-25T12:04:14.152000+00:00,11373,1,,,11,,1295
2026-09-25T12:04:15.810000+00:00,11373,1,,,10,,1295
2026-09-25T12:04:17.387000+00:00,11373,1,,,87,,1295
2026-09-25T12:04:19.131000+00:00,11373,1,,,31,,1295
2026-09-25T12:04:20.558000+00:00,11373,1,,,14,,1295
2026-09-25T12:04:25.547000+00:00,11373,1,,,27,,1295
2026-09-25T12:04:29.045000+00:00,11373,1,,,5,,1295
2026-09-25T12:04:31.476000+00:00,11373,1,,,18,,1295
2026-09-25T12:04:35.708000+00:00,11373,1,,,41,,1295
2026-09-25T12:04:43.915000+00:00,11373,1,,,30,,1295
2026-09-25T12:04:55.642000+00:00,11373,1,,,3,,1295
2026-09-25T12:04:59.401000+00:00,11373,1,,,63,,1295
2026-09-25T12:05:03.753000+00:00,11373,1,,,12,,1295
2026-09-25T12:05:08.661000+00:00,11373,1,,,6,,1295
2026-09-25T12:05:12.570000+00:00,11373,1,,,23,,1295
2026-09-25T12:05:19.193000+00:00,11373,1,,,55,,1295
2026-09-25T12:05:32.471000+00:00,11373,1,,,44,,1295
2026-09-25T12:05:38.722000+00:00,11373,1,,,16,,1295
2026-09-25T12:05:46.002000+00:00,11373,1,,,1,,1295
2026-09-25T12:05:54.578000+00:00,11373,1,,,81,,1295
2026-09-25T12:09:28.373000+00:00,11373,3,,22.7,18,22.7,1295
2026-09-25T12:12:47.659000+00:00,11373,5,,23.6,10,23.6,1295
2026-09-25T12:12:48.915000+00:00,11373,5,,23.4,14,23.4,1295
2026-09-25T12:13:19.652000+00:00,11373,5,,62.2,43,62.2,1295
2026-09-25T12:14:02.078000+00:00,11373,5,,26.7,55,26.7,1295
2026-09-25T12:14:25.668000+00:00,11373,5,,58.0,23,58.0,1295
2026-09-25T12:14:32.562000+00:00,11373,5,,109.8,41,109.8,1295
2026-09-25T12:16:50.617000+00:00,11373,7,,30.0,11,30.0,1295
2026-09-25T12:16:54.374000+00:00,11373,7,,24.2,27,24.2,1295
2026-09-25T12:17:06.135000+00:00,11373,7,,28.9,5,28.9,1295
2026-09-25T12:17:12.457000+00:00,11373,7,,24.8,30,24.8,1295
2026-09-25T12:17:13.749000+00:00,11373,7,,59.1,77,59.1,1295
2026-09-25T12:29:03.053000+00:00,11373,10,,299.1,55,299.1,1295
2026-09-25T12:29:07.307000+00:00,11373,10,,277.7,23,277.7,1295
2026-09-25T12:29:14.926000+00:00,11373,9,,509.5,3,509.5,1295
2026-09-25T12:29:18.161000+00:00,11373,10,,285.6,41,285.6,1295
2026-09-25T12:29:24.563000+00:00,11373,11,,233.7,30,233.7,1295
2026-09-25T12:29:29.969000+00:00,11373,9,,499.9,6,499.9,1295
2026-09-25T12:29:32.019000+00:00,11373,11,,331.9,87,331.9,1295
2026-09-25T12:29:34.777000+00:00,11373,11,,327.9,31,327.9,1295
2026-09-25T12:29:42.366000+00:00,11373,9,,473.1,1,473.1,1295
2026-09-25T12:29:49.145000+00:00,11373,9,,420.8,81,420.8,1295
2026-09-25T12:29:56.621000+00:00,11373,10,,372.6,44,372.6,1295
2026-09-25T12:29:58.255000+00:00,11373,10,,376.2,16,376.2,1295
2026-09-25T12:30:36.423000+00:00,11373,10,,465.2,63,465.2,1295
2026-09-25T12:34:59.886000+00:00,11373,10,,703.4,43,703.4,1295
2026-09-25T12:35:02.544000+00:00,11373,11,,611.3,10,611.3,1295
2026-09-25T12:38:27.543000+00:00,11373,14,,87.6,23,87.6,1295
2026-09-25T12:38:31.718000+00:00,11373,14,,99.3,55,99.3,1295
2026-09-25T12:40:29.360000+00:00,11373,13,,167.7,1,167.7,1295
2026-09-25T12:40:38.708000+00:00,11373,13,,171.0,81,171.0,1295
2026-09-25T12:51:02.883000+00:00,11373,19,,213.2,63,213.2,1295
2026-09-25T12:51:08.112000+00:00,11373,17,,374.0,3,374.0,1295
2026-09-25T12:51:12.126000+00:00,11373,18,,282.7,55,282.7,1295
2026-09-25T12:51:13.950000+00:00,11373,16,,292.8,1,292.8,1295
2026-09-25T12:51:16.952000+00:00,11373,16,,281.6,81,281.6,1295
2026-09-25T12:54:24.121000+00:00,11373,16,,649.4,6,649.4,1295
2026-09-25T12:55:11.012000+00:00,11373,17,,688.2,44,688.2,1295
2026-09-25T12:55:14.110000+00:00,11373,18,,567.3,16,567.3,1295
2026-09-25T12:55:16.467000+00:00,11373,16,,476.2,43,476.2,1295
2026-09-25T12:55:18.492000+00:00,11373,16,,601.2,10,601.2,1295
2026-09-25T12:59:20.502000+00:00,11373,22,,22.7,55,22.7,1295
2026-09-25T13:01:04.719000+00:00,11373,20,,121.8,81,121.8,1295
2026-09-25T13:01:09.877000+00:00,11373,20,,129.5,1,129.5,1295
