date,session_key,meeting_key,interval,gap_to_leader,driver_number
2026-09-06T12:06:42.578000+00:00,11361,1293,0.0,0.0,10
2026-09-06T12:07:23.732000+00:00,11361,1293,0.0,0.0,10
2026-09-06T12:07:27.758000+00:00,11361,1293,0.0,0.0,10
2026-09-06T13:03:34.576000+00:00,11361,1293,0.309,0.309,63
2026-09-06T13:03:34.669000+00:00,11361,1293,0.175,0.484,16
2026-09-06T13:03:34.904000+00:00,11361,1293,0.234,0.718,44
2026-09-06T13:03:35.216000+00:00,11361,1293,0.254,0.972,3
2026-09-06T13:03:35.232000+00:00,11361,1293,0.025,0.997,81
2026-09-06T13:03:35.404000+00:00,11361,1293,0.184,1.181,43
2026-09-06T13:03:35.544000+00:00,11361,1293,0.174,1.355,1
2026-09-06T13:03:35.841000+00:00,11361,1293,0.299,1.654,41
2026-09-06T13:03:36.201000+00:00,11361,1293,,1.964,87
2026-09-06T13:03:36.232000+00:00,11361,1293,0.383,2.037,5
2026-09-06T13:03:36.310000+00:00,11361,1293,,2.123,55
2026-09-06T13:03:36.638000+00:00,11361,1293,0.294,2.417,31
2026-09-06T13:03:36.747000+00:00,11361,1293,0.57,2.534,27
2026-09-06T13:03:36.857000+00:00,11361,1293,0.204,2.621,22
2026-09-06T13:03:36.997000+00:00,11361,1293,0.158,2.779,77
2026-09-06T13:03:37.122000+00:00,11361,1293,0.105,2.884,11
2026-09-06T13:03:37.232000+00:00,11361,1293,,2.986,12
2026-09-06T13:03:37.294000+00:00,11361,1293,0.098,3.084,23
2026-09-06T13:03:37.326000+00:00,11361,1293,0.232,3.116,18
2026-09-06T13:03:40.287000+00:00,11361,1293,0.099,0.099,63
2026-09-06T13:03:40.386000+00:00,11361,1293,0.092,0.191,16
2026-09-06T13:03:40.452000+00:00,11361,1293,0.105,0.296,44
2026-09-06T13:03:40.575000+00:00,11361,1293,0.105,0.401,81
2026-09-06T13:03:40.676000+00:00,11361,1293,0.112,0.513,3
2026-09-06T13:03:40.704000+00:00,11361,1293,0.008,0.521,43
2026-09-06T13:03:40.851000+00:00,11361,1293,0.135,0.656,1
2026-09-06T13:03:41.031000+00:00,11361,1293,0.179,0.835,41
2026-09-06T13:03:41.208000+00:00,11361,1293,0.209,1.044,87
2026-09-06T13:03:41.300000+00:00,11361,1293,0.049,1.093,55
2026-09-06T13:03:41.470000+00:00,11361,1293,0.203,1.296,5
2026-09-06T13:03:41.552000+00:00,11361,1293,0.074,1.37,31
2026-09-06T13:03:41.696000+00:00,11361,1293,0.127,1.497,22
2026-09-06T13:03:41.892000+00:00,11361,1293,0.227,1.724,27
2026-09-06T13:03:41.909000+00:00,11361,1293,0.001,1.725,11
2026-09-06T13:03:42.071000+00:00,11361,1293,0.155,1.88,12
2026-09-06T13:03:42.177000+00:00,11361,1293,0.109,1.989,77
2026-09-06T13:03:42.318000+00:00,11361,1293,0.146,2.135,18
2026-09-06T13:03:42.318000+00:00,11361,1293,0.014,1.894,23
2026-09-06T13:03:43.997000+00:00,11361,1293,0.255,0.255,63
2026-09-06T13:03:44.340000+00:00,11361,1293,0.284,0.539,16
2026-09-06T13:03:44.387000+00:00,11361,1293,0.03,0.569,44
2026-09-06T13:03:44.569000+00:00,11361,1293,0.244,0.813,3
2026-09-06T13:03:44.967000+00:00,11361,1293,0.266,1.079,81
2026-09-06T13:03:44.985000+00:00,11361,1293,0.115,1.194,43
2026-09-06T13:03:45.329000+00:00,11361,1293,0.108,1.302,1
2026-09-06T13:03:45.418000+00:00,11361,1293,0.225,1.527,41
2026-09-06T13:03:45.752000+00:00,11361,1293,0.206,1.733,55
2026-09-06T13:03:45.884000+00:00,11361,1293,0.129,1.862,87
2026-09-06T13:03:46.364000+00:00,11361,1293,0.436,2.298,31
2026-09-06T13:03:46.473000+00:00,11361,1293,0.114,2.412,5
2026-09-06T13:03:47.020000+00:00,11361,1293,0.279,2.691,22
2026-09-06T13:03:47.114000+00:00,11361,1293,0.106,2.797,27
2026-09-06T13:03:47.130000+00:00,11361,1293,4.847,6.982,30
2026-09-06T13:03:47.301000+00:00,11361,1293,0.207,3.004,12
2026-09-06T13:03:47.426000+00:00,11361,1293,0.036,3.04,11
2026-09-06T13:03:47.614000+00:00,11361,1293,0.482,7.464,14
2026-09-06T13:03:47.708000+00:00,11361,1293,0.335,3.375,77
2026-09-06T13:03:47.739000+00:00,11361,1293,0.033,3.408,23
2026-09-06T13:03:48.098000+00:00,11361,1293,0.476,3.884,18
2026-09-06T13:03:51.255000+00:00,11361,1293,3.625,7.509,30
2026-09-06T13:03:51.677000+00:00,11361,1293,0.675,0.675,63
2026-09-06T13:03:51.755000+00:00,11361,1293,0.49,7.999,14
2026-09-06T13:03:52.208000+00:00,11361,1293,0.486,1.161,16
2026-09-06T13:03:52.380000+00:00,11361,1293,0.212,1.373,3
2026-09-06T13:03:52.678000+00:00,11361,1293,0.27,1.643,81
2026-09-06T13:03:52.973000+00:00,11361,1293,0.28,1.923,43
2026-09-06T13:03:53.239000+00:00,11361,1293,0.286,2.209,41
2026-09-06T13:03:53.520000+00:00,11361,1293,0.253,2.462,1
2026-09-06T13:03:53.645000+00:00,11361,1293,0.153,2.615,44
2026-09-06T13:03:53.645000+00:00,11361,1293,0.028,2.643,87
2026-09-06T13:03:53.833000+00:00,11361,1293,0.105,2.748,55
2026-09-06T13:03:54.036000+00:00,11361,1293,0.204,2.952,5
2026-09-06T13:03:54.239000+00:00,11361,1293,0.229,3.181,31
2026-09-06T13:03:54.364000+00:00,11361,1293,0.168,3.349,27
2026-09-06T13:03:54.645000+00:00,11361,1293,0.296,3.645,22
2026-09-06T13:03:55.145000+00:00,11361,1293,0.482,4.127,11
2026-09-06T13:03:55.333000+00:00,11361,1293,0.189,4.316,12
2026-09-06T13:03:55.520000+00:00,11361,1293,0.199,4.515,77
2026-09-06T13:03:55.801000+00:00,11361,1293,0.272,4.787,23
2026-09-06T13:03:56.130000+00:00,11361,1293,0.35,5.137,18
2026-09-06T13:03:57.036000+00:00,11361,1293,0.538,0.538,63
2026-09-06T13:03:57.630000+00:00,11361,1293,0.568,1.106,16
2026-09-06T13:03:57.911000+00:00,11361,1293,0.282,1.388,3
2026-09-06T13:03:57.989000+00:00,11361,1293,0.085,1.473,81
2026-09-06T13:03:58.348000+00:00,11361,1293,0.362,1.835,43
2026-09-06T13:03:58.426000+00:00,11361,1293,2.304,7.441,30
2026-09-06T13:03:58.692000+00:00,11361,1293,0.337,2.172,41
2026-09-06T13:03:58.786000+00:00,11361,1293,0.106,2.278,1
2026-09-06T13:03:58.911000+00:00,11361,1293,0.469,7.91,14
2026-09-06T13:03:59.223000+00:00,11361,1293,0.39,2.668,87
2026-09-06T13:03:59.239000+00:00,11361,1293,0.044,2.712,44
2026-09-06T13:03:59.270000+00:00,11361,1293,0.041,2.753,55
2026-09-06T13:03:59.395000+00:00,11361,1293,0.114,2.867,5
2026-09-06T13:03:59.552000+00:00,11361,1293,0.187,3.054,31
2026-09-06T13:03:59.739000+00:00,11361,1293,0.148,3.202,27
2026-09-06T13:03:59.989000+00:00,11361,1293,0.279,3.481,22
2026-09-06T13:04:00.598000+00:00,11361,1293,0.59,4.071,11
2026-09-06T13:04:00.661000+00:00,11361,1293,0.086,4.157,12
2026-09-06T13:04:00.692000+00:00,11361,1293,0.32,0.32,63
2026-09-06T13:04:00.958000+00:00,11361,1293,0.281,4.438,77
2026-09-06T13:04:01.223000+00:00,11361,1293,0.27,4.708,23
2026-09-06T13:04:01.380000+00:00,11361,1293,0.675,0.995,16
2026-09-06T13:04:01.583000+00:00,11361,1293,0.213,1.208,81
2026-09-06T13:04:01.739000+00:00,11361,1293,0.148,1.356,3
2026-09-06T13:04:01.974000+00:00,11361,1293,0.748,5.456,18
2026-09-06T13:04:02.005000+00:00,11361,1293,0.261,1.617,43
2026-09-06T13:04:02.302000+00:00,11361,1293,0.255,1.872,1
2026-09-06T13:04:02.395000+00:00,11361,1293,0.093,1.965,41
2026-09-06T13:04:02.958000+00:00,11361,1293,0.611,2.576,87
2026-09-06T13:04:03.005000+00:00,11361,1293,0.018,2.594,44
2026-09-06T13:04:03.081000+00:00,11361,1293,0.09,2.684,5
2026-09-06T13:04:03.132000+00:00,11361,1293,0.015,2.699,55
2026-09-06T13:04:03.241000+00:00,11361,1293,0.132,2.831,31
2026-09-06T13:04:03.308000+00:00,11361,1293,0.076,2.907,27
2026-09-06T13:04:03.510000+00:00,11361,1293,0.185,3.092,22
2026-09-06T13:04:04.018000+00:00,11361,1293,2.039,7.495,30
2026-09-06T13:04:04.256000+00:00,11361,1293,0.392,0.392,63
2026-09-06T13:04:04.277000+00:00,11361,1293,0.775,3.867,12
2026-09-06T13:04:04.321000+00:00,11361,1293,0.057,3.924,11
2026-09-06T13:04:04.529000+00:00,11361,1293,0.52,8.015,14
2026-09-06T13:04:04.684000+00:00,11361,1293,0.329,4.253,77
2026-09-06T13:04:04.884000+00:00,11361,1293,0.668,1.06,16
