position,driver_number,lap_duration,meeting_key,session_key
1,12,104.361,1290,11330
2,3,104.678,1290,11330
3,63,104.869,1290,11330
4,16,104.893,1290,11330
5,44,104.895,1290,11330
6,81,105.016,1290,11330
7,41,105.143,1290,11330
8,5,105.628,1290,11330
9,30,106.12,1290,11330
10,10,106.331,1290,11330
11,43,106.392,1290,11330
12,27,106.671,1290,11330
13,1,104.801,1290,11330
14,55,106.777,1290,11330
15,87,106.779,1290,11330
16,23,107.12,1290,11330
17,31,107.801,1290,11330
18,77,107.823,1290,11330
19,11,107.971,1290,11330
20,18,110.177,1290,11330
21,6,,1290,11330
22,14,110.002,1290,11330
