date,session_key,driver_number,stop_duration,pit_duration,lane_duration,meeting_key,lap_number
2026-09-12T10:35:13.923000+00:00,11364,5,,,,1294,1
2026-09-12T10:35:59.075000+00:00,11364,27,,,,1294,1
2026-09-12T10:36:31.722000+00:00,11364,77,,,,1294,1
2026-09-12T10:36:41.347000+00:00,11364,43,,,,1294,1
2026-09-12T10:37:08.957000+00:00,11364,14,,,,1294,1
2026-09-12T10:37:35.104000+00:00,11364,18,,,,1294,1
2026-09-12T10:37:53.959000+00:00,11364,55,,,,1294,1
2026-09-12T10:38:00.649000+00:00,11364,23,,,,1294,1
2026-09-12T10:39:03.265000+00:00,11364,11,,,,1294,1
2026-09-12T10:40:13.975000+00:00,11364,30,,,,1294,1
2026-09-12T10:42:06.671000+00:00,11364,1,,,,1294,1
2026-09-12T10:42:38.055000+00:00,11364,16,,,,1294,1
2026-09-12T10:42:51.607000+00:00,11364,44,,,,1294,1
2026-09-12T10:42:57.496000+00:00,11364,22,,,,1294,1
2026-09-12T10:43:02.660000+00:00,11364,10,,,,1294,1
2026-09-12T10:43:04.478000+00:00,11364,77,,38.3,38.3,1294,4
2026-09-12T10:43:10.869000+00:00,11364,12,,,,1294,1
2026-09-12T10:43:16.293000+00:00,11364,31,,,,1294,1
2026-09-12T10:43:21.229000+00:00,11364,87,,,,1294,1
2026-09-12T10:43:26.011000+00:00,11364,43,,43.4,43.4,1294,4
2026-09-12T10:44:04.457000+00:00,11364,81,,,,1294,1
2026-09-12T10:44:17.542000+00:00,11364,63,,,,1294,1
2026-09-12T10:45:31.825000+00:00,11364,11,,25.6,25.6,1294,4
2026-09-12T10:48:30.732000+00:00,11364,55,,45.5,45.5,1294,6
2026-09-12T10:49:29.955000+00:00,11364,44,,34.9,34.9,1294,4
2026-09-12T10:50:18.084000+00:00,11364,31,,64.3,64.3,1294,4
2026-09-12T10:50:28.526000+00:00,11364,3,,,,1294,1
2026-09-12T10:50:33.039000+00:00,11364,87,,55.9,55.9,1294,4
2026-09-12T10:53:07.398000+00:00,11364,16,,43.8,43.8,1294,6
2026-09-12T11:32:02.306000+00:00,11364,77,,2595.1,2595.1,1294,7
2026-09-12T11:32:07.275000+00:00,11364,10,,,,1294,6
2026-09-12T11:32:14.847000+00:00,11364,43,,2441.3,2441.3,1294,8
2026-09-12T11:32:19.725000+00:00,11364,11,,2434.0,2434.0,1294,7
2026-09-12T11:32:24.694000+00:00,11364,31,,2590.4,2590.4,1294,6
2026-09-12T11:32:31.649000+00:00,11364,87,,2574.5,2574.5,1294,6
2026-09-12T11:32:39.570000+00:00,11364,14,,,,1294,10
2026-09-12T11:32:44.772000+00:00,11364,22,,,,1294,6
2026-09-12T11:32:51.200000+00:00,11364,41,,,,1294,1
2026-09-12T11:32:53.326000+00:00,11364,55,,2707.5,2707.5,1294,9
2026-09-12T11:32:57.574000+00:00,11364,30,,,,1294,8
2026-09-12T11:33:03.586000+00:00,11364,3,,,,1294,3
2026-09-12T11:33:06.227000+00:00,11364,16,,2442.7,2442.7,1294,7
2026-09-12T11:33:12.855000+00:00,11364,81,,,,1294,6
2026-09-12T11:33:15.555000+00:00,11364,5,,2521.4,2521.4,1294,9
2026-09-12T11:33:21.549000+00:00,11364,18,,2597.8,2597.8,1294,7
2026-09-12T11:33:47.532000+00:00,11364,1,,,,1294,7
2026-09-12T11:34:06.265000+00:00,11364,12,,,,1294,7
2026-09-12T11:34:12.578000+00:00,11364,63,,,,1294,6
2026-09-12T11:35:20.247000+00:00,11364,55,,36.8,36.8,1294,10
2026-09-12T11:36:31.048000+00:00,11364,31,,37.0,37.0,1294,8
2026-09-12T11:36:37.111000+00:00,11364,87,,40.2,40.2,1294,8
2026-09-12T11:38:04.002000+00:00,11364,10,,33.9,33.9,1294,9
2026-09-12T11:38:09.352000+00:00,11364,27,,,,1294,11
2026-09-12T11:38:33.381000+00:00,11364,43,,34.4,34.4,1294,11
2026-09-12T11:38:37.503000+00:00,11364,22,,34.0,34.0,1294,9
2026-09-12T11:38:41.446000+00:00,11364,11,,40.5,40.5,1294,10
2026-09-12T11:38:52.236000+00:00,11364,14,,39.6,39.6,1294,13
2026-09-12T11:38:58.523000+00:00,11364,3,,38.2,38.2,1294,6
2026-09-12T11:39:53.687000+00:00,11364,81,,34.9,34.9,1294,9
2026-09-12T11:40:10.938000+00:00,11364,5,,42.3,42.3,1294,12
2026-09-12T11:42:16.053000+00:00,11364,10,,34.8,34.8,1294,11
2026-09-12T11:42:46.503000+00:00,11364,41,,31.9,31.9,1294,6
2026-09-12T11:43:45.289000+00:00,11364,31,,91.4,91.4,1294,11
2026-09-12T11:43:51.130000+00:00,11364,87,,52.6,52.6,1294,11
2026-09-12T11:45:01.947000+00:00,11364,18,,49.7,49.7,1294,12
2026-09-12T11:45:11.525000+00:00,11364,43,,38.5,38.5,1294,14
2026-09-12T11:45:15.885000+00:00,11364,27,,97.9,97.9,1294,14
