date,session_key,track_temperature,meeting_key,wind_direction,wind_speed,rainfall,humidity,pressure,air_temperature
2026-09-05T14:49:47.350000+00:00,11357,53.3,1293,124,0.4,0,35.2,994.5,33.8
2026-09-05T14:50:47.360000+00:00,11357,52.4,1293,279,1.4,0,35.2,994.5,33.8
2026-09-05T14:51:47.363000+00:00,11357,53.0,1293,214,1.5,0,34.0,994.5,33.9
2026-09-05T14:52:47.361000+00:00,11357,51.4,1293,254,2.1,0,34.4,994.5,33.9
2026-09-05T14:53:47.410000+00:00,11357,52.5,1293,238,1.2,0,34.2,994.6,33.9
2026-09-05T14:54:47.369000+00:00,11357,53.1,1293,204,0.5,0,33.9,994.6,33.9
2026-09-05T14:55:47.372000+00:00,11357,52.6,1293,240,0.6,0,34.7,994.6,33.9
2026-09-05T14:56:47.372000+00:00,11357,51.3,1293,269,1.9,0,34.0,994.6,33.9
2026-09-05T14:57:47.373000+00:00,11357,51.7,1293,249,0.9,0,34.1,994.5,33.9
2026-09-05T14:58:47.369000+00:00,11357,52.4,1293,0,0.0,0,34.3,994.5,33.9
2026-09-05T14:59:47.362000+00:00,11357,51.9,1293,24,1.4,0,34.6,994.6,34.0
2026-09-05T15:00:47.372000+00:00,11357,51.8,1293,213,0.9,0,33.9,994.5,34.1
2026-09-05T15:01:47.374000+00:00,11357,51.7,1293,212,1.3,0,33.8,994.6,34.0
2026-09-05T15:02:47.373000+00:00,11357,51.6,1293,335,0.6,0,34.0,994.6,34.0
