date,session_key,pit_duration,meeting_key,lap_number,driver_number,lane_duration,stop_duration
2026-09-05T14:00:58.306000+00:00,11357,,1293,1,30,,
2026-09-05T14:01:00.171000+00:00,11357,,1293,1,18,,
2026-09-05T14:01:02.977000+00:00,11357,,1293,1,87,,
2026-09-05T14:01:05.132000+00:00,11357,,1293,1,55,,
2026-09-05T14:01:06.382000+00:00,11357,,1293,1,23,,
2026-09-05T14:01:09.695000+00:00,11357,,1293,1,14,,
2026-09-05T14:01:12.101000+00:00,11357,,1293,1,31,,
2026-09-05T14:01:19.026000+00:00,11357,,1293,1,11,,
2026-09-05T14:01:21.477000+00:00,11357,,1293,1,77,,
2026-09-05T14:01:27.356000+00:00,11357,,1293,1,16,,
2026-09-05T14:01:29.552000+00:00,11357,,1293,1,44,,
2026-09-05T14:01:32.090000+00:00,11357,,1293,1,27,,
2026-09-05T14:01:34.145000+00:00,11357,,1293,1,5,,
2026-09-05T14:01:40.180000+00:00,11357,,1293,1,1,,
2026-09-05T14:01:45.999000+00:00,11357,,1293,1,3,,
2026-09-05T14:01:54.365000+00:00,11357,,1293,1,81,,
2026-09-05T14:05:25.778000+00:00,11357,,1293,1,12,,
2026-09-05T14:05:29.481000+00:00,11357,,1293,1,63,,
2026-09-05T14:05:33.160000+00:00,11357,,1293,1,41,,
2026-09-05T14:05:34.097000+00:00,11357,,1293,1,22,,
2026-09-05T14:05:37.707000+00:00,11357,,1293,1,10,,
2026-09-05T14:05:40.865000+00:00,11357,,1293,1,43,,
2026-09-05T14:06:45.670000+00:00,11357,22.5,1293,4,16,22.5,
2026-09-05T14:08:26.323000+00:00,11357,148.4,1293,4,55,148.4,
2026-09-05T14:08:28.484000+00:00,11357,142.0,1293,4,14,142.0,
2026-09-05T14:08:30.020000+00:00,11357,154.5,1293,4,18,154.5,
2026-09-05T14:08:31.654000+00:00,11357,166.1,1293,4,87,166.1,
2026-09-05T14:08:33.320000+00:00,11357,151.5,1293,4,31,151.5,
2026-09-05T14:08:35.039000+00:00,11357,151.0,1293,4,11,151.0,
2026-09-05T14:08:36.647000+00:00,11357,147.9,1293,4,77,147.9,
2026-09-05T14:11:41.855000+00:00,11357,164.0,1293,6,30,164.0,
2026-09-05T14:14:33.252000+00:00,11357,464.3,1293,4,81,464.3,
2026-09-05T14:14:35.377000+00:00,11357,83.4,1293,7,87,83.4,
2026-09-05T14:14:37.846000+00:00,11357,388.0,1293,5,1,388.0,
2026-09-05T14:14:40.455000+00:00,11357,254.5,1293,4,12,254.5,
2026-09-05T14:14:42.315000+00:00,11357,255.2,1293,4,63,255.2,
2026-09-05T14:14:43.502000+00:00,11357,258.3,1293,4,22,258.3,
2026-09-05T14:14:44.987000+00:00,11357,264.3,1293,4,41,264.3,
2026-09-05T14:14:48.893000+00:00,11357,248.8,1293,4,10,248.8,
2026-09-05T14:14:51.190000+00:00,11357,512.6,1293,4,27,512.6,
2026-09-05T14:14:53.893000+00:00,11357,98.3,1293,7,31,98.3,
2026-09-05T14:14:55.111000+00:00,11357,507.3,1293,4,5,507.3,
2026-09-05T14:14:57.815000+00:00,11357,104.5,1293,7,55,104.5,
2026-09-05T14:14:58.908000+00:00,11357,546.5,1293,4,23,546.5,
2026-09-05T14:15:02.721000+00:00,11357,259.0,1293,4,43,259.0,
2026-09-05T14:15:05.123000+00:00,11357,96.6,1293,7,18,96.6,
2026-09-05T14:15:10.203000+00:00,11357,111.8,1293,7,11,111.8,
2026-09-05T14:15:13.269000+00:00,11357,109.2,1293,7,77,109.2,
2026-09-05T14:25:27.088000+00:00,11357,409.8,1293,10,30,409.8,
2026-09-05T14:25:30.740000+00:00,11357,1135.6,1293,4,3,1135.6,
2026-09-05T14:25:33.928000+00:00,11357,327.6,1293,10,55,327.6,
2026-09-05T14:29:32.544000+00:00,11357,693.5,1293,6,12,693.5,
2026-09-05T14:29:34.640000+00:00,11357,683.5,1293,6,63,683.5,
2026-09-05T14:29:37.178000+00:00,11357,604.7,1293,10,87,604.7,
2026-09-05T14:29:40.098000+00:00,11357,583.8,1293,7,10,583.8,
2026-09-05T14:29:41.848000+00:00,11357,578.7,1293,10,31,578.7,
2026-09-05T14:29:44.292000+00:00,11357,1085.9,1293,7,16,1085.9,
2026-09-05T14:29:49.608000+00:00,11357,608.8,1293,8,1,608.8,
2026-09-05T14:29:53.274000+00:00,11357,1401.9,1293,4,44,1401.9,
2026-09-05T14:29:57.673000+00:00,11357,539.5,1293,8,81,539.5,
2026-09-05T14:30:00.185000+00:00,11357,603.2,1293,7,27,603.2,
2026-09-05T14:30:03.244000+00:00,11357,601.5,1293,7,5,601.5,
2026-09-05T14:30:05.338000+00:00,11357,620.6,1293,7,41,620.6,
2026-09-05T14:30:09.958000+00:00,11357,597.7,1293,7,43,597.7,
2026-09-05T14:32:53.143000+00:00,11357,169.9,1293,13,30,169.9,
2026-09-05T14:32:55.068000+00:00,11357,170.1,1293,7,3,170.1,
2026-09-05T14:33:01.265000+00:00,11357,164.1,1293,13,55,164.1,
2026-09-05T14:37:24.132000+00:00,11357,176.8,1293,10,16,176.8,
2026-09-05T14:37:25.330000+00:00,11357,170.2,1293,7,44,170.2,
2026-09-05T14:37:27.229000+00:00,11357,183.6,1293,13,87,183.6,
2026-09-05T14:37:28.643000+00:00,11357,161.7,1293,10,41,161.7,
2026-09-05T14:37:30.594000+00:00,11357,190.1,1293,9,12,190.1,
2026-09-05T14:37:34+00:00,11357,191.5,1293,9,63,191.5,
2026-09-05T14:37:37.719000+00:00,11357,176.5,1293,11,1,176.5,
2026-09-05T14:37:41.188000+00:00,11357,176.2,1293,11,81,176.2,
2026-09-05T14:37:43.332000+00:00,11357,193.0,1293,13,31,193.0,
2026-09-05T14:37:46.472000+00:00,11357,192.3,1293,10,10,192.3,
2026-09-05T14:37:48.941000+00:00,11357,179.4,1293,10,5,179.4,
2026-09-05T14:37:51.316000+00:00,11357,185.8,1293,10,27,185.8,
2026-09-05T14:37:53.909000+00:00,11357,176.7,1293,10,43,176.7,
2026-09-05T14:47:09.556000+00:00,11357,289.7,1293,12,12,289.7,
2026-09-05T14:47:10.806000+00:00,11357,286.9,1293,12,63,286.9,
2026-09-05T14:47:15.057000+00:00,11357,287.2,1293,14,1,287.2,
2026-09-05T14:47:18.041000+00:00,11357,286.5,1293,14,81,286.5,
2026-09-05T14:47:19.916000+00:00,11357,279.5,1293,13,10,279.5,
2026-09-05T14:47:21.650000+00:00,11357,274.8,1293,13,43,274.8,
2026-09-05T14:47:23.666000+00:00,11357,311.8,1293,13,41,311.8,
2026-09-05T14:47:26.650000+00:00,11357,380.0,1293,12,3,380.0,
2026-09-05T14:47:31.025000+00:00,11357,324.1,1293,13,16,324.1,
2026-09-05T14:47:58.613000+00:00,11357,344.8,1293,10,44,344.8,
2026-09-05T14:51:03.907000+00:00,11357,25.9,1293,14,12,25.9,
2026-09-05T14:57:50.860000+00:00,11357,352.5,1293,17,81,352.5,
2026-09-05T14:57:54.573000+00:00,11357,360.9,1293,17,1,360.9,
2026-09-05T14:57:56.971000+00:00,11357,351.3,1293,15,3,351.3,
2026-09-05T14:57:58.135000+00:00,11357,130.0,1293,17,12,130.0,
2026-09-05T14:58:00.737000+00:00,11357,369.3,1293,15,63,369.3,
2026-09-05T14:58:02.194000+00:00,11357,358.3,1293,16,41,358.3,
2026-09-05T14:58:05.382000+00:00,11357,353.7,1293,16,16,353.7,
2026-09-05T14:58:08.438000+00:00,11357,339.6,1293,13,44,339.6,
2026-09-05T14:58:10.680000+00:00,11357,361.4,1293,16,10,361.4,
2026-09-05T14:58:13.035000+00:00,11357,359.0,1293,16,43,359.0,
