date,session_key,air_temperature,meeting_key,humidity,pressure,wind_direction,rainfall,wind_speed,track_temperature
2026-08-23T12:07:04.260000+00:00,11353,18.7,1292,56.2,1024.6,96,0,2.2,32.9
2026-08-23T12:08:04.264000+00:00,11353,18.7,1292,56.5,1024.5,73,0,1.1,32.6
2026-08-23T12:09:04.271000+00:00,11353,18.7,1292,57.5,1024.6,58,0,0.7,33.2
2026-08-23T12:10:04.266000+00:00,11353,18.6,1292,58.4,1024.6,76,0,0.8,32.5
2026-08-23T12:11:04.273000+00:00,11353,18.5,1292,57.8,1024.6,77,0,2.3,32.0
2026-08-23T12:12:04.256000+00:00,11353,18.4,1292,57.2,1024.7,353,0,1.9,31.0
2026-08-23T12:13:04.256000+00:00,11353,18.2,1292,60.3,1024.7,56,0,2.7,30.4
2026-08-23T12:14:04.261000+00:00,11353,18.0,1292,63.5,1024.6,45,1,3.1,28.9
2026-08-23T12:15:04.267000+00:00,11353,17.9,1292,66.4,1024.6,64,1,1.2,28.8
2026-08-23T12:16:04.271000+00:00,11353,17.7,1292,68.7,1024.5,92,1,1.8,27.3
2026-08-23T12:17:04.262000+00:00,11353,17.5,1292,69.5,1024.7,48,1,1.7,27.3
2026-08-23T12:18:04.273000+00:00,11353,17.3,1292,70.6,1024.6,58,1,2.0,26.8
2026-08-23T12:19:04.272000+00:00,11353,17.1,1292,71.8,1024.7,43,1,2.9,27.0
2026-08-23T12:20:04.280000+00:00,11353,16.9,1292,71.1,1024.7,58,1,2.5,26.3
2026-08-23T12:21:04.272000+00:00,11353,16.8,1292,71.9,1024.7,95,1,0.8,26.9
2026-08-23T12:22:04.279000+00:00,11353,16.7,1292,72.1,1024.7,37,1,2.0,26.4
2026-08-23T12:23:04.276000+00:00,11353,16.7,1292,72.4,1024.7,17,0,2.4,26.3
2026-08-23T12:24:04.293000+00:00,11353,16.8,1292,72.4,1024.7,354,0,0.9,26.8
2026-08-23T12:25:04.285000+00:00,11353,16.8,1292,72.9,1024.7,56,0,1.1,27.0
2026-08-23T12:26:04.281000+00:00,11353,16.7,1292,72.8,1024.7,83,1,1.8,27.2
2026-08-23T12:27:04.284000+00:00,11353,16.8,1292,72.6,1024.8,57,1,1.2,26.6
2026-08-23T12:28:04.273000+00:00,11353,16.8,1292,71.6,1024.7,13,1,2.4,26.7
2026-08-23T12:29:04.283000+00:00,11353,16.8,1292,71.3,1024.8,47,0,2.4,26.5
2026-08-23T12:30:04.318000+00:00,11353,16.8,1292,69.9,1024.8,47,1,2.2,26.6
2026-08-23T12:31:04.285000+00:00,11353,16.8,1292,71.3,1024.8,45,1,1.5,26.8
2026-08-23T12:32:04.270000+00:00,11353,16.7,1292,71.2,1024.7,46,1,1.2,26.4
