date,session_key,lap_number,driver_number,pit_duration,stop_duration,lane_duration,meeting_key
2026-08-23T13:33:05.260000+00:00,11353,2,1,1571.5,,1571.5,1292
2026-08-23T13:33:08.095000+00:00,11353,2,12,1572.5,,1572.5,1292
2026-08-23T13:33:12.352000+00:00,11353,2,63,1573.6,,1573.6,1292
2026-08-23T13:33:16.132000+00:00,11353,2,16,1573.7,,1573.7,1292
2026-08-23T13:33:19.752000+00:00,11353,2,81,1574.8,,1574.8,1292
2026-08-23T13:33:25.023000+00:00,11353,2,44,1576.6,,1576.6,1292
2026-08-23T13:33:27.758000+00:00,11353,2,30,1576.8,,1576.8,1292
2026-08-23T13:33:33.508000+00:00,11353,2,41,1578.2,,1578.2,1292
2026-08-23T13:33:36.629000+00:00,11353,2,10,1577.2,,1577.2,1292
2026-08-23T13:33:40.026000+00:00,11353,2,43,1578.8,,1578.8,1292
2026-08-23T13:33:45.824000+00:00,11353,2,22,1581.1,,1581.1,1292
2026-08-23T13:33:49.090000+00:00,11353,2,27,1582.9,,1582.9,1292
2026-08-23T13:33:50.913000+00:00,11353,2,23,1579.2,,1579.2,1292
2026-08-23T13:33:54.503000+00:00,11353,2,31,1584.8,,1584.8,1292
2026-08-23T13:34:00.266000+00:00,11353,2,14,1587.1,,1587.1,1292
2026-08-23T13:34:02.610000+00:00,11353,2,87,1584.6,,1584.6,1292
2026-08-23T13:34:05.710000+00:00,11353,2,5,1583.7,,1583.7,1292
2026-08-23T13:34:40.026000+00:00,11353,2,18,1619.9,,1619.9,1292
2026-08-23T13:34:41.698000+00:00,11353,2,55,1617.4,,1617.4,1292
2026-08-23T13:34:44.151000+00:00,11353,2,77,1612.1,,1612.1,1292
2026-08-23T13:34:46.016000+00:00,11353,2,11,1618.0,,1618.0,1292
2026-08-23T13:41:20.293000+00:00,11353,5,41,12.3,,12.3,1292
2026-08-23T13:45:19.012000+00:00,11353,8,43,12.0,,12.0,1292
2026-08-23T13:49:24.979000+00:00,11353,11,5,18.0,,18.0,1292
2026-08-23T13:54:45.114000+00:00,11353,15,18,17.6,,17.6,1292
2026-08-23T13:56:02.015000+00:00,11353,16,31,18.6,,18.6,1292
2026-08-23T13:56:54.016000+00:00,11353,17,63,18.0,,18.0,1292
2026-08-23T13:58:11.766000+00:00,11353,18,81,20.2,,20.2,1292
2026-08-23T13:58:30.380000+00:00,11353,18,10,18.0,,18.0,1292
2026-08-23T13:58:34.848000+00:00,11353,18,22,18.0,,18.0,1292
2026-08-23T13:59:49.557000+00:00,11353,19,27,17.0,,17.0,1292
2026-08-23T14:01:55.449000+00:00,11353,21,12,18.7,,18.7,1292
2026-08-23T14:01:57.042000+00:00,11353,21,1,18.0,,18.0,1292
2026-08-23T14:02:07.026000+00:00,11353,21,16,19.7,,19.7,1292
2026-08-23T14:02:18.875000+00:00,11353,21,30,18.6,,18.6,1292
2026-08-23T14:03:00.159000+00:00,11353,21,43,19.4,,19.4,1292
2026-08-23T14:07:17.499000+00:00,11353,25,44,17.8,,17.8,1292
2026-08-23T14:09:11.916000+00:00,11353,26,23,17.5,,17.5,1292
2026-08-23T14:12:22.125000+00:00,11353,28,77,20.0,,20.0,1292
2026-08-23T14:13:42.184000+00:00,11353,29,11,18.4,,18.4,1292
2026-08-23T14:14:42.578000+00:00,11353,30,55,17.8,,17.8,1292
2026-08-23T14:19:45.499000+00:00,11353,34,14,17.6,,17.6,1292
2026-08-23T14:19:59.920000+00:00,11353,34,5,17.5,,17.5,1292
2026-08-23T14:21:28.904000+00:00,11353,35,18,17.2,,17.2,1292
2026-08-23T14:22:41.117000+00:00,11353,36,41,18.5,,18.5,1292
2026-08-23T14:22:44.742000+00:00,11353,36,31,17.9,,17.9,1292
2026-08-23T14:26:27.430000+00:00,11353,40,12,17.7,,17.7,1292
2026-08-23T14:26:37.440000+00:00,11353,40,63,17.4,,17.4,1292
2026-08-23T14:30:30.957000+00:00,11353,43,16,18.7,,18.7,1292
2026-08-23T14:31:58.200000+00:00,11353,44,81,18.1,,18.1,1292
2026-08-23T14:32:58.543000+00:00,11353,44,22,17.8,,17.8,1292
2026-08-23T14:34:49.935000+00:00,11353,45,43,18.3,,18.3,1292
2026-08-23T14:35:24.577000+00:00,11353,47,1,17.5,,17.5,1292
2026-08-23T14:35:35.606000+00:00,11353,46,10,18.1,,18.1,1292
2026-08-23T14:36:11.351000+00:00,11353,47,30,18.2,,18.2,1292
2026-08-23T14:37:55.220000+00:00,11353,48,27,17.7,,17.7,1292
2026-08-23T14:39:53.413000+00:00,11353,49,23,17.4,,17.4,1292
2026-08-23T14:43:19.720000+00:00,11353,51,77,19.6,,19.6,1292
2026-08-23T14:44:15.983000+00:00,11353,52,11,18.5,,18.5,1292
2026-08-23T14:45:02.725000+00:00,11353,53,5,19.2,,19.2,1292
2026-08-23T14:46:10.280000+00:00,11353,55,44,18.7,,18.7,1292
2026-08-23T14:46:18.402000+00:00,11353,55,16,18.7,,18.7,1292
2026-08-23T14:46:39.148000+00:00,11353,55,81,17.8,,17.8,1292
2026-08-23T14:47:52.045000+00:00,11353,56,12,19.1,,19.1,1292
2026-08-23T15:02:28.164000+00:00,11353,65,55,18.0,,18.0,1292
