position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,44,66,25.0,False,False,False,5548.105,0,1287,11307
2,63,66,18.0,False,False,False,5567.666,19.561,1287,11307
3,1,66,15.0,False,False,False,5571.824,23.719,1287,11307
4,3,66,12.0,False,False,False,5588.602,40.497,1287,11307
5,81,66,10.0,False,False,False,5606.766,58.661,1287,11307
6,6,65,8.0,False,False,False,,+1 LAP,1287,11307
7,10,65,6.0,False,False,False,,+1 LAP,1287,11307
8,30,65,4.0,False,False,False,,+1 LAP,1287,11307
9,41,65,2.0,False,False,False,,+1 LAP,1287,11307
10,43,65,1.0,False,False,False,,+1 LAP,1287,11307
11,5,64,0.0,False,False,False,,+2 LAPS,1287,11307
12,55,64,0.0,False,False,False,,+2 LAPS,1287,11307
13,31,64,0.0,False,False,False,,+2 LAPS,1287,11307
14,11,63,0.0,False,False,False,,+3 LAPS,1287,11307
15,16,62,0.0,True,False,False,,,1287,11307
16,12,61,0.0,True,False,False,,,1287,11307
17,87,60,0.0,True,False,False,,,1287,11307
,23,55,0.0,False,False,False,,+11 LAPS,1287,11307
,14,37,0.0,True,False,False,,,1287,11307
,27,29,0.0,True,False,False,,,1287,11307
,77,15,0.0,True,False,False,,,1287,11307
,18,5,0.0,True,False,False,,,1287,11307
