date,session_key,pit_duration,lane_duration,meeting_key,lap_number,driver_number,stop_duration,source_closure_retrieved_utc
2026-05-02T16:25:14.670000+00:00,11275,40.821,40.821,1284,13,23,20.6,2026-08-23T10:40:05.885099Z
2026-05-03T17:06:24.855000+00:00,11280,33.71,33.71,1284,1,27,12.7,2026-08-23T10:40:17.685543Z
2026-05-03T17:14:40.156000+00:00,11280,22.547,22.547,1284,6,3,2.4,2026-08-23T10:40:17.685543Z
2026-05-03T17:15:01.436000+00:00,11280,23.529,23.529,1284,6,77,3.0,2026-08-23T10:40:17.685543Z
2026-05-03T17:40:30.702000+00:00,11280,22.0,22.0,1284,20,63,,2026-08-23T10:40:17.685543Z
2026-05-03T17:42:03.129000+00:00,11280,23.386,23.386,1284,21,16,3.7,2026-08-23T10:40:17.685543Z
2026-05-03T17:42:42.184000+00:00,11280,23.827,23.827,1284,21,77,3.3,2026-08-23T10:40:17.685543Z
2026-05-03T17:42:43.220000+00:00,11280,22.63,22.63,1284,21,18,2.8,2026-08-23T10:40:17.685543Z
2026-05-03T17:49:41.487000+00:00,11280,22.128,22.128,1284,26,12,2.2,2026-08-23T10:40:17.685543Z
2026-05-03T17:50:16.658000+00:00,11280,23.474,23.474,1284,26,87,4.6,2026-08-23T10:40:17.685543Z
2026-05-03T17:51:13.396000+00:00,11280,22.565,22.565,1284,27,1,2.8,2026-08-23T10:40:17.685543Z
2026-05-03T17:51:33.718000+00:00,11280,23.779,23.779,1284,27,44,3.8,2026-08-23T10:40:17.685543Z
2026-05-03T17:51:49.624000+00:00,11280,23.016,23.016,1284,27,23,3.3,2026-08-23T10:40:17.685543Z
2026-05-03T17:53:01.295000+00:00,11280,23.024,23.024,1284,28,81,3.4,2026-08-23T10:40:17.685543Z
2026-05-03T17:53:22.109000+00:00,11280,23.595,23.595,1284,28,55,4.2,2026-08-23T10:40:17.685543Z
2026-05-03T17:53:42.425000+00:00,11280,22.731,22.731,1284,28,41,2.5,2026-08-23T10:40:17.685543Z
2026-05-03T17:55:29.195000+00:00,11280,23.2,23.2,1284,29,11,,2026-08-23T10:40:17.685543Z
2026-05-03T17:57:25.955000+00:00,11280,17.1,17.1,1284,30,77,,2026-08-23T10:40:17.685543Z
2026-05-03T17:57:54.710000+00:00,11280,23.093,23.093,1284,31,43,2.9,2026-08-23T10:40:17.685543Z
2026-05-03T17:58:16.484000+00:00,11280,24.027,24.027,1284,31,31,3.9,2026-08-23T10:40:17.685543Z
2026-05-03T17:59:55.617000+00:00,11280,23.986,23.986,1284,32,5,3.1,2026-08-23T10:40:17.685543Z
2026-05-03T18:08:38.349000+00:00,11280,22.09,22.09,1284,37,18,2.8,2026-08-23T10:40:17.685543Z
2026-05-03T18:14:48.371000+00:00,11280,23.16,23.16,1284,41,14,3.1,2026-08-23T10:40:17.685543Z
2026-05-23T16:15:39.227000+00:00,11286,155.1,155.1,1285,7,6,,2026-08-23T10:41:01.267618Z
2026-05-23T16:18:32.832000+00:00,11286,23.5,23.5,1285,9,6,,2026-08-23T10:41:01.267618Z
2026-05-23T16:22:01.414000+00:00,11286,24.0,24.0,1285,14,23,,2026-08-23T10:41:01.267618Z
2026-05-23T16:23:24.074000+00:00,11286,24.6,24.6,1285,15,14,,2026-08-23T10:41:01.267618Z
2026-05-23T16:27:20.351000+00:00,11286,38.4,38.4,1285,18,87,,2026-08-23T10:41:01.267618Z
2026-05-23T16:29:03.467000+00:00,11286,70.6,70.6,1285,19,10,,2026-08-23T10:41:01.267618Z
2026-05-24T20:11:35.201000+00:00,11291,24.1,24.1,1285,1,81,,2026-08-23T10:41:12.345635Z
2026-05-24T20:12:53.655000+00:00,11291,23.4,23.4,1285,2,1,,2026-08-23T10:41:12.345635Z
2026-05-24T20:13:06.553000+00:00,11291,24.9,24.9,1285,2,27,,2026-08-23T10:41:12.345635Z
2026-05-24T20:13:10.208000+00:00,11291,24.7,24.7,1285,2,55,,2026-08-23T10:41:12.345635Z
2026-05-24T20:13:12.614000+00:00,11291,28.1,28.1,1285,2,5,,2026-08-23T10:41:12.345635Z
2026-05-24T20:13:13.091000+00:00,11291,25.7,25.7,1285,2,11,,2026-08-23T10:41:12.345635Z
