date,session_key,driver_number,meeting_key,pit_duration,lap_number,stop_duration,lane_duration,source_closure_retrieved_utc
2026-05-01T20:31:14.831000+00:00,11271,77,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:21.180000+00:00,11271,31,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:23.920000+00:00,11271,87,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:26.390000+00:00,11271,18,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:28.608000+00:00,11271,10,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:32.695000+00:00,11271,14,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:37.115000+00:00,11271,41,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:31:45.194000+00:00,11271,43,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:07.669000+00:00,11271,1,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:14.224000+00:00,11271,81,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:17.885000+00:00,11271,16,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:23.410000+00:00,11271,44,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:38.027000+00:00,11271,11,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:40.107000+00:00,11271,63,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:49.217000+00:00,11271,12,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:32:55.069000+00:00,11271,30,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:33:03.230000+00:00,11271,3,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:33:08.016000+00:00,11271,6,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:33:23.580000+00:00,11271,27,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:33:29.419000+00:00,11271,55,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:33:36.401000+00:00,11271,23,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:33:43.138000+00:00,11271,5,1284,,1,,,2026-06-19T18:33:16.556175Z
2026-05-01T20:38:20.202000+00:00,11271,30,1284,90.3,3,,90.3,2026-06-19T18:33:16.556175Z
2026-05-01T20:38:27.726000+00:00,11271,41,1284,69.0,4,,69.0,2026-06-19T18:33:16.556175Z
2026-05-01T20:38:34.247000+00:00,11271,31,1284,102.7,4,,102.7,2026-06-19T18:33:16.556175Z
2026-05-01T20:38:36.338000+00:00,11271,87,1284,89.7,4,,89.7,2026-06-19T18:33:16.556175Z
2026-05-01T20:38:45.299000+00:00,11271,63,1284,24.4,4,,24.4,2026-06-19T18:33:16.556175Z
2026-05-01T20:38:58.027000+00:00,11271,12,1284,33.5,4,,33.5,2026-06-19T18:33:16.556175Z
2026-05-01T20:39:06.581000+00:00,11271,77,1284,152.2,4,,152.2,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:03.605000+00:00,11271,12,1284,357.5,6,,357.5,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:08.221000+00:00,11271,63,1284,296.9,7,,296.9,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:18.706000+00:00,11271,27,1284,303.6,7,,303.6,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:25.523000+00:00,11271,5,1284,265.2,7,,265.2,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:29.309000+00:00,11271,23,1284,264.4,7,,264.4,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:34.381000+00:00,11271,6,1284,316.3,7,,316.3,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:39.361000+00:00,11271,3,1284,662.4,4,,662.4,2026-06-19T18:33:16.556175Z
2026-05-01T20:49:53.352000+00:00,11271,10,1284,425.3,7,,425.3,2026-06-19T18:33:16.556175Z
2026-05-01T20:50:05.071000+00:00,11271,16,1284,412.2,7,,412.2,2026-06-19T18:33:16.556175Z
2026-05-01T20:50:11.797000+00:00,11271,44,1284,405.1,7,,405.1,2026-06-19T18:33:16.556175Z
2026-05-01T20:50:16.425000+00:00,11271,43,1284,420.8,7,,420.8,2026-06-19T18:33:16.556175Z
2026-05-01T20:50:23.443000+00:00,11271,55,1284,339.5,7,,339.5,2026-06-19T18:33:16.556175Z
2026-05-01T20:50:29.485000+00:00,11271,81,1284,535.7,6,,535.7,2026-06-19T18:33:16.556175Z
2026-05-01T20:50:48.085000+00:00,11271,1,1284,355.4,8,,355.4,2026-06-19T18:33:16.556175Z
2026-05-01T20:55:23.531000+00:00,11271,41,1284,699.1,7,,699.1,2026-06-19T18:33:16.556175Z
2026-05-01T20:55:55.161000+00:00,11271,87,1284,710.4,7,,710.4,2026-06-19T18:33:16.556175Z
2026-05-01T20:56:12.887000+00:00,11271,12,1284,106.0,9,,106.0,2026-06-19T18:33:16.556175Z
2026-05-01T20:56:18.117000+00:00,11271,27,1284,96.8,10,,96.8,2026-06-19T18:33:16.556175Z
2026-05-01T20:56:21.570000+00:00,11271,5,1284,91.1,10,,91.1,2026-06-19T18:33:16.556175Z
2026-05-01T20:56:25.039000+00:00,11271,63,1284,114.3,10,,114.3,2026-06-19T18:33:16.556175Z
2026-05-01T21:09:37.149000+00:00,11271,63,1284,449.7,13,,449.7,2026-06-19T18:33:16.556175Z
2026-05-01T21:09:44.578000+00:00,11271,44,1284,515.2,13,,515.2,2026-06-19T18:33:16.556175Z
2026-05-01T21:09:51.092000+00:00,11271,1,1284,585.4,13,,585.4,2026-06-19T18:33:16.556175Z
2026-05-01T21:10:11.215000+00:00,11271,16,1284,546.2,13,,546.2,2026-06-19T18:33:16.556175Z
2026-05-01T21:10:18.590000+00:00,11271,10,1284,564.9,13,,564.9,2026-06-19T18:33:16.556175Z
2026-05-01T21:10:20.700000+00:00,11271,43,1284,540.1,13,,540.1,2026-06-19T18:33:16.556175Z
2026-05-01T21:10:27.928000+00:00,11271,6,1284,603.4,13,,603.4,2026-06-19T18:33:16.556175Z
2026-05-01T21:10:44.090000+00:00,11271,3,1284,610.1,10,,610.1,2026-06-19T18:33:16.556175Z
2026-05-01T21:10:57.553000+00:00,11271,81,1284,895.3,9,,895.3,2026-06-19T18:33:16.556175Z
2026-05-01T21:11:32.061000+00:00,11271,12,1284,601.7,12,,601.7,2026-06-19T18:33:16.556175Z
2026-05-03T17:06:24.855000+00:00,11280,27,1284,33.71,1,12.7,33.71,2026-06-19T18:34:20.109023Z
2026-05-03T17:14:40.156000+00:00,11280,3,1284,22.547,6,2.4,22.547,2026-06-19T18:34:20.109023Z
2026-05-03T17:15:01.436000+00:00,11280,77,1284,23.529,6,3.0,23.529,2026-06-19T18:34:20.109023Z
2026-05-03T17:40:30.702000+00:00,11280,63,1284,22.0,20,,22.0,2026-06-19T18:34:20.109023Z
2026-05-03T17:42:03.129000+00:00,11280,16,1284,23.386,21,3.7,23.386,2026-06-19T18:34:20.109023Z
2026-05-03T17:42:42.184000+00:00,11280,77,1284,23.827,21,3.3,23.827,2026-06-19T18:34:20.109023Z
2026-05-03T17:42:43.220000+00:00,11280,18,1284,22.63,21,2.8,22.63,2026-06-19T18:34:20.109023Z
2026-05-03T17:49:41.487000+00:00,11280,12,1284,22.128,26,2.2,22.128,2026-06-19T18:34:20.109023Z
2026-05-03T17:50:16.658000+00:00,11280,87,1284,23.474,26,4.6,23.474,2026-06-19T18:34:20.109023Z
2026-05-03T17:51:13.396000+00:00,11280,1,1284,22.565,27,2.8,22.565,2026-06-19T18:34:20.109023Z
2026-05-03T17:51:33.718000+00:00,11280,44,1284,23.779,27,3.8,23.779,2026-06-19T18:34:20.109023Z
2026-05-03T17:51:49.624000+00:00,11280,23,1284,23.016,27,3.3,23.016,2026-06-19T18:34:20.109023Z
2026-05-03T17:53:01.295000+00:00,11280,81,1284,23.024,28,3.4,23.024,2026-06-19T18:34:20.109023Z
2026-05-03T17:53:22.109000+00:00,11280,55,1284,23.595,28,4.2,23.595,2026-06-19T18:34:20.109023Z
2026-05-03T17:53:42.425000+00:00,11280,41,1284,22.731,28,2.5,22.731,2026-06-19T18:34:20.109023Z
2026-05-03T17:55:29.195000+00:00,11280,11,1284,23.2,29,,23.2,2026-06-19T18:34:20.109023Z
2026-05-03T17:57:25.955000+00:00,11280,77,1284,17.1,30,,17.1,2026-06-19T18:34:20.109023Z
2026-05-03T17:57:54.710000+00:00,11280,43,1284,23.093,31,2.9,23.093,2026-06-19T18:34:20.109023Z
2026-05-03T17:58:16.484000+00:00,11280,31,1284,24.027,31,3.9,24.027,2026-06-19T18:34:20.109023Z
2026-05-03T17:59:55.617000+00:00,11280,5,1284,23.986,32,3.1,23.986,2026-06-19T18:34:20.109023Z
2026-05-03T18:08:38.349000+00:00,11280,18,1284,22.09,37,2.8,22.09,2026-06-19T18:34:20.109023Z
2026-05-03T18:14:48.371000+00:00,11280,14,1284,23.16,41,3.1,23.16,2026-06-19T18:34:20.109023Z
2026-05-23T16:15:39.227000+00:00,11286,6,1285,155.1,7,,155.1,2026-06-19T18:35:05.492930Z
2026-05-23T16:18:32.832000+00:00,11286,6,1285,23.5,9,,23.5,2026-06-19T18:35:05.492930Z
2026-05-23T16:22:01.414000+00:00,11286,23,1285,24.0,14,,24.0,2026-06-19T18:35:05.492930Z
2026-05-23T16:23:24.074000+00:00,11286,14,1285,24.6,15,,24.6,2026-06-19T18:35:05.492930Z
2026-05-23T16:27:20.351000+00:00,11286,87,1285,38.4,18,,38.4,2026-06-19T18:35:05.492930Z
2026-05-23T16:29:03.467000+00:00,11286,10,1285,70.6,19,,70.6,2026-06-19T18:35:05.492930Z
2026-05-24T20:11:35.201000+00:00,11291,81,1285,24.1,1,,24.1,2026-06-19T18:35:17.460809Z
2026-05-24T20:12:53.655000+00:00,11291,1,1285,23.4,2,,23.4,2026-06-19T18:35:17.460809Z
2026-05-24T20:13:06.553000+00:00,11291,27,1285,24.9,2,,24.9,2026-06-19T18:35:17.460809Z
2026-05-24T20:13:10.208000+00:00,11291,55,1285,24.7,2,,24.7,2026-06-19T18:35:17.460809Z
2026-05-24T20:13:12.614000+00:00,11291,5,1285,28.1,2,,28.1,2026-06-19T18:35:17.460809Z
2026-05-24T20:13:13.091000+00:00,11291,11,1285,25.7,2,,25.7,2026-06-19T18:35:17.460809Z
2026-05-24T20:14:43.855000+00:00,11291,77,1285,28.2,3,,28.2,2026-06-19T18:35:17.460809Z
2026-05-24T20:23:13.509000+00:00,11291,77,1285,24.8,9,,24.8,2026-06-19T18:35:17.460809Z
2026-05-24T20:26:37.176000+00:00,11291,81,1285,36.6,12,,36.6,2026-06-19T18:35:17.460809Z
2026-05-24T20:29:29.471000+00:00,11291,18,1285,24.2,14,,24.2,2026-06-19T18:35:17.460809Z
2026-05-24T20:30:15.392000+00:00,11291,1,1285,28.8,15,,28.8,2026-06-19T18:35:17.460809Z
2026-05-24T20:30:47.863000+00:00,11291,11,1285,25.1,15,,25.1,2026-06-19T18:35:17.460809Z
2026-05-24T20:31:52.896000+00:00,11291,31,1285,24.8,16,,24.8,2026-06-19T18:35:17.460809Z
2026-05-24T20:34:34.135000+00:00,11291,5,1285,24.7,18,,24.7,2026-06-19T18:35:17.460809Z
2026-05-24T20:37:09.895000+00:00,11291,27,1285,31.0,20,,31.0,2026-06-19T18:35:17.460809Z
2026-05-24T20:37:15.069000+00:00,11291,14,1285,24.7,20,,24.7,2026-06-19T18:35:17.460809Z
2026-05-24T20:49:34.153000+00:00,11291,43,1285,25.6,30,,25.6,2026-06-19T18:35:17.460809Z
2026-05-24T20:49:46.801000+00:00,11291,11,1285,24.9,29,,24.9,2026-06-19T18:35:17.460809Z
2026-05-24T20:49:47.971000+00:00,11291,30,1285,24.1,30,,24.1,2026-06-19T18:35:17.460809Z
2026-05-24T20:49:55.410000+00:00,11291,10,1285,25.6,30,,25.6,2026-06-19T18:35:17.460809Z
2026-05-24T20:50:09.459000+00:00,11291,55,1285,25.6,30,,25.6,2026-06-19T18:35:17.460809Z
