lane,rows,result,reason,required_status,heavy_endpoint
weather,4992,pass,evidence_bearing,required_lightweight,False
race_control,2509,pass,evidence_bearing,required_lightweight,False
intervals,154609,pass,evidence_bearing,required_lightweight,False
position,17084,pass,evidence_bearing,required_lightweight,False
stints,2776,pass,evidence_bearing,required_lightweight,False
pit,220,pass,evidence_bearing,required_lightweight,False
starting_grid,88,pass,evidence_bearing,required_lightweight,False
drivers,671,pass,evidence_bearing,required_lightweight,False
team_radio,207,pass,evidence_bearing,opportunistic,False
