date,session_key,driver_number,meeting_key,position
2026-07-24T11:17:02.865000+00:00,11335,1,1291,1
2026-07-24T11:17:02.865000+00:00,11335,3,1291,2
2026-07-24T11:17:02.865000+00:00,11335,5,1291,3
2026-07-24T11:17:02.865000+00:00,11335,6,1291,4
2026-07-24T11:17:02.865000+00:00,11335,10,1291,5
2026-07-24T11:17:02.865000+00:00,11335,11,1291,6
2026-07-24T11:17:02.865000+00:00,11335,14,1291,7
2026-07-24T11:17:02.865000+00:00,11335,16,1291,8
2026-07-24T11:17:02.865000+00:00,11335,18,1291,9
2026-07-24T11:17:02.865000+00:00,11335,23,1291,10
2026-07-24T11:17:02.865000+00:00,11335,25,1291,11
2026-07-24T11:17:02.865000+00:00,11335,27,1291,12
2026-07-24T11:17:02.865000+00:00,11335,30,1291,13
2026-07-24T11:17:02.865000+00:00,11335,31,1291,14
2026-07-24T11:17:02.865000+00:00,11335,41,1291,15
2026-07-24T11:17:02.865000+00:00,11335,44,1291,16
2026-07-24T11:17:02.865000+00:00,11335,50,1291,17
2026-07-24T11:17:02.865000+00:00,11335,55,1291,18
2026-07-24T11:17:02.865000+00:00,11335,61,1291,19
2026-07-24T11:17:02.865000+00:00,11335,63,1291,20
2026-07-24T11:17:02.865000+00:00,11335,67,1291,21
2026-07-24T11:17:02.865000+00:00,11335,72,1291,22
2026-07-24T11:30:03.123000+00:00,11335,1,1291,2
2026-07-24T11:30:03.123000+00:00,11335,3,1291,3
2026-07-24T11:30:03.123000+00:00,11335,5,1291,4
2026-07-24T11:30:03.123000+00:00,11335,6,1291,5
2026-07-24T11:30:03.123000+00:00,11335,10,1291,6
2026-07-24T11:30:03.123000+00:00,11335,11,1291,7
2026-07-24T11:30:03.123000+00:00,11335,14,1291,8
2026-07-24T11:30:03.123000+00:00,11335,16,1291,9
2026-07-24T11:30:03.123000+00:00,11335,18,1291,10
2026-07-24T11:30:03.123000+00:00,11335,23,1291,11
2026-07-24T11:30:03.123000+00:00,11335,25,1291,12
2026-07-24T11:30:03.123000+00:00,11335,27,1291,13
2026-07-24T11:30:03.123000+00:00,11335,30,1291,14
2026-07-24T11:30:03.123000+00:00,11335,31,1291,15
2026-07-24T11:30:03.123000+00:00,11335,41,1291,16
2026-07-24T11:30:03.123000+00:00,11335,44,1291,17
2026-07-24T11:30:03.123000+00:00,11335,50,1291,1
2026-07-24T11:30:09.003000+00:00,11335,1,1291,3
2026-07-24T11:30:09.003000+00:00,11335,3,1291,4
2026-07-24T11:30:09.003000+00:00,11335,5,1291,5
2026-07-24T11:30:09.003000+00:00,11335,6,1291,6
2026-07-24T11:30:09.003000+00:00,11335,10,1291,7
2026-07-24T11:30:09.003000+00:00,11335,11,1291,8
2026-07-24T11:30:09.003000+00:00,11335,14,1291,9
2026-07-24T11:30:09.003000+00:00,11335,16,1291,10
2026-07-24T11:30:09.003000+00:00,11335,18,1291,11
2026-07-24T11:30:09.003000+00:00,11335,23,1291,12
2026-07-24T11:30:09.003000+00:00,11335,25,1291,13
2026-07-24T11:30:09.003000+00:00,11335,27,1291,14
2026-07-24T11:30:09.003000+00:00,11335,30,1291,15
2026-07-24T11:30:09.003000+00:00,11335,31,1291,2
2026-07-24T11:30:10.595000+00:00,11335,1,1291,4
2026-07-24T11:30:10.595000+00:00,11335,3,1291,5
2026-07-24T11:30:10.595000+00:00,11335,5,1291,6
2026-07-24T11:30:10.595000+00:00,11335,6,1291,3
2026-07-24T11:30:14.076000+00:00,11335,1,1291,5
2026-07-24T11:30:14.076000+00:00,11335,3,1291,6
2026-07-24T11:30:14.076000+00:00,11335,5,1291,7
2026-07-24T11:30:14.076000+00:00,11335,10,1291,8
2026-07-24T11:30:14.076000+00:00,11335,11,1291,9
2026-07-24T11:30:14.076000+00:00,11335,14,1291,10
2026-07-24T11:30:14.076000+00:00,11335,16,1291,11
2026-07-24T11:30:14.076000+00:00,11335,18,1291,12
2026-07-24T11:30:14.076000+00:00,11335,23,1291,13
2026-07-24T11:30:14.076000+00:00,11335,25,1291,4
2026-07-24T11:30:23.145000+00:00,11335,1,1291,6
2026-07-24T11:30:23.145000+00:00,11335,3,1291,7
2026-07-24T11:30:23.145000+00:00,11335,5,1291,8
2026-07-24T11:30:23.145000+00:00,11335,10,1291,9
2026-07-24T11:30:23.145000+00:00,11335,11,1291,10
2026-07-24T11:30:23.145000+00:00,11335,14,1291,11
2026-07-24T11:30:23.145000+00:00,11335,16,1291,12
2026-07-24T11:30:23.145000+00:00,11335,18,1291,13
2026-07-24T11:30:23.145000+00:00,11335,23,1291,14
2026-07-24T11:30:23.145000+00:00,11335,27,1291,5
2026-07-24T11:30:24.778000+00:00,11335,1,1291,7
2026-07-24T11:30:24.778000+00:00,11335,3,1291,8
2026-07-24T11:30:24.778000+00:00,11335,5,1291,9
2026-07-24T11:30:24.778000+00:00,11335,10,1291,10
2026-07-24T11:30:24.778000+00:00,11335,11,1291,6
2026-07-24T11:30:26.298000+00:00,11335,1,1291,8
2026-07-24T11:30:26.298000+00:00,11335,3,1291,9
2026-07-24T11:30:26.298000+00:00,11335,5,1291,10
2026-07-24T11:30:26.298000+00:00,11335,10,1291,11
2026-07-24T11:30:26.298000+00:00,11335,14,1291,12
2026-07-24T11:30:26.298000+00:00,11335,16,1291,13
2026-07-24T11:30:26.298000+00:00,11335,18,1291,14
2026-07-24T11:30:26.298000+00:00,11335,23,1291,15
2026-07-24T11:30:26.298000+00:00,11335,30,1291,16
2026-07-24T11:30:26.298000+00:00,11335,41,1291,17
2026-07-24T11:30:26.298000+00:00,11335,44,1291,18
