lane,rows,result,reason,required_status,heavy_endpoint
weather,5764,pass,evidence_bearing,required_lightweight,False
race_control,3518,pass,evidence_bearing,required_lightweight,False
intervals,244847,pass,evidence_bearing,required_lightweight,False
position,21409,pass,evidence_bearing,required_lightweight,False
stints,3619,pass,evidence_bearing,required_lightweight,False
pit,370,pass,evidence_bearing,required_lightweight,False
starting_grid,132,pass,evidence_bearing,required_lightweight,False
drivers,880,pass,evidence_bearing,required_lightweight,False
team_radio,296,pass,evidence_bearing,opportunistic,False
