date,session_key,lane_duration,pit_duration,stop_duration,lap_number,meeting_key,driver_number
2026-07-17T11:30:02.875000+00:00,11327,,,,1,1290,55
2026-07-17T11:30:05.965000+00:00,11327,,,,1,1290,11
2026-07-17T11:30:10.915000+00:00,11327,,,,1,1290,23
2026-07-17T11:30:18.647000+00:00,11327,,,,1,1290,63
2026-07-17T11:30:23.210000+00:00,11327,,,,1,1290,41
2026-07-17T11:30:28.994000+00:00,11327,,,,1,1290,31
2026-07-17T11:30:31.916000+00:00,11327,,,,1,1290,87
2026-07-17T11:30:43.251000+00:00,11327,,,,1,1290,43
2026-07-17T11:30:48.989000+00:00,11327,,,,1,1290,44
2026-07-17T11:30:56.555000+00:00,11327,,,,1,1290,3
2026-07-17T11:31:02.180000+00:00,11327,,,,1,1290,16
2026-07-17T11:31:07.618000+00:00,11327,,,,1,1290,12
2026-07-17T11:31:14.836000+00:00,11327,,,,1,1290,6
2026-07-17T11:31:18.040000+00:00,11327,,,,1,1290,5
2026-07-17T11:31:20.102000+00:00,11327,,,,1,1290,77
2026-07-17T11:31:26.089000+00:00,11327,,,,1,1290,30
2026-07-17T11:31:29.467000+00:00,11327,,,,1,1290,81
2026-07-17T11:31:50.144000+00:00,11327,,,,1,1290,34
2026-07-17T11:32:15.500000+00:00,11327,,,,1,1290,10
2026-07-17T11:32:52.277000+00:00,11327,,,,1,1290,27
2026-07-17T11:33:02.730000+00:00,11327,,,,1,1290,18
2026-07-17T11:34:42.944000+00:00,11327,143.3,143.3,,2,1290,55
2026-07-17T11:36:11.074000+00:00,11327,226.6,226.6,,2,1290,23
2026-07-17T11:36:18.074000+00:00,11327,,,,1,1290,1
2026-07-17T11:42:09.595000+00:00,11327,170.2,170.2,,5,1290,87
2026-07-17T11:42:52.191000+00:00,11327,45.6,45.6,,6,1290,43
2026-07-17T11:44:01.107000+00:00,11327,320.0,320.0,,2,1290,1
2026-07-17T11:44:46.360000+00:00,11327,151.8,151.8,,6,1290,77
2026-07-17T11:45:05.419000+00:00,11327,245.2,245.2,,6,1290,11
2026-07-17T11:46:19.282000+00:00,11327,218.8,218.8,,6,1290,30
2026-07-17T11:47:28.987000+00:00,11327,398.5,398.5,,6,1290,31
2026-07-17T11:49:08.499000+00:00,11327,52.5,52.5,,8,1290,10
2026-07-17T11:50:16.594000+00:00,11327,25.9,25.9,,9,1290,55
2026-07-17T11:52:54.348000+00:00,11327,398.5,398.5,,3,1290,1
2026-07-17T11:53:46.169000+00:00,11327,346.6,346.6,,8,1290,12
2026-07-17T11:55:11.754000+00:00,11327,429.9,429.9,,8,1290,81
2026-07-17T11:55:48.386000+00:00,11327,494.7,494.7,,8,1290,6
2026-07-17T11:55:52.423000+00:00,11327,463.7,463.7,,9,1290,63
2026-07-17T11:56:05.489000+00:00,11327,392.8,392.8,,9,1290,43
2026-07-17T11:56:32.345000+00:00,11327,537.1,537.1,,8,1290,3
2026-07-17T11:56:44.528000+00:00,11327,384.5,384.5,,10,1290,41
2026-07-17T11:57:01.488000+00:00,11327,511.6,511.6,,8,1290,34
2026-07-17T11:58:03.500000+00:00,11327,486.5,486.5,,8,1290,18
2026-07-17T11:58:22.502000+00:00,11327,459.1,459.1,,9,1290,87
2026-07-17T12:00:11.289000+00:00,11327,554.6,554.6,,9,1290,27
2026-07-17T12:00:49.561000+00:00,11327,501.5,501.5,,10,1290,44
2026-07-17T12:01:03.084000+00:00,11327,219.0,219.0,,11,1290,30
2026-07-17T12:01:24.661000+00:00,11327,359.7,359.7,,11,1290,10
2026-07-17T12:01:28.045000+00:00,11327,557.5,557.5,,10,1290,5
2026-07-17T12:01:37.564000+00:00,11327,305.4,305.4,,12,1290,55
2026-07-17T12:02:12.044000+00:00,11327,348.9,348.9,,11,1290,23
2026-07-17T12:02:23.715000+00:00,11327,626.3,626.3,,10,1290,16
2026-07-17T12:02:45.114000+00:00,11327,400.9,400.9,,11,1290,11
2026-07-17T12:03:00.488000+00:00,11327,424.4,424.4,,10,1290,31
2026-07-17T12:05:46.786000+00:00,11327,287.9,287.9,,11,1290,12
2026-07-17T12:07:24.833000+00:00,11327,283.8,283.8,,11,1290,3
2026-07-17T12:07:58.351000+00:00,11327,739.9,739.9,,11,1290,77
2026-07-17T12:10:01.205000+00:00,11327,364.3,364.3,,12,1290,81
2026-07-17T12:10:40.963000+00:00,11327,329.5,329.5,,11,1290,18
2026-07-17T12:10:55.073000+00:00,11327,27.9,27.9,,14,1290,5
2026-07-17T12:11:48.353000+00:00,11327,296.5,296.5,,14,1290,63
2026-07-17T12:12:57.054000+00:00,11327,353.0,353.0,,14,1290,43
2026-07-17T12:13:15.489000+00:00,11327,388.2,388.2,,9,1290,1
2026-07-17T12:13:22.520000+00:00,11327,367.8,367.8,,13,1290,6
2026-07-17T12:14:10.367000+00:00,11327,310.8,310.8,,13,1290,27
2026-07-17T12:14:29.879000+00:00,11327,365.4,365.4,,13,1290,34
2026-07-17T12:15:28.693000+00:00,11327,318.9,318.9,,15,1290,10
2026-07-17T12:16:28.116000+00:00,11327,23.5,23.5,,15,1290,81
2026-07-17T12:17:06.699000+00:00,11327,291.2,291.2,,16,1290,30
2026-07-17T12:17:12.876000+00:00,11327,279.0,279.0,,17,1290,55
2026-07-17T12:17:39.881000+00:00,11327,279.1,279.1,,16,1290,23
2026-07-17T12:18:18.650000+00:00,11327,357.8,357.8,,17,1290,41
2026-07-17T12:18:22.847000+00:00,11327,308.3,308.3,,15,1290,16
2026-07-17T12:18:25.418000+00:00,11327,371.9,371.9,,15,1290,87
2026-07-17T12:18:49.974000+00:00,11327,300.3,300.3,,15,1290,31
2026-07-17T12:18:51.771000+00:00,11327,370.7,370.7,,15,1290,44
2026-07-17T12:20:13.975000+00:00,11327,374.2,374.2,,16,1290,11
2026-07-17T12:20:50.171000+00:00,11327,251.0,251.0,,15,1290,77
2026-07-17T12:26:04.327000+00:00,11327,21.2,21.2,,18,1290,31
2026-07-17T12:26:09.946000+00:00,11327,31.7,31.7,,18,1290,87
2026-07-17T12:27:20.123000+00:00,11327,230.8,230.8,,20,1290,63
2026-07-17T12:28:31.535000+00:00,11327,24.2,24.2,,22,1290,3
2026-07-17T12:28:46.832000+00:00,11327,263.1,263.1,,17,1290,18
2026-07-17T12:29:06.046000+00:00,11327,246.1,246.1,,21,1290,12
