position,driver_number,lap_duration,meeting_key,session_key
1,63,102.526,1295,11373
2,16,103.363,1295,11373
3,81,103.364,1295,11373
4,6,103.5,1295,11373
5,1,103.672,1295,11373
6,44,103.858,1295,11373
7,10,104.047,1295,11373
8,3,104.081,1295,11373
9,43,104.963,1295,11373
10,87,104.775,1295,11373
11,30,104.86,1295,11373
12,23,105.001,1295,11373
13,31,105.016,1295,11373
14,55,104.566,1295,11373
15,41,105.106,1295,11373
16,12,,1295,11373
17,5,105.799,1295,11373
18,27,105.92,1295,11373
19,77,108.29,1295,11373
20,11,106.658,1295,11373
21,14,106.593,1295,11373
22,18,107.337,1295,11373
