position,driver_number,lap_duration,meeting_key,session_key
1,63,74.679,1287,11303
2,44,74.743,1287,11303
3,12,74.998,1287,11303
4,1,75.001,1287,11303
5,3,75.021,1287,11303
6,6,75.077,1287,11303
7,81,75.09,1287,11303
8,30,76.542,1287,11303
9,27,76.657,1287,11303
10,16,,1287,11303
11,41,75.84,1287,11303
12,5,76.001,1287,11303
13,43,76.191,1287,11303
14,10,76.261,1287,11303
15,87,76.389,1287,11303
16,55,77.827,1287,11303
17,31,77.073,1287,11303
18,23,77.424,1287,11303
19,11,77.545,1287,11303
20,77,77.757,1287,11303
21,18,78.758,1287,11303
22,14,78.815,1287,11303
