date,session_key,position,meeting_key,driver_number
2026-09-05T10:40:12.495000+00:00,11356,9,1293,1
2026-09-05T10:40:12.495000+00:00,11356,10,1293,3
2026-09-05T10:40:12.495000+00:00,11356,11,1293,11
2026-09-05T10:40:12.495000+00:00,11356,12,1293,12
2026-09-05T10:40:12.495000+00:00,11356,13,1293,16
2026-09-05T10:40:12.495000+00:00,11356,14,1293,18
2026-09-05T10:40:12.495000+00:00,11356,15,1293,22
2026-09-05T10:40:12.495000+00:00,11356,16,1293,30
2026-09-05T10:40:12.495000+00:00,11356,8,1293,31
2026-09-05T10:40:15.432000+00:00,11356,10,1293,1
2026-09-05T10:40:15.432000+00:00,11356,11,1293,3
2026-09-05T10:40:15.432000+00:00,11356,12,1293,11
2026-09-05T10:40:15.432000+00:00,11356,13,1293,12
2026-09-05T10:40:15.432000+00:00,11356,14,1293,16
2026-09-05T10:40:15.432000+00:00,11356,15,1293,18
2026-09-05T10:40:15.432000+00:00,11356,16,1293,22
2026-09-05T10:40:15.432000+00:00,11356,17,1293,30
2026-09-05T10:40:15.432000+00:00,11356,18,1293,41
2026-09-05T10:40:15.432000+00:00,11356,19,1293,44
2026-09-05T10:40:15.432000+00:00,11356,20,1293,63
2026-09-05T10:40:15.432000+00:00,11356,21,1293,77
2026-09-05T10:40:15.432000+00:00,11356,22,1293,81
2026-09-05T10:40:15.432000+00:00,11356,9,1293,87
2026-09-05T10:40:18.151000+00:00,11356,11,1293,1
2026-09-05T10:40:18.151000+00:00,11356,12,1293,3
2026-09-05T10:40:18.151000+00:00,11356,13,1293,11
2026-09-05T10:40:18.151000+00:00,11356,14,1293,12
2026-09-05T10:40:18.151000+00:00,11356,15,1293,16
2026-09-05T10:40:18.151000+00:00,11356,10,1293,18
2026-09-05T10:40:22.217000+00:00,11356,12,1293,1
2026-09-05T10:40:22.217000+00:00,11356,13,1293,3
2026-09-05T10:40:22.217000+00:00,11356,11,1293,11
2026-09-05T10:40:23.532000+00:00,11356,13,1293,1
2026-09-05T10:40:23.532000+00:00,11356,14,1293,3
2026-09-05T10:40:23.532000+00:00,11356,15,1293,12
2026-09-05T10:40:23.532000+00:00,11356,16,1293,16
2026-09-05T10:40:23.532000+00:00,11356,17,1293,22
2026-09-05T10:40:23.532000+00:00,11356,18,1293,30
