date,session_key,wind_direction,wind_speed,meeting_key,air_temperature,humidity,pressure,track_temperature,rainfall
2026-09-26T10:07:59.521000+00:00,11377,104,0.4,1295,26.2,59.2,1023.4,47.3,0
2026-09-26T10:08:59.521000+00:00,11377,337,0.7,1295,26.1,59.1,1023.1,48.1,0
2026-09-26T10:09:59.517000+00:00,11377,28,1.9,1295,26.1,60.0,1023.2,47.7,0
2026-09-26T10:10:59.531000+00:00,11377,165,0.5,1295,26.1,58.5,1023.2,46.6,0
2026-09-26T10:11:59.518000+00:00,11377,233,1.2,1295,26.2,58.6,1023.2,0.0,0
2026-09-26T10:12:59.520000+00:00,11377,118,1.2,1295,26.3,58.1,1023.2,47.3,0
2026-09-26T10:13:59.536000+00:00,11377,128,0.5,1295,26.3,57.3,1023.1,47.6,0
2026-09-26T10:14:59.533000+00:00,11377,70,1.8,1295,26.2,58.1,1023.2,47.0,0
2026-09-26T10:15:59.526000+00:00,11377,58,1.5,1295,26.1,58.3,1023.1,47.5,0
2026-09-26T10:16:59.534000+00:00,11377,72,1.9,1295,26.1,58.8,1023.1,47.6,0
2026-09-26T10:17:59.533000+00:00,11377,64,0.9,1295,26.2,57.7,1023.2,47.4,0
2026-09-26T10:18:59.533000+00:00,11377,81,2.7,1295,26.2,58.3,1023.1,47.2,0
2026-09-26T10:19:59.538000+00:00,11377,80,3.6,1295,26.3,58.6,1023.2,47.0,0
2026-09-26T10:20:59.533000+00:00,11377,317,1.0,1295,26.3,59.4,1023.1,47.6,0
2026-09-26T10:21:59.532000+00:00,11377,8,0.9,1295,26.4,59.0,1023.2,48.0,0
2026-09-26T10:22:59.532000+00:00,11377,315,2.1,1295,26.5,59.5,1023.2,47.6,0
2026-09-26T10:23:59.526000+00:00,11377,103,2.5,1295,26.4,59.3,1023.2,46.3,0
2026-09-26T10:24:59.538000+00:00,11377,333,1.5,1295,26.4,57.9,1023.2,46.2,0
2026-09-26T10:25:59.539000+00:00,11377,341,1.0,1295,26.4,57.4,1023.2,46.1,0
2026-09-26T10:26:59.539000+00:00,11377,67,1.2,1295,26.3,58.8,1023.2,46.3,0
2026-09-26T10:27:59.544000+00:00,11377,23,0.7,1295,26.4,58.7,1023.1,47.4,0
2026-09-26T10:28:59.594000+00:00,11377,155,0.7,1295,26.3,59.7,1023.2,46.8,0
2026-09-26T10:29:59.539000+00:00,11377,107,2.7,1295,26.3,59.6,1023.2,46.2,0
2026-09-26T10:30:59.540000+00:00,11377,281,0.3,1295,26.4,58.4,1023.1,44.7,0
2026-09-26T10:31:59.539000+00:00,11377,319,2.1,1295,26.3,58.3,1023.1,43.7,0
2026-09-26T10:32:59.544000+00:00,11377,0,2.5,1295,26.2,58.9,1023.2,45.3,0
2026-09-26T10:33:59.540000+00:00,11377,66,1.2,1295,26.1,59.3,1023.1,44.3,0
2026-09-26T10:34:59.551000+00:00,11377,69,0.9,1295,26.0,60.4,1023.1,45.1,0
2026-09-26T10:35:59.563000+00:00,11377,31,1.0,1295,26.0,61.0,1023.1,45.1,0
2026-09-26T10:36:59.581000+00:00,11377,99,1.8,1295,26.0,60.6,1023.1,47.8,0
2026-09-26T10:37:59.595000+00:00,11377,42,0.5,1295,26.1,60.5,1023.0,46.7,0
2026-09-26T10:38:59.597000+00:00,11377,87,2.9,1295,26.2,58.5,1023.0,46.2,0
2026-09-26T10:39:59.605000+00:00,11377,53,1.4,1295,26.2,58.2,1023.0,47.3,0
2026-09-26T10:40:59.617000+00:00,11377,292,2.5,1295,26.3,57.7,1023.0,46.2,0
2026-09-26T10:41:59.643000+00:00,11377,223,1.3,1295,26.3,58.3,1023.1,47.2,0
2026-09-26T10:42:59.642000+00:00,11377,272,0.6,1295,26.3,58.3,1023.0,47.3,0
2026-09-26T10:43:59.668000+00:00,11377,278,0.7,1295,26.3,57.5,1023.0,45.5,0
2026-09-26T10:44:59.664000+00:00,11377,331,0.8,1295,26.3,57.8,1023.0,46.5,0
2026-09-26T10:45:59.663000+00:00,11377,17,1.2,1295,26.3,57.7,1023.0,46.5,0
2026-09-26T10:46:59.681000+00:00,11377,19,0.9,1295,26.3,57.2,1023.0,45.9,0
2026-09-26T10:47:59.680000+00:00,11377,353,1.3,1295,26.2,57.9,1023.1,45.4,0
2026-09-26T10:48:59.681000+00:00,11377,73,0.5,1295,26.2,58.6,1023.0,45.7,0
2026-09-26T10:49:59.681000+00:00,11377,297,1.0,1295,26.2,59.3,1022.9,46.1,0
2026-09-26T10:50:59.669000+00:00,11377,301,1.6,1295,26.3,58.6,1022.9,45.6,0
2026-09-26T10:51:59.688000+00:00,11377,10,0.9,1295,26.3,58.3,1022.9,46.2,0
2026-09-26T10:52:59.685000+00:00,11377,36,0.5,1295,26.4,58.7,1023.0,45.8,0
2026-09-26T10:53:59.687000+00:00,11377,85,1.1,1295,26.4,58.4,1023.0,45.6,0
2026-09-26T10:54:59.707000+00:00,11377,66,1.1,1295,26.4,58.8,1022.9,46.3,0
2026-09-26T10:55:59.686000+00:00,11377,126,0.8,1295,26.3,60.2,1022.9,46.3,0
2026-09-26T10:56:59.689000+00:00,11377,115,1.5,1295,26.3,58.4,1022.9,46.3,0
