position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,51,25.0,False,False,False,5882.143,0,1295,11377
2,3,51,18.0,False,False,False,5882.339,0.196,1295,11377
3,6,51,15.0,False,False,False,5892.847,10.704,1295,11377
4,16,51,12.0,False,False,False,5896.279,14.136,1295,11377
5,12,51,10.0,False,False,False,5896.655,14.512,1295,11377
6,44,51,8.0,False,False,False,5904.525,22.382,1295,11377
7,41,51,6.0,False,False,False,5913.302,31.159,1295,11377
8,31,51,4.0,False,False,False,5913.332,31.189,1295,11377
9,87,51,2.0,False,False,False,5914.072,31.929,1295,11377
10,55,51,1.0,False,False,False,5914.559,32.416,1295,11377
11,27,51,0.0,False,False,False,5915.374,33.231,1295,11377
12,30,51,0.0,False,False,False,5916.156,34.013,1295,11377
13,5,51,0.0,False,False,False,5916.373,34.23,1295,11377
14,81,51,0.0,False,False,False,5918.544,36.401,1295,11377
15,11,51,0.0,False,False,False,5923.543,41.4,1295,11377
16,77,49,0.0,True,False,False,,,1295,11377
,43,36,0.0,True,False,False,,,1295,11377
,10,35,0.0,True,False,False,,,1295,11377
,1,35,0.0,True,False,False,,,1295,11377
,23,29,0.0,True,False,False,,,1295,11377
,14,20,0.0,True,False,False,,,1295,11377
,18,7,0.0,True,False,False,,,1295,11377
