source_name,found,row_count,path
drivers,True,766,latest/openf1_lightweight_source_closure/data/openf1_drivers.csv
intervals,True,194586,latest/openf1_lightweight_source_closure/data/openf1_intervals.csv
pit,True,247,latest/openf1_lightweight_source_closure/data/openf1_pit.csv
position,True,18653,latest/openf1_lightweight_source_closure/data/openf1_position.csv
race_control,True,2955,latest/openf1_lightweight_source_closure/data/openf1_race_control.csv
source_readiness,True,9,latest/openf1_lightweight_source_closure/source_readiness_summary.csv
starting_grid,True,88,latest/openf1_lightweight_source_closure/data/openf1_starting_grid.csv
stints,True,2696,latest/openf1_lightweight_source_closure/data/openf1_stints.csv
weather,True,4860,latest/openf1_lightweight_source_closure/data/openf1_weather.csv
