date,session_key,position,driver_number,meeting_key
2026-09-24T12:00:23.259000+00:00,11371,6,63,1295
2026-09-24T12:00:26.030000+00:00,11371,8,1,1295
2026-09-24T12:00:26.030000+00:00,11371,9,3,1295
2026-09-24T12:00:26.030000+00:00,11371,10,5,1295
2026-09-24T12:00:26.030000+00:00,11371,11,6,1295
2026-09-24T12:00:26.030000+00:00,11371,12,12,1295
2026-09-24T12:00:26.030000+00:00,11371,13,14,1295
2026-09-24T12:00:26.030000+00:00,11371,14,16,1295
2026-09-24T12:00:26.030000+00:00,11371,15,18,1295
2026-09-24T12:00:26.030000+00:00,11371,16,23,1295
2026-09-24T12:00:26.030000+00:00,11371,17,27,1295
2026-09-24T12:00:26.030000+00:00,11371,7,31,1295
2026-09-24T12:00:30.757000+00:00,11371,9,1,1295
2026-09-24T12:00:30.757000+00:00,11371,10,3,1295
2026-09-24T12:00:30.757000+00:00,11371,11,5,1295
2026-09-24T12:00:30.757000+00:00,11371,12,6,1295
2026-09-24T12:00:30.757000+00:00,11371,13,12,1295
2026-09-24T12:00:30.757000+00:00,11371,14,14,1295
2026-09-24T12:00:30.757000+00:00,11371,15,16,1295
2026-09-24T12:00:30.757000+00:00,11371,16,18,1295
2026-09-24T12:00:30.757000+00:00,11371,17,23,1295
2026-09-24T12:00:30.757000+00:00,11371,18,27,1295
2026-09-24T12:00:30.757000+00:00,11371,19,41,1295
2026-09-24T12:00:30.757000+00:00,11371,20,44,1295
2026-09-24T12:00:30.757000+00:00,11371,21,55,1295
2026-09-24T12:00:30.757000+00:00,11371,22,81,1295
2026-09-24T12:00:30.757000+00:00,11371,8,87,1295
2026-09-24T12:00:45.867000+00:00,11371,10,1,1295
2026-09-24T12:00:45.867000+00:00,11371,11,3,1295
2026-09-24T12:00:45.867000+00:00,11371,12,5,1295
2026-09-24T12:00:45.867000+00:00,11371,13,6,1295
2026-09-24T12:00:45.867000+00:00,11371,14,12,1295
2026-09-24T12:00:45.867000+00:00,11371,9,14,1295
2026-09-24T12:01:00.816000+00:00,11371,11,1,1295
2026-09-24T12:01:00.816000+00:00,11371,12,3,1295
2026-09-24T12:01:00.816000+00:00,11371,10,5,1295
2026-09-24T12:01:01.780000+00:00,11371,12,1,1295
2026-09-24T12:01:01.780000+00:00,11371,13,3,1295
2026-09-24T12:01:01.780000+00:00,11371,14,6,1295
2026-09-24T12:01:01.780000+00:00,11371,15,12,1295
2026-09-24T12:01:01.780000+00:00,11371,16,16,1295
2026-09-24T12:01:01.780000+00:00,11371,17,18,1295
2026-09-24T12:01:01.780000+00:00,11371,11,23,1295
2026-09-24T12:01:22.673000+00:00,11371,15,6,1295
2026-09-24T12:01:22.673000+00:00,11371,16,12,1295
2026-09-24T12:01:22.673000+00:00,11371,17,16,1295
2026-09-24T12:01:22.673000+00:00,11371,18,18,1295
2026-09-24T12:01:22.673000+00:00,11371,19,27,1295
2026-09-24T12:01:22.673000+00:00,11371,20,41,1295
2026-09-24T12:01:22.673000+00:00,11371,21,44,1295
2026-09-24T12:01:22.673000+00:00,11371,22,55,1295
2026-09-24T12:01:22.673000+00:00,11371,14,81,1295
2026-09-24T12:03:28.039000+00:00,11371,16,6,1295
2026-09-24T12:03:28.039000+00:00,11371,17,12,1295
2026-09-24T12:03:28.039000+00:00,11371,18,16,1295
2026-09-24T12:03:28.039000+00:00,11371,15,18,1295
2026-09-24T12:03:46.786000+00:00,11371,17,6,1295
2026-09-24T12:03:46.786000+00:00,11371,18,12,1295
2026-09-24T12:03:46.786000+00:00,11371,16,16,1295
2026-09-24T12:04:12.014000+00:00,11371,18,6,1295
2026-09-24T12:04:12.014000+00:00,11371,19,12,1295
2026-09-24T12:04:12.014000+00:00,11371,20,27,1295
2026-09-24T12:04:12.014000+00:00,11371,21,41,1295
2026-09-24T12:04:12.014000+00:00,11371,17,44,1295
2026-09-24T12:04:15.760000+00:00,11371,2,10,1295
2026-09-24T12:04:15.760000+00:00,11371,6,11,1295
2026-09-24T12:04:15.760000+00:00,11371,5,30,1295
2026-09-24T12:04:15.760000+00:00,11371,4,43,1295
2026-09-24T12:04:15.760000+00:00,11371,1,63,1295
2026-09-24T12:04:15.760000+00:00,11371,3,77,1295
2026-09-24T12:04:20.579000+00:00,11371,3,10,1295
2026-09-24T12:04:20.579000+00:00,11371,2,30,1295
2026-09-24T12:04:20.579000+00:00,11371,5,43,1295
2026-09-24T12:04:20.579000+00:00,11371,4,77,1295
2026-09-24T12:04:33.074000+00:00,11371,7,11,1295
2026-09-24T12:04:33.074000+00:00,11371,4,31,1295
2026-09-24T12:04:33.074000+00:00,11371,6,43,1295
2026-09-24T12:04:33.074000+00:00,11371,5,77,1295
2026-09-24T12:04:33.469000+00:00,11371,5,11,1295
2026-09-24T12:04:33.469000+00:00,11371,7,43,1295
2026-09-24T12:04:33.469000+00:00,11371,6,77,1295
2026-09-24T12:04:36.713000+00:00,11371,6,11,1295
2026-09-24T12:04:36.713000+00:00,11371,5,31,1295
2026-09-24T12:04:36.713000+00:00,11371,8,43,1295
2026-09-24T12:04:36.713000+00:00,11371,7,77,1295
2026-09-24T12:04:36.713000+00:00,11371,4,87,1295
2026-09-24T12:04:45.925000+00:00,11371,7,11,1295
2026-09-24T12:04:45.925000+00:00,11371,6,31,1295
2026-09-24T12:04:45.925000+00:00,11371,4,43,1295
2026-09-24T12:04:45.925000+00:00,11371,8,77,1295
2026-09-24T12:04:45.925000+00:00,11371,5,87,1295
2026-09-24T12:04:56.828000+00:00,11371,20,12,1295
2026-09-24T12:04:56.828000+00:00,11371,19,27,1295
2026-09-24T12:04:58.277000+00:00,11371,11,5,1295
2026-09-24T12:04:58.277000+00:00,11371,8,11,1295
2026-09-24T12:04:58.277000+00:00,11371,10,14,1295
2026-09-24T12:04:58.277000+00:00,11371,4,23,1295
2026-09-24T12:04:58.277000+00:00,11371,7,31,1295
2026-09-24T12:04:58.277000+00:00,11371,5,43,1295
2026-09-24T12:04:58.277000+00:00,11371,9,77,1295
2026-09-24T12:04:58.277000+00:00,11371,6,87,1295
2026-09-24T12:05:00.715000+00:00,11371,2,1,1295
2026-09-24T12:05:00.715000+00:00,11371,12,5,1295
2026-09-24T12:05:00.715000+00:00,11371,4,10,1295
2026-09-24T12:05:00.715000+00:00,11371,9,11,1295
2026-09-24T12:05:00.715000+00:00,11371,11,14,1295
2026-09-24T12:05:00.715000+00:00,11371,5,23,1295
2026-09-24T12:05:00.715000+00:00,11371,3,30,1295
2026-09-24T12:05:00.715000+00:00,11371,8,31,1295
2026-09-24T12:05:00.715000+00:00,11371,6,43,1295
2026-09-24T12:05:00.715000+00:00,11371,10,77,1295
2026-09-24T12:05:00.715000+00:00,11371,7,87,1295
2026-09-24T12:05:07.829000+00:00,11371,3,1,1295
2026-09-24T12:05:07.829000+00:00,11371,1,3,1295
2026-09-24T12:05:07.829000+00:00,11371,13,5,1295
2026-09-24T12:05:07.829000+00:00,11371,5,10,1295
2026-09-24T12:05:07.829000+00:00,11371,10,11,1295
2026-09-24T12:05:07.829000+00:00,11371,12,14,1295
2026-09-24T12:05:07.829000+00:00,11371,6,23,1295
2026-09-24T12:05:07.829000+00:00,11371,4,30,1295
2026-09-24T12:05:07.829000+00:00,11371,9,31,1295
2026-09-24T12:05:07.829000+00:00,11371,7,43,1295
2026-09-24T12:05:07.829000+00:00,11371,2,63,1295
2026-09-24T12:05:07.829000+00:00,11371,11,77,1295
