date,session_key,meeting_key,driver_number,gap_to_leader,interval,source_closure_retrieved_utc
2026-07-04T11:04:08.492000+00:00,11321,1289,3,0.853,0.333,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:08.649000+00:00,11321,1289,16,1.002,0.149,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.008000+00:00,11321,1289,10,1.355,0.353,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.117000+00:00,11321,1289,41,1.418,0.063,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.227000+00:00,11321,1289,43,1.545,0.127,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.367000+00:00,11321,1289,30,1.651,0.106,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.570000+00:00,11321,1289,6,1.891,0.24,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.774000+00:00,11321,1289,55,2.122,0.231,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:09.883000+00:00,11321,1289,87,2.229,0.107,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:10.320000+00:00,11321,1289,27,2.638,0.409,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:10.414000+00:00,11321,1289,5,2.727,0.089,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:10.570000+00:00,11321,1289,31,2.9,0.173,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:10.805000+00:00,11321,1289,14,3.121,0.221,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:10.914000+00:00,11321,1289,11,3.259,0.138,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:11.180000+00:00,11321,1289,77,3.504,0.245,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:11.258000+00:00,11321,1289,18,3.594,0.09,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:11.258000+00:00,11321,1289,12,0.357,0.357,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:11.555000+00:00,11321,1289,1,0.629,0.272,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:11.742000+00:00,11321,1289,81,0.822,0.193,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:11.774000+00:00,11321,1289,63,0.827,0.005,2026-08-23T07:52:07.178280Z
