lane,rows,result,reason,required_status,heavy_endpoint
weather,8443,pass,evidence_bearing,required_lightweight,False
race_control,5092,pass,evidence_bearing,required_lightweight,False
intervals,273593,pass,evidence_bearing,required_lightweight,False
position,39820,pass,evidence_bearing,required_lightweight,False
stints,5774,pass,evidence_bearing,required_lightweight,False
pit,673,pass,evidence_bearing,required_lightweight,False
starting_grid,330,pass,evidence_bearing,required_lightweight,False
drivers,1561,pass,evidence_bearing,required_lightweight,False
team_radio,459,pass,evidence_bearing,opportunistic,False
