date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number,source_closure_retrieved_utc
2026-03-15T07:06:25.125000+00:00,11245,1280,23.062,2.7,23.062,6,1,2026-09-06T01:25:06.380174Z
2026-03-15T07:19:30.772000+00:00,11245,1280,22.721,2.5,22.721,30,9,2026-09-06T01:25:06.380174Z
2026-03-15T07:19:31.880000+00:00,11245,1280,23.678,3.4,23.678,3,9,2026-09-06T01:25:06.380174Z
2026-03-15T07:19:34.317000+00:00,11245,1280,23.106,3.1,23.106,55,9,2026-09-06T01:25:06.380174Z
2026-03-15T07:20:48.777000+00:00,11245,1280,23.005,2.9,23.005,12,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:20:56.454000+00:00,11245,1280,23.39,3.2,23.39,63,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:20:56.799000+00:00,11245,1280,22.433,2.4,22.433,44,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:21:02.954000+00:00,11245,1280,25.633,3.5,25.633,16,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:21:06.329000+00:00,11245,1280,23.539,2.8,23.539,10,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:21:23.314000+00:00,11245,1280,22.967,,22.967,87,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:21:49.224000+00:00,11245,1280,27.795,7.4,27.795,77,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:22:06.849000+00:00,11245,1280,25.748,5.7,25.748,6,10,2026-09-06T01:25:06.380174Z
2026-03-15T07:24:08.630000+00:00,11245,1280,26.213,5.5,26.213,11,11,2026-09-06T01:25:06.380174Z
2026-03-15T07:55:08.164000+00:00,11245,1280,25.997,5.7,25.997,31,29,2026-09-06T01:25:06.380174Z
2026-03-15T07:58:53.861000+00:00,11245,1280,23.291,2.8,23.291,14,31,2026-09-06T01:25:06.380174Z
2026-03-15T07:59:58.613000+00:00,11245,1280,23.195,2.6,23.195,43,32,2026-09-06T01:25:06.380174Z
2026-03-15T08:05:10.947000+00:00,11245,1280,37.358,16.1,37.358,27,35,2026-09-06T01:25:06.380174Z
2026-03-15T08:16:43.743000+00:00,11245,1280,23.29,2.9,23.29,41,42,2026-09-06T01:25:06.380174Z
2026-03-15T08:23:53.817000+00:00,11245,1280,47.067,26.9,47.067,31,46,2026-09-06T01:25:06.380174Z
2026-05-01T20:31:14.831000+00:00,11271,1284,,,,77,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:21.180000+00:00,11271,1284,,,,31,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:23.920000+00:00,11271,1284,,,,87,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:26.390000+00:00,11271,1284,,,,18,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:28.608000+00:00,11271,1284,,,,10,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:32.695000+00:00,11271,1284,,,,14,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:37.115000+00:00,11271,1284,,,,41,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:31:45.194000+00:00,11271,1284,,,,43,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:07.669000+00:00,11271,1284,,,,1,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:14.224000+00:00,11271,1284,,,,81,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:17.885000+00:00,11271,1284,,,,16,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:23.410000+00:00,11271,1284,,,,44,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:38.027000+00:00,11271,1284,,,,11,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:40.107000+00:00,11271,1284,,,,63,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:49.217000+00:00,11271,1284,,,,12,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:32:55.069000+00:00,11271,1284,,,,30,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:33:03.230000+00:00,11271,1284,,,,3,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:33:08.016000+00:00,11271,1284,,,,6,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:33:23.580000+00:00,11271,1284,,,,27,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:33:29.419000+00:00,11271,1284,,,,55,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:33:36.401000+00:00,11271,1284,,,,23,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:33:43.138000+00:00,11271,1284,,,,5,1,2026-09-06T01:28:01.001886Z
2026-05-01T20:38:20.202000+00:00,11271,1284,90.3,,90.3,30,3,2026-09-06T01:28:01.001886Z
2026-05-01T20:38:27.726000+00:00,11271,1284,69.0,,69.0,41,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:38:34.247000+00:00,11271,1284,102.7,,102.7,31,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:38:36.338000+00:00,11271,1284,89.7,,89.7,87,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:38:45.299000+00:00,11271,1284,24.4,,24.4,63,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:38:58.027000+00:00,11271,1284,33.5,,33.5,12,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:39:06.581000+00:00,11271,1284,152.2,,152.2,77,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:03.605000+00:00,11271,1284,357.5,,357.5,12,6,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:08.221000+00:00,11271,1284,296.9,,296.9,63,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:18.706000+00:00,11271,1284,303.6,,303.6,27,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:25.523000+00:00,11271,1284,265.2,,265.2,5,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:29.309000+00:00,11271,1284,264.4,,264.4,23,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:34.381000+00:00,11271,1284,316.3,,316.3,6,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:39.361000+00:00,11271,1284,662.4,,662.4,3,4,2026-09-06T01:28:01.001886Z
2026-05-01T20:49:53.352000+00:00,11271,1284,425.3,,425.3,10,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:50:05.071000+00:00,11271,1284,412.2,,412.2,16,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:50:11.797000+00:00,11271,1284,405.1,,405.1,44,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:50:16.425000+00:00,11271,1284,420.8,,420.8,43,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:50:23.443000+00:00,11271,1284,339.5,,339.5,55,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:50:29.485000+00:00,11271,1284,535.7,,535.7,81,6,2026-09-06T01:28:01.001886Z
2026-05-01T20:50:48.085000+00:00,11271,1284,355.4,,355.4,1,8,2026-09-06T01:28:01.001886Z
2026-05-01T20:55:23.531000+00:00,11271,1284,699.1,,699.1,41,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:55:55.161000+00:00,11271,1284,710.4,,710.4,87,7,2026-09-06T01:28:01.001886Z
2026-05-01T20:56:12.887000+00:00,11271,1284,106.0,,106.0,12,9,2026-09-06T01:28:01.001886Z
2026-05-01T20:56:18.117000+00:00,11271,1284,96.8,,96.8,27,10,2026-09-06T01:28:01.001886Z
2026-05-01T20:56:21.570000+00:00,11271,1284,91.1,,91.1,5,10,2026-09-06T01:28:01.001886Z
2026-05-01T20:56:25.039000+00:00,11271,1284,114.3,,114.3,63,10,2026-09-06T01:28:01.001886Z
2026-05-01T21:09:37.149000+00:00,11271,1284,449.7,,449.7,63,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:09:44.578000+00:00,11271,1284,515.2,,515.2,44,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:09:51.092000+00:00,11271,1284,585.4,,585.4,1,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:10:11.215000+00:00,11271,1284,546.2,,546.2,16,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:10:18.590000+00:00,11271,1284,564.9,,564.9,10,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:10:20.700000+00:00,11271,1284,540.1,,540.1,43,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:10:27.928000+00:00,11271,1284,603.4,,603.4,6,13,2026-09-06T01:28:01.001886Z
2026-05-01T21:10:44.090000+00:00,11271,1284,610.1,,610.1,3,10,2026-09-06T01:28:01.001886Z
2026-05-01T21:10:57.553000+00:00,11271,1284,895.3,,895.3,81,9,2026-09-06T01:28:01.001886Z
2026-05-01T21:11:32.061000+00:00,11271,1284,601.7,,601.7,12,12,2026-09-06T01:28:01.001886Z
2026-05-02T16:25:14.670000+00:00,11275,1284,40.821,20.6,40.821,23,13,2026-09-06T01:28:06.646391Z
2026-05-03T17:06:24.855000+00:00,11280,1284,33.71,12.7,33.71,27,1,2026-09-06T01:28:18.259634Z
2026-05-03T17:14:40.156000+00:00,11280,1284,22.547,2.4,22.547,3,6,2026-09-06T01:28:18.259634Z
2026-05-03T17:15:01.436000+00:00,11280,1284,23.529,3.0,23.529,77,6,2026-09-06T01:28:18.259634Z
2026-05-03T17:40:30.702000+00:00,11280,1284,22.0,,22.0,63,20,2026-09-06T01:28:18.259634Z
2026-05-03T17:42:03.129000+00:00,11280,1284,23.386,3.7,23.386,16,21,2026-09-06T01:28:18.259634Z
2026-05-03T17:42:42.184000+00:00,11280,1284,23.827,3.3,23.827,77,21,2026-09-06T01:28:18.259634Z
2026-05-03T17:42:43.220000+00:00,11280,1284,22.63,2.8,22.63,18,21,2026-09-06T01:28:18.259634Z
2026-05-03T17:49:41.487000+00:00,11280,1284,22.128,2.2,22.128,12,26,2026-09-06T01:28:18.259634Z
2026-05-03T17:50:16.658000+00:00,11280,1284,23.474,4.6,23.474,87,26,2026-09-06T01:28:18.259634Z
