timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-06-14T08:54:46.033176Z,sessions,sessions_by_year,"{""year"": 2026}",126,pass,,0.606
2026-06-14T08:54:46.921665Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.732
2026-06-14T08:54:47.698146Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.675
2026-06-14T08:54:48.287639Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.488
2026-06-14T08:54:48.941482Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.553
2026-06-14T08:54:49.666707Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.624
2026-06-14T08:54:49.767914Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T08:54:50.329145Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.561
2026-06-14T08:54:50.961911Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.532
2026-06-14T08:54:51.553842Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.491
2026-06-14T08:54:52.167108Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.512
2026-06-14T08:54:52.801730Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.533
2026-06-14T08:54:53.502697Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.6
2026-06-14T08:54:54.165133Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.562
2026-06-14T08:54:54.972032Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.706
2026-06-14T08:54:55.073276Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T08:54:55.615043Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.542
2026-06-14T08:54:56.210421Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.495
2026-06-14T08:54:56.839552Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.528
2026-06-14T08:54:57.511945Z,weather,weather_by_session_key,"{""session_key"": 11467}",528,pass,,0.572
2026-06-14T08:54:58.153813Z,race_control,race_control_by_session_key,"{""session_key"": 11467}",109,pass,,0.541
2026-06-14T08:54:58.767178Z,intervals,intervals_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.512
2026-06-14T08:54:59.409989Z,position,position_by_session_key,"{""session_key"": 11467}",216,pass,,0.542
2026-06-14T08:55:00.095060Z,stints,stints_by_session_key,"{""session_key"": 11467}",211,pass,,0.584
2026-06-14T08:55:00.196403Z,pit,skip_non_race_like_session,"{""session_key"": 11467}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T08:55:00.683478Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.487
2026-06-14T08:55:01.274391Z,drivers,drivers_by_session_key,"{""session_key"": 11467}",22,pass,,0.49
2026-06-14T08:55:02.023822Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11467}",1,pass,,0.648
2026-06-14T08:55:02.656432Z,weather,weather_by_session_key,"{""session_key"": 11470}",517,pass,,0.531
2026-06-14T08:55:03.249104Z,race_control,race_control_by_session_key,"{""session_key"": 11470}",57,pass,,0.492
2026-06-14T08:55:03.878544Z,intervals,intervals_by_session_key,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.528
2026-06-14T08:55:04.532152Z,position,position_by_session_key,"{""session_key"": 11470}",429,pass,,0.553
2026-06-14T08:55:05.327509Z,stints,stints_by_session_key,"{""session_key"": 11470}",243,pass,,0.694
2026-06-14T08:55:05.428748Z,pit,skip_non_race_like_session,"{""session_key"": 11470}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T08:55:05.917383Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.489
2026-06-14T08:55:06.548449Z,drivers,drivers_by_session_key,"{""session_key"": 11470}",22,pass,,0.53
2026-06-14T08:55:07.177807Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.528
2026-06-14T08:55:07.795696Z,weather,weather_by_session_key,"{""session_key"": 11469}",558,pass,,0.517
2026-06-14T08:55:08.390442Z,race_control,race_control_by_session_key,"{""session_key"": 11469}",51,pass,,0.493
2026-06-14T08:55:09.011328Z,intervals,intervals_by_session_key,"{""session_key"": 11469}",0,http_404,"{""detail"":""No results found.""}",0.52
2026-06-14T08:55:09.609556Z,position,position_by_session_key,"{""session_key"": 11469}",364,pass,,0.498
2026-06-14T08:55:10.221601Z,stints,stints_by_session_key,"{""session_key"": 11469}",265,pass,,0.511
2026-06-14T08:55:10.322815Z,pit,skip_non_race_like_session,"{""session_key"": 11469}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T08:55:10.855785Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11469}",0,http_404,"{""detail"":""No results found.""}",0.533
2026-06-14T08:55:11.488603Z,drivers,drivers_by_session_key,"{""session_key"": 11469}",22,pass,,0.532
2026-06-14T08:55:12.120055Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11469}",0,http_404,"{""detail"":""No results found.""}",0.53
2026-06-14T08:55:12.752296Z,weather,weather_by_session_key,"{""session_key"": 11468}",559,pass,,0.531
2026-06-14T08:55:13.423700Z,race_control,race_control_by_session_key,"{""session_key"": 11468}",46,pass,,0.57
