date,session_key,position,meeting_key,driver_number
2026-07-04T14:47:05.905000+00:00,11322,1,1289,44
2026-07-04T14:47:05.905000+00:00,11322,2,1289,12
2026-07-04T14:47:05.905000+00:00,11322,3,1289,16
2026-07-04T14:47:05.905000+00:00,11322,4,1289,63
2026-07-04T14:47:05.905000+00:00,11322,5,1289,81
2026-07-04T14:47:05.905000+00:00,11322,6,1289,3
2026-07-04T14:47:05.905000+00:00,11322,7,1289,1
2026-07-04T14:47:05.905000+00:00,11322,8,1289,6
2026-07-04T14:47:05.905000+00:00,11322,9,1289,27
2026-07-04T14:47:05.905000+00:00,11322,10,1289,30
2026-07-04T14:47:05.905000+00:00,11322,11,1289,43
2026-07-04T14:47:05.905000+00:00,11322,12,1289,5
2026-07-04T14:47:05.905000+00:00,11322,13,1289,41
2026-07-04T14:47:05.905000+00:00,11322,14,1289,87
2026-07-04T14:47:05.905000+00:00,11322,15,1289,55
2026-07-04T14:47:05.905000+00:00,11322,16,1289,31
2026-07-04T14:47:05.905000+00:00,11322,17,1289,23
2026-07-04T14:47:05.905000+00:00,11322,18,1289,77
2026-07-04T14:47:05.905000+00:00,11322,19,1289,11
2026-07-04T14:47:05.905000+00:00,11322,20,1289,14
2026-07-04T14:47:05.905000+00:00,11322,21,1289,10
2026-07-04T14:47:05.905000+00:00,11322,22,1289,18
2026-07-04T15:03:26.222000+00:00,11322,2,1289,44
2026-07-04T15:03:26.222000+00:00,11322,3,1289,12
2026-07-04T15:03:26.222000+00:00,11322,4,1289,16
2026-07-04T15:03:26.222000+00:00,11322,5,1289,63
2026-07-04T15:03:26.222000+00:00,11322,6,1289,81
2026-07-04T15:03:26.222000+00:00,11322,7,1289,3
2026-07-04T15:03:26.222000+00:00,11322,8,1289,1
2026-07-04T15:03:26.222000+00:00,11322,9,1289,6
2026-07-04T15:03:26.222000+00:00,11322,10,1289,27
2026-07-04T15:03:26.222000+00:00,11322,11,1289,30
2026-07-04T15:03:26.222000+00:00,11322,12,1289,43
2026-07-04T15:03:26.222000+00:00,11322,13,1289,5
2026-07-04T15:03:26.222000+00:00,11322,14,1289,41
2026-07-04T15:03:26.222000+00:00,11322,15,1289,87
2026-07-04T15:03:26.222000+00:00,11322,16,1289,55
2026-07-04T15:03:26.222000+00:00,11322,17,1289,31
2026-07-04T15:03:26.222000+00:00,11322,18,1289,23
2026-07-04T15:03:26.222000+00:00,11322,19,1289,77
2026-07-04T15:03:26.222000+00:00,11322,1,1289,11
2026-07-04T15:03:36.666000+00:00,11322,3,1289,44
2026-07-04T15:03:36.666000+00:00,11322,4,1289,12
2026-07-04T15:03:36.666000+00:00,11322,5,1289,16
2026-07-04T15:03:36.666000+00:00,11322,6,1289,63
2026-07-04T15:03:36.666000+00:00,11322,7,1289,81
2026-07-04T15:03:36.666000+00:00,11322,8,1289,3
2026-07-04T15:03:36.666000+00:00,11322,9,1289,1
2026-07-04T15:03:36.666000+00:00,11322,10,1289,6
2026-07-04T15:03:36.666000+00:00,11322,11,1289,27
2026-07-04T15:03:36.666000+00:00,11322,12,1289,30
2026-07-04T15:03:36.666000+00:00,11322,13,1289,43
2026-07-04T15:03:36.666000+00:00,11322,14,1289,5
2026-07-04T15:03:36.666000+00:00,11322,15,1289,41
2026-07-04T15:03:36.666000+00:00,11322,16,1289,87
2026-07-04T15:03:36.666000+00:00,11322,2,1289,55
2026-07-04T15:03:43.854000+00:00,11322,4,1289,44
2026-07-04T15:03:43.854000+00:00,11322,5,1289,12
2026-07-04T15:03:43.854000+00:00,11322,6,1289,16
2026-07-04T15:03:43.854000+00:00,11322,7,1289,63
2026-07-04T15:03:43.854000+00:00,11322,8,1289,81
2026-07-04T15:03:43.854000+00:00,11322,9,1289,3
2026-07-04T15:03:43.854000+00:00,11322,10,1289,1
2026-07-04T15:03:43.854000+00:00,11322,11,1289,6
2026-07-04T15:03:43.854000+00:00,11322,12,1289,27
2026-07-04T15:03:43.854000+00:00,11322,13,1289,30
2026-07-04T15:03:43.854000+00:00,11322,14,1289,43
2026-07-04T15:03:43.854000+00:00,11322,15,1289,5
2026-07-04T15:03:43.854000+00:00,11322,16,1289,41
2026-07-04T15:03:43.854000+00:00,11322,17,1289,87
2026-07-04T15:03:43.854000+00:00,11322,3,1289,55
2026-07-04T15:03:43.854000+00:00,11322,1,1289,31
2026-07-04T15:03:43.854000+00:00,11322,2,1289,11
2026-07-04T15:03:48.104000+00:00,11322,5,1289,44
2026-07-04T15:03:48.104000+00:00,11322,6,1289,12
2026-07-04T15:03:48.104000+00:00,11322,7,1289,16
2026-07-04T15:03:48.104000+00:00,11322,8,1289,63
2026-07-04T15:03:48.104000+00:00,11322,9,1289,81
2026-07-04T15:03:48.104000+00:00,11322,10,1289,3
2026-07-04T15:03:48.104000+00:00,11322,11,1289,1
2026-07-04T15:03:48.104000+00:00,11322,12,1289,6
2026-07-04T15:03:48.104000+00:00,11322,13,1289,27
2026-07-04T15:03:48.104000+00:00,11322,14,1289,30
2026-07-04T15:03:48.104000+00:00,11322,15,1289,43
2026-07-04T15:03:48.104000+00:00,11322,16,1289,5
2026-07-04T15:03:48.104000+00:00,11322,17,1289,41
2026-07-04T15:03:48.104000+00:00,11322,1,1289,87
2026-07-04T15:03:48.104000+00:00,11322,4,1289,55
2026-07-04T15:03:48.104000+00:00,11322,2,1289,31
2026-07-04T15:03:48.104000+00:00,11322,3,1289,11
2026-07-04T15:03:59.667000+00:00,11322,6,1289,44
2026-07-04T15:03:59.667000+00:00,11322,7,1289,12
2026-07-04T15:03:59.667000+00:00,11322,8,1289,16
2026-07-04T15:03:59.667000+00:00,11322,9,1289,63
2026-07-04T15:03:59.667000+00:00,11322,10,1289,81
2026-07-04T15:03:59.667000+00:00,11322,11,1289,3
2026-07-04T15:03:59.667000+00:00,11322,12,1289,1
2026-07-04T15:03:59.667000+00:00,11322,13,1289,6
2026-07-04T15:03:59.667000+00:00,11322,14,1289,27
2026-07-04T15:03:59.667000+00:00,11322,15,1289,30
2026-07-04T15:03:59.667000+00:00,11322,16,1289,43
2026-07-04T15:03:59.667000+00:00,11322,17,1289,5
2026-07-04T15:03:59.667000+00:00,11322,18,1289,41
2026-07-04T15:03:59.667000+00:00,11322,19,1289,23
2026-07-04T15:03:59.667000+00:00,11322,20,1289,77
2026-07-04T15:03:59.667000+00:00,11322,21,1289,14
2026-07-04T15:03:59.667000+00:00,11322,22,1289,10
2026-07-04T15:03:59.667000+00:00,11322,5,1289,18
2026-07-04T15:04:16.279000+00:00,11322,5,1289,44
2026-07-04T15:04:16.279000+00:00,11322,6,1289,12
2026-07-04T15:04:16.279000+00:00,11322,7,1289,16
2026-07-04T15:04:16.279000+00:00,11322,8,1289,63
2026-07-04T15:04:16.279000+00:00,11322,9,1289,81
2026-07-04T15:04:16.279000+00:00,11322,10,1289,3
2026-07-04T15:04:16.279000+00:00,11322,11,1289,1
2026-07-04T15:04:16.279000+00:00,11322,12,1289,6
2026-07-04T15:04:16.279000+00:00,11322,13,1289,27
2026-07-04T15:04:16.279000+00:00,11322,14,1289,30
2026-07-04T15:04:16.279000+00:00,11322,15,1289,43
2026-07-04T15:04:16.279000+00:00,11322,16,1289,5
2026-07-04T15:04:16.279000+00:00,11322,17,1289,41
2026-07-04T15:04:16.279000+00:00,11322,18,1289,55
2026-07-04T15:04:16.279000+00:00,11322,4,1289,18
2026-07-04T15:04:33.263000+00:00,11322,6,1289,44
2026-07-04T15:04:33.263000+00:00,11322,7,1289,12
2026-07-04T15:04:33.263000+00:00,11322,8,1289,16
2026-07-04T15:04:33.263000+00:00,11322,9,1289,63
2026-07-04T15:04:33.263000+00:00,11322,10,1289,81
2026-07-04T15:04:33.263000+00:00,11322,11,1289,3
2026-07-04T15:04:33.263000+00:00,11322,12,1289,1
2026-07-04T15:04:33.263000+00:00,11322,13,1289,6
2026-07-04T15:04:33.263000+00:00,11322,14,1289,27
2026-07-04T15:04:33.263000+00:00,11322,4,1289,30
2026-07-04T15:04:33.263000+00:00,11322,5,1289,18
