date,session_key,lap_number,pit_duration,lane_duration,stop_duration,driver_number,meeting_key
2026-07-04T15:00:02.763000+00:00,11322,1,,,,77,1289
2026-07-04T15:00:08.154000+00:00,11322,1,,,,11,1289
2026-07-04T15:00:14.419000+00:00,11322,1,,,,55,1289
2026-07-04T15:00:20.216000+00:00,11322,1,,,,31,1289
2026-07-04T15:00:26.529000+00:00,11322,1,,,,87,1289
2026-07-04T15:00:31.529000+00:00,11322,1,,,,18,1289
2026-07-04T15:00:37.154000+00:00,11322,1,,,,5,1289
2026-07-04T15:00:47.404000+00:00,11322,1,,,,14,1289
2026-07-04T15:00:56.191000+00:00,11322,1,,,,41,1289
2026-07-04T15:01:02.807000+00:00,11322,1,,,,30,1289
2026-07-04T15:01:12.748000+00:00,11322,1,,,,27,1289
2026-07-04T15:01:17.654000+00:00,11322,1,,,,23,1289
2026-07-04T15:01:22.419000+00:00,11322,1,,,,16,1289
2026-07-04T15:01:31.123000+00:00,11322,1,,,,44,1289
2026-07-04T15:03:41.307000+00:00,11322,1,,,,1,1289
2026-07-04T15:03:46.791000+00:00,11322,1,,,,3,1289
2026-07-04T15:03:53.775000+00:00,11322,1,,,,6,1289
2026-07-04T15:04:06.701000+00:00,11322,1,,,,43,1289
2026-07-04T15:04:09.591000+00:00,11322,1,,,,81,1289
2026-07-04T15:04:16.404000+00:00,11322,1,,,,10,1289
2026-07-04T15:04:33.560000+00:00,11322,1,,,,12,1289
2026-07-04T15:04:42.263000+00:00,11322,1,,,,63,1289
2026-07-04T15:05:09.255000+00:00,11322,3,51.9,51.9,,14,1289
2026-07-04T15:06:22.105000+00:00,11322,4,39.2,39.2,,18,1289
2026-07-04T15:06:25.089000+00:00,11322,3,176.4,176.4,,77,1289
2026-07-04T15:06:35.594000+00:00,11322,3,113.9,113.9,,23,1289
2026-07-04T15:06:43.272000+00:00,11322,4,78.1,78.1,,87,1289
2026-07-04T15:06:50.173000+00:00,11322,3,156.5,156.5,,41,1289
2026-07-04T15:06:55.229000+00:00,11322,4,41.4,41.4,,27,1289
2026-07-04T15:07:10.059000+00:00,11322,4,106.7,106.7,,31,1289
2026-07-04T15:07:13.324000+00:00,11322,4,131.2,131.2,,11,1289
2026-07-04T15:07:19.757000+00:00,11322,4,127.3,127.3,,55,1289
2026-07-04T15:08:27.489000+00:00,11322,4,141.0,141.0,,30,1289
2026-07-04T15:11:44.137000+00:00,11322,3,151.5,151.5,,63,1289
2026-07-04T15:11:55.649000+00:00,11322,4,151.0,151.0,,81,1289
2026-07-04T15:12:39.678000+00:00,11322,4,172.4,172.4,,12,1289
2026-07-04T15:12:54.328000+00:00,11322,4,238.0,238.0,,3,1289
2026-07-04T15:12:59.944000+00:00,11322,4,235.8,235.8,,6,1289
2026-07-04T15:13:49+00:00,11322,4,246.4,246.4,,10,1289
2026-07-04T15:13:55.684000+00:00,11322,4,267.6,267.6,,43,1289
2026-07-04T15:14:00.047000+00:00,11322,7,107.9,107.9,,31,1289
2026-07-04T15:14:02.406000+00:00,11322,7,140.0,140.0,,87,1289
2026-07-04T15:14:04.531000+00:00,11322,6,155.8,155.8,,77,1289
2026-07-04T15:14:08.672000+00:00,11322,7,155.6,155.6,,18,1289
2026-07-04T15:14:11.853000+00:00,11322,4,332.7,332.7,,1,1289
2026-07-04T15:14:17.100000+00:00,11322,6,160.0,160.0,,23,1289
2026-07-04T15:14:24.437000+00:00,11322,7,126.3,126.3,,55,1289
2026-07-04T15:14:29.969000+00:00,11322,6,150.2,150.2,,41,1289
2026-07-04T15:14:53.966000+00:00,11322,7,92.1,92.1,,30,1289
2026-07-04T15:15:02.773000+00:00,11322,7,169.6,169.6,,27,1289
2026-07-04T15:15:12.018000+00:00,11322,7,168.6,168.6,,14,1289
2026-07-04T15:15:20.772000+00:00,11322,2,768.3,768.3,,5,1289
2026-07-04T15:15:26.256000+00:00,11322,7,181.8,181.8,,11,1289
2026-07-04T15:33:01.818000+00:00,11322,7,906.2,906.2,,3,1289
2026-07-04T15:33:04.318000+00:00,11322,7,887.0,887.0,,6,1289
2026-07-04T15:34:20.558000+00:00,11322,10,859.4,859.4,,55,1289
2026-07-04T15:34:27.652000+00:00,11322,9,869.9,869.9,,23,1289
2026-07-04T15:34:31.402000+00:00,11322,7,1353.2,1353.2,,16,1289
2026-07-04T15:34:38.042000+00:00,11322,6,1431.6,1431.6,,44,1289
2026-07-04T15:34:41.403000+00:00,11322,9,877.7,877.7,,41,1289
2026-07-04T15:34:46.980000+00:00,11322,10,868.2,868.2,,30,1289
2026-07-04T15:35:04.352000+00:00,11322,7,1083.7,1083.7,,81,1289
2026-07-04T15:35:10.024000+00:00,11322,10,890.0,890.0,,27,1289
2026-07-04T15:35:16.336000+00:00,11322,5,875.2,875.2,,5,1289
2026-07-04T15:35:19.242000+00:00,11322,7,1065.5,1065.5,,12,1289
2026-07-04T15:35:24.824000+00:00,11322,6,1115.0,1115.0,,63,1289
2026-07-04T15:35:28.558000+00:00,11322,10,965.2,965.2,,87,1289
2026-07-04T15:35:44.653000+00:00,11322,6,1055.0,1055.0,,1,1289
2026-07-04T15:35:48.971000+00:00,11322,7,1006.5,1006.5,,10,1289
2026-07-04T15:41:14.127000+00:00,11322,10,193.1,193.1,,3,1289
2026-07-04T15:41:22.888000+00:00,11322,10,188.1,188.1,,6,1289
2026-07-04T15:43:31.670000+00:00,11322,10,204.1,204.1,,81,1289
2026-07-04T15:43:38.276000+00:00,11322,9,168.0,168.0,,1,1289
2026-07-04T15:43:41.527000+00:00,11322,12,222.9,222.9,,41,1289
2026-07-04T15:43:46.714000+00:00,11322,13,224.2,224.2,,30,1289
2026-07-04T15:43:50.729000+00:00,11322,10,251.7,251.7,,16,1289
2026-07-04T15:43:58.667000+00:00,11322,9,244.5,244.5,,44,1289
2026-07-04T15:44:03.401000+00:00,11322,13,195.5,195.5,,87,1289
2026-07-04T15:44:10.491000+00:00,11322,13,283.5,283.5,,55,1289
2026-07-04T15:44:19.001000+00:00,11322,8,232.0,232.0,,5,1289
2026-07-04T15:44:26.329000+00:00,11322,12,288.9,288.9,,23,1289
2026-07-04T15:44:40.876000+00:00,11322,13,268.7,268.7,,27,1289
2026-07-04T15:44:57.845000+00:00,11322,11,154.4,154.4,,12,1289
2026-07-04T15:45:05.120000+00:00,11322,10,224.9,224.9,,10,1289
2026-07-04T15:45:28.245000+00:00,11322,9,289.1,289.1,,63,1289
2026-07-04T15:56:22.847000+00:00,11322,13,469.0,469.0,,81,1289
2026-07-04T15:56:31.454000+00:00,11322,16,448.8,448.8,,30,1289
2026-07-04T15:56:34.766000+00:00,11322,12,476.5,476.5,,1,1289
2026-07-04T15:56:41.667000+00:00,11322,13,631.5,631.5,,3,1289
2026-07-04T15:56:45.386000+00:00,11322,13,461.9,461.9,,16,1289
2026-07-04T15:56:50.663000+00:00,11322,12,463.9,463.9,,44,1289
2026-07-04T15:57:01.463000+00:00,11322,13,642.5,642.5,,6,1289
2026-07-04T15:57:25.560000+00:00,11322,14,447.4,447.4,,12,1289
2026-07-04T15:57:33.700000+00:00,11322,12,427.5,427.5,,63,1289
2026-07-04T16:04:44.456000+00:00,11322,17,153.9,153.9,,12,1289
2026-07-04T16:04:46.659000+00:00,11322,15,192.6,192.6,,1,1289
2026-07-04T16:04:50.659000+00:00,11322,15,957.6,957.6,,41,1289
2026-07-04T16:04:55.191000+00:00,11322,16,219.7,219.7,,81,1289
2026-07-04T16:04:59.636000+00:00,11322,18,314.1,314.1,,30,1289
