date,session_key,wind_direction,air_temperature,humidity,pressure,track_temperature,wind_speed,rainfall,meeting_key
2026-07-24T14:47:30.378000+00:00,11336,14,23.8,29.9,985.8,33.5,1.6,0,1291
2026-07-24T14:48:30.427000+00:00,11336,313,23.6,30.1,985.8,33.7,1.1,0,1291
2026-07-24T14:49:30.420000+00:00,11336,298,23.5,30.2,985.8,33.3,2.5,0,1291
2026-07-24T14:50:30.410000+00:00,11336,285,23.6,30.0,985.8,33.2,0.9,0,1291
2026-07-24T14:51:30.423000+00:00,11336,285,23.6,30.0,985.8,33.2,0.9,0,1291
2026-07-24T14:52:30.416000+00:00,11336,9,23.7,30.3,985.8,33.6,1.6,0,1291
2026-07-24T14:53:30.412000+00:00,11336,297,23.8,30.0,985.9,32.9,3.3,0,1291
2026-07-24T14:54:30.428000+00:00,11336,297,23.8,30.0,985.9,32.9,3.3,0,1291
2026-07-24T14:55:30.422000+00:00,11336,299,23.6,30.7,985.8,31.9,3.4,0,1291
2026-07-24T14:56:30.420000+00:00,11336,299,23.6,30.7,985.8,31.9,3.4,0,1291
2026-07-24T14:57:30.425000+00:00,11336,316,23.5,30.9,985.8,31.5,1.8,0,1291
2026-07-24T14:58:30.426000+00:00,11336,296,23.5,31.0,985.8,31.9,2.1,0,1291
2026-07-24T14:59:30.422000+00:00,11336,300,23.6,31.2,985.7,32.2,1.7,0,1291
2026-07-24T15:00:30.431000+00:00,11336,1,23.7,30.4,985.9,32.1,1.2,0,1291
2026-07-24T15:01:30.420000+00:00,11336,1,23.7,30.4,985.9,32.1,1.2,0,1291
2026-07-24T15:02:30.427000+00:00,11336,8,23.8,30.1,985.8,31.6,2.0,0,1291
2026-07-24T15:03:30.429000+00:00,11336,8,23.8,30.1,985.8,31.6,2.0,0,1291
2026-07-24T15:04:30.426000+00:00,11336,307,23.9,30.0,985.9,31.5,0.4,0,1291
2026-07-24T15:05:30.425000+00:00,11336,10,23.9,30.0,985.8,31.6,0.4,0,1291
2026-07-24T15:06:30.427000+00:00,11336,288,23.9,29.5,985.9,31.1,3.0,0,1291
2026-07-24T15:07:30.418000+00:00,11336,339,23.9,30.0,985.9,31.3,0.8,0,1291
