date,session_key,driver_number,stop_duration,pit_duration,lap_number,meeting_key,lane_duration
2026-07-24T15:00:02.023000+00:00,11336,77,,,1,1291,
2026-07-24T15:00:07.592000+00:00,11336,43,,,1,1291,
2026-07-24T15:00:10.238000+00:00,11336,27,,,1,1291,
2026-07-24T15:00:12.763000+00:00,11336,5,,,1,1291,
2026-07-24T15:00:14.678000+00:00,11336,10,,,1,1291,
2026-07-24T15:00:18.254000+00:00,11336,11,,,1,1291,
2026-07-24T15:00:28.057000+00:00,11336,30,,,1,1291,
2026-07-24T15:00:32.664000+00:00,11336,16,,,1,1291,
2026-07-24T15:00:39.335000+00:00,11336,44,,,1,1291,
2026-07-24T15:00:41.975000+00:00,11336,81,,,1,1291,
2026-07-24T15:00:49.801000+00:00,11336,41,,,1,1291,
2026-07-24T15:01:10.824000+00:00,11336,1,,,1,1291,
2026-07-24T15:01:14.743000+00:00,11336,23,,,1,1291,
2026-07-24T15:02:04.135000+00:00,11336,12,,,1,1291,
2026-07-24T15:02:38.706000+00:00,11336,31,,,1,1291,
2026-07-24T15:03:05.592000+00:00,11336,55,,,1,1291,
2026-07-24T15:03:07.363000+00:00,11336,6,,,1,1291,
2026-07-24T15:03:10.984000+00:00,11336,87,,,1,1291,
2026-07-24T15:03:37.418000+00:00,11336,63,,,1,1291,
2026-07-24T15:03:40.604000+00:00,11336,14,,,1,1291,
2026-07-24T15:04:30.047000+00:00,11336,3,,,1,1291,
2026-07-24T15:06:04.461000+00:00,11336,30,,31.3,4,1291,31.3
2026-07-24T15:08:54.128000+00:00,11336,63,,24.8,4,1291,24.8
2026-07-24T15:09:20.966000+00:00,11336,87,,39.9,4,1291,39.9
2026-07-24T15:09:25.313000+00:00,11336,5,,27.3,6,1291,27.3
2026-07-24T15:10:52.596000+00:00,11336,12,,27.1,6,1291,27.1
2026-07-24T15:12:59.462000+00:00,11336,81,,24.9,8,1291,24.9
2026-07-24T15:13:25.604000+00:00,11336,31,,30.6,7,1291,30.6
2026-07-24T15:14:47.305000+00:00,11336,5,,24.6,9,1291,24.6
2026-07-24T15:16:16.016000+00:00,11336,12,,25.6,9,1291,25.6
2026-07-24T15:21:46.173000+00:00,11336,1,,613.0,7,1291,613.0
2026-07-24T15:21:58.317000+00:00,11336,27,,393.4,10,1291,393.4
2026-07-24T15:22:03.445000+00:00,11336,3,,571.6,6,1291,571.6
2026-07-24T15:22:13.932000+00:00,11336,30,,379.7,10,1291,379.7
2026-07-24T15:22:20.018000+00:00,11336,6,,612.2,6,1291,612.2
2026-07-24T15:22:22.889000+00:00,11336,41,,371.0,10,1291,371.0
2026-07-24T15:22:28.435000+00:00,11336,11,,491.6,9,1291,491.6
2026-07-24T15:22:32.100000+00:00,11336,55,,175.8,11,1291,175.8
2026-07-24T15:22:59.099000+00:00,11336,23,,105.0,13,1291,105.0
2026-07-24T15:23:27.345000+00:00,11336,63,,376.6,9,1291,376.6
2026-07-24T15:24:11.409000+00:00,11336,43,,509.4,10,1291,509.4
2026-07-24T15:24:26.812000+00:00,11336,10,,848.7,7,1291,848.7
2026-07-24T15:24:57.037000+00:00,11336,81,,433.8,11,1291,433.8
2026-07-24T15:25:10.613000+00:00,11336,12,,259.9,12,1291,259.9
2026-07-24T15:25:26.666000+00:00,11336,44,,491.6,10,1291,491.6
2026-07-24T15:25:31.147000+00:00,11336,16,,415.7,12,1291,415.7
2026-07-24T15:25:50.472000+00:00,11336,14,,553.3,9,1291,553.3
2026-07-24T15:26:10.177000+00:00,11336,87,,306.7,11,1291,306.7
2026-07-24T15:27:13.610000+00:00,11336,27,,25.7,13,1291,25.7
2026-07-24T15:34:02.050000+00:00,11336,5,,973.9,11,1291,973.9
2026-07-24T15:34:05.550000+00:00,11336,77,,742.5,14,1291,742.5
2026-07-24T15:34:11.955000+00:00,11336,14,,1054.7,10,1291,1054.7
2026-07-24T15:34:20.755000+00:00,11336,12,,809.6,14,1291,809.6
2026-07-24T15:34:28.271000+00:00,11336,41,,1096.1,13,1291,1096.1
2026-07-24T15:34:34.968000+00:00,11336,30,,462.0,13,1291,462.0
2026-07-24T15:34:43.600000+00:00,11336,27,,475.4,14,1291,475.4
2026-07-24T15:34:54.804000+00:00,11336,10,,1476.3,9,1291,1476.3
2026-07-24T15:35:02.056000+00:00,11336,63,,1071.1,12,1291,1071.1
2026-07-24T15:35:03.753000+00:00,11336,11,,1247.0,12,1291,1247.0
2026-07-24T15:35:07.219000+00:00,11336,81,,1043.9,13,1291,1043.9
2026-07-24T15:35:13.996000+00:00,11336,16,,998.5,14,1291,998.5
2026-07-24T15:35:17.829000+00:00,11336,31,,1013.1,10,1291,1013.1
2026-07-24T15:35:22.833000+00:00,11336,1,,1429.4,11,1291,1429.4
2026-07-24T15:35:28.355000+00:00,11336,87,,864.9,12,1291,864.9
2026-07-24T15:35:36.838000+00:00,11336,44,,1101.9,11,1291,1101.9
2026-07-24T15:37:37.084000+00:00,11336,23,,983.0,16,1291,983.0
2026-07-24T15:37:47.940000+00:00,11336,55,,1091.7,14,1291,1091.7
2026-07-24T15:38:01.415000+00:00,11336,3,,684.1,9,1291,684.1
2026-07-24T15:39:39.146000+00:00,11336,77,,28.2,17,1291,28.2
2026-07-24T15:41:38.972000+00:00,11336,5,,58.4,15,1291,58.4
2026-07-24T15:42:26.511000+00:00,11336,12,,294.1,16,1291,294.1
2026-07-24T15:43:38.184000+00:00,11336,30,,264.1,16,1291,264.1
2026-07-24T15:43:54.693000+00:00,11336,31,,227.8,13,1291,227.8
2026-07-24T15:44:17.711000+00:00,11336,41,,310.8,16,1291,310.8
2026-07-24T15:44:34.237000+00:00,11336,27,,318.8,17,1291,318.8
2026-07-24T15:44:44.481000+00:00,11336,6,,1956.6,10,1291,1956.6
2026-07-24T15:44:56.081000+00:00,11336,11,,315.6,15,1291,315.6
2026-07-24T15:46:47.568000+00:00,11336,16,,331.0,18,1291,331.0
2026-07-24T15:47:04.373000+00:00,11336,81,,336.3,17,1291,336.3
2026-07-24T15:47:36.740000+00:00,11336,87,,238.7,17,1291,238.7
2026-07-24T15:47:39.476000+00:00,11336,12,,22.2,19,1291,22.2
2026-07-24T15:48:12.119000+00:00,11336,77,,228.7,20,1291,228.7
2026-07-24T15:49:48.657000+00:00,11336,10,,288.3,15,1291,288.3
2026-07-24T15:50:07.933000+00:00,11336,5,,248.2,18,1291,248.2
2026-07-24T15:50:51.113000+00:00,11336,44,,309.3,17,1291,309.3
2026-07-24T15:51:22.320000+00:00,11336,14,,449.9,16,1291,449.9
2026-07-24T15:51:25.653000+00:00,11336,3,,24.5,18,1291,24.5
2026-07-24T15:54:13.436000+00:00,11336,6,,273.6,13,1291,273.6
2026-07-24T15:54:46.315000+00:00,11336,1,,21.2,24,1291,21.2
2026-07-24T15:58:06.801000+00:00,11336,27,,22.0,26,1291,22.0
2026-07-24T15:58:38.537000+00:00,11336,55,,22.9,28,1291,22.9
2026-07-24T15:58:48.483000+00:00,11336,23,,22.0,30,1291,22.0
2026-07-24T15:59:27.866000+00:00,11336,63,,140.2,27,1291,140.2
