position,driver_number,lap_duration,meeting_key,session_key,source_closure_retrieved_utc
1,63,72.965,1285,11282,2026-08-23T05:57:15.948153Z
2,12,73.033,1285,11282,2026-08-23T05:57:15.948153Z
3,1,73.28,1285,11282,2026-08-23T05:57:15.948153Z
4,81,73.299,1285,11282,2026-08-23T05:57:15.948153Z
5,44,73.326,1285,11282,2026-08-23T05:57:15.948153Z
6,16,73.41,1285,11282,2026-08-23T05:57:15.948153Z
7,3,73.504,1285,11282,2026-08-23T05:57:15.948153Z
8,6,73.605,1285,11282,2026-08-23T05:57:15.948153Z
9,41,73.737,1285,11282,2026-08-23T05:57:15.948153Z
10,55,74.536,1285,11282,2026-08-23T05:57:15.948153Z
11,27,74.595,1285,11282,2026-08-23T05:57:15.948153Z
12,5,74.627,1285,11282,2026-08-23T05:57:15.948153Z
13,43,74.702,1285,11282,2026-08-23T05:57:15.948153Z
14,31,74.928,1285,11282,2026-08-23T05:57:15.948153Z
15,14,,1285,11282,2026-08-23T05:57:15.948153Z
16,11,76.002,1285,11282,2026-08-23T05:57:15.948153Z
17,18,76.354,1285,11282,2026-08-23T05:57:15.948153Z
18,30,,1285,11282,2026-08-23T05:57:15.948153Z
19,87,75.197,1285,11282,2026-08-23T05:57:15.948153Z
20,10,76.642,1285,11282,2026-08-23T05:57:15.948153Z
21,77,76.866,1285,11282,2026-08-23T05:57:15.948153Z
22,23,,1285,11282,2026-08-23T05:57:15.948153Z
1,12,72.051,1286,11295,2026-08-23T05:59:11.965156Z
2,3,72.094,1286,11295,2026-08-23T05:59:11.965156Z
3,44,72.279,1286,11295,2026-08-23T05:59:11.965156Z
4,16,72.351,1286,11295,2026-08-23T05:59:11.965156Z
5,6,72.434,1286,11295,2026-08-23T05:59:11.965156Z
6,63,72.445,1286,11295,2026-08-23T05:59:11.965156Z
7,81,72.624,1286,11295,2026-08-23T05:59:11.965156Z
8,1,72.765,1286,11295,2026-08-23T05:59:11.965156Z
9,10,73.226,1286,11295,2026-08-23T05:59:11.965156Z
10,30,73.412,1286,11295,2026-08-23T05:59:11.965156Z
11,23,73.787,1286,11295,2026-08-23T05:59:11.965156Z
12,55,73.815,1286,11295,2026-08-23T05:59:11.965156Z
13,27,73.902,1286,11295,2026-08-23T05:59:11.965156Z
14,43,73.995,1286,11295,2026-08-23T05:59:11.965156Z
15,41,74.248,1286,11295,2026-08-23T05:59:11.965156Z
16,5,,1286,11295,2026-08-23T05:59:11.965156Z
17,31,74.722,1286,11295,2026-08-23T05:59:11.965156Z
18,11,74.747,1286,11295,2026-08-23T05:59:11.965156Z
19,87,74.814,1286,11295,2026-08-23T05:59:11.965156Z
20,77,75.283,1286,11295,2026-08-23T05:59:11.965156Z
21,14,75.349,1286,11295,2026-08-23T05:59:11.965156Z
22,18,76.061,1286,11295,2026-08-23T05:59:11.965156Z
1,12,88.111,1289,11322,2026-08-23T06:03:16.636744Z
2,16,88.286,1289,11322,2026-08-23T06:03:16.636744Z
3,44,88.458,1289,11322,2026-08-23T06:03:16.636744Z
4,63,88.481,1289,11322,2026-08-23T06:03:16.636744Z
5,6,88.746,1289,11322,2026-08-23T06:03:16.636744Z
6,1,88.877,1289,11322,2026-08-23T06:03:16.636744Z
7,3,88.893,1289,11322,2026-08-23T06:03:16.636744Z
8,81,89.032,1289,11322,2026-08-23T06:03:16.636744Z
9,41,89.305,1289,11322,2026-08-23T06:03:16.636744Z
10,30,89.716,1289,11322,2026-08-23T06:03:16.636744Z
11,5,89.461,1289,11322,2026-08-23T06:03:16.636744Z
12,27,90.076,1289,11322,2026-08-23T06:03:16.636744Z
13,87,90.501,1289,11322,2026-08-23T06:03:16.636744Z
14,55,90.623,1289,11322,2026-08-23T06:03:16.636744Z
15,10,90.063,1289,11322,2026-08-23T06:03:16.636744Z
16,23,91.341,1289,11322,2026-08-23T06:03:16.636744Z
17,31,90.68,1289,11322,2026-08-23T06:03:16.636744Z
18,77,91.227,1289,11322,2026-08-23T06:03:16.636744Z
19,43,91.321,1289,11322,2026-08-23T06:03:16.636744Z
20,11,91.451,1289,11322,2026-08-23T06:03:16.636744Z
21,14,93.025,1289,11322,2026-08-23T06:03:16.636744Z
22,18,92.863,1289,11322,2026-08-23T06:03:16.636744Z
1,1,77.207,1291,11338,2026-08-23T06:06:06.059170Z
2,16,77.445,1291,11338,2026-08-23T06:06:06.059170Z
3,81,77.684,1291,11338,2026-08-23T06:06:06.059170Z
4,3,77.725,1291,11338,2026-08-23T06:06:06.059170Z
5,44,77.219,1291,11338,2026-08-23T06:06:06.059170Z
6,63,77.76,1291,11338,2026-08-23T06:06:06.059170Z
7,12,77.479,1291,11338,2026-08-23T06:06:06.059170Z
8,6,77.856,1291,11338,2026-08-23T06:06:06.059170Z
9,41,78.281,1291,11338,2026-08-23T06:06:06.059170Z
10,27,78.686,1291,11338,2026-08-23T06:06:06.059170Z
11,30,78.765,1291,11338,2026-08-23T06:06:06.059170Z
12,10,78.844,1291,11338,2026-08-23T06:06:06.059170Z
13,43,79.027,1291,11338,2026-08-23T06:06:06.059170Z
14,5,79.105,1291,11338,2026-08-23T06:06:06.059170Z
15,31,79.734,1291,11338,2026-08-23T06:06:06.059170Z
16,14,79.808,1291,11338,2026-08-23T06:06:06.059170Z
17,87,80.233,1291,11338,2026-08-23T06:06:06.059170Z
18,55,80.621,1291,11338,2026-08-23T06:06:06.059170Z
19,23,80.658,1291,11338,2026-08-23T06:06:06.059170Z
20,18,80.659,1291,11338,2026-08-23T06:06:06.059170Z
21,77,80.886,1291,11338,2026-08-23T06:06:06.059170Z
22,11,81.322,1291,11338,2026-08-23T06:06:06.059170Z
1,1,71.163,1292,11349,2026-08-23T06:07:07.998403Z
2,63,71.265,1292,11349,2026-08-23T06:07:07.998403Z
3,12,71.296,1292,11349,2026-08-23T06:07:07.998403Z
4,81,71.305,1292,11349,2026-08-23T06:07:07.998403Z
5,44,71.494,1292,11349,2026-08-23T06:07:07.998403Z
6,16,71.558,1292,11349,2026-08-23T06:07:07.998403Z
7,3,71.618,1292,11349,2026-08-23T06:07:07.998403Z
8,30,71.733,1292,11349,2026-08-23T06:07:07.998403Z
9,5,72.079,1292,11349,2026-08-23T06:07:07.998403Z
10,41,72.185,1292,11349,2026-08-23T06:07:07.998403Z
11,10,72.616,1292,11349,2026-08-23T06:07:07.998403Z
12,22,72.627,1292,11349,2026-08-23T06:07:07.998403Z
13,27,72.797,1292,11349,2026-08-23T06:07:07.998403Z
14,43,72.8,1292,11349,2026-08-23T06:07:07.998403Z
15,31,73.137,1292,11349,2026-08-23T06:07:07.998403Z
16,23,73.182,1292,11349,2026-08-23T06:07:07.998403Z
17,55,73.574,1292,11349,2026-08-23T06:07:07.998403Z
18,14,73.65,1292,11349,2026-08-23T06:07:07.998403Z
19,18,73.818,1292,11349,2026-08-23T06:07:07.998403Z
20,87,73.826,1292,11349,2026-08-23T06:07:07.998403Z
21,77,74.371,1292,11349,2026-08-23T06:07:07.998403Z
22,11,74.6,1292,11349,2026-08-23T06:07:07.998403Z
