date,session_key,pressure,air_temperature,humidity,rainfall,meeting_key,wind_speed,track_temperature,wind_direction
2026-07-04T14:47:54.221000+00:00,11322,1007.8,25.3,45.4,0,1289,1.1,43.7,278
2026-07-04T14:48:54.223000+00:00,11322,1007.7,25.4,46.1,0,1289,3.4,43.7,253
2026-07-04T14:49:54.239000+00:00,11322,1007.8,25.5,46.4,0,1289,3.4,44.0,259
2026-07-04T14:50:54.245000+00:00,11322,1007.7,25.5,46.9,0,1289,2.0,44.4,262
2026-07-04T14:51:54.262000+00:00,11322,1007.8,25.4,46.3,0,1289,2.2,41.1,261
2026-07-04T14:52:54.264000+00:00,11322,1007.7,25.2,46.6,0,1289,1.6,41.2,330
2026-07-04T14:53:54.264000+00:00,11322,1007.7,25.1,47.5,0,1289,1.9,43.2,281
2026-07-04T14:54:54.279000+00:00,11322,1007.7,25.2,47.4,0,1289,1.4,43.9,230
2026-07-04T14:55:54.288000+00:00,11322,1007.8,25.2,48.1,0,1289,3.6,42.2,244
2026-07-04T14:56:54.291000+00:00,11322,1007.6,25.2,46.9,0,1289,2.6,43.7,256
2026-07-04T14:57:54.310000+00:00,11322,1007.8,25.3,47.5,0,1289,1.3,41.5,179
2026-07-04T14:58:54.326000+00:00,11322,1007.7,25.3,47.7,0,1289,3.1,40.5,262
2026-07-04T14:59:54.326000+00:00,11322,1007.7,25.1,47.7,0,1289,2.8,40.2,239
2026-07-04T15:00:54.342000+00:00,11322,1007.7,25.1,48.2,0,1289,3.7,39.1,267
2026-07-04T15:01:54.347000+00:00,11322,1007.8,25.1,49.0,0,1289,2.8,39.1,264
2026-07-04T15:02:54.364000+00:00,11322,1007.8,25.0,49.6,0,1289,2.8,39.2,265
2026-07-04T15:03:54.367000+00:00,11322,1007.6,25.1,49.3,0,1289,0.5,39.7,219
2026-07-04T15:04:54.357000+00:00,11322,1007.7,25.1,49.5,0,1289,2.1,40.9,265
2026-07-04T15:05:54.363000+00:00,11322,1007.7,25.1,49.8,0,1289,2.3,39.9,200
