lane,rows,result,reason,required_status,heavy_endpoint
weather,5436,pass,evidence_bearing,required_lightweight,False
race_control,3064,pass,evidence_bearing,required_lightweight,False
intervals,179433,pass,evidence_bearing,required_lightweight,False
position,23967,pass,evidence_bearing,required_lightweight,False
stints,3323,pass,evidence_bearing,required_lightweight,False
pit,499,pass,evidence_bearing,required_lightweight,False
starting_grid,220,pass,evidence_bearing,required_lightweight,False
drivers,871,pass,evidence_bearing,required_lightweight,False
team_radio,224,pass,evidence_bearing,opportunistic,False
