date,session_key,driver_number,gap_to_leader,interval,meeting_key,source_closure_retrieved_utc
2026-03-29T05:14:15.651000+00:00,11253,23,2.398,0.185,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.799000+00:00,11253,11,2.562,0.164,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.967000+00:00,11253,87,2.689,0.127,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.006000+00:00,11253,27,2.773,0.084,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.274000+00:00,11253,77,3.019,0.246,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.342000+00:00,11253,14,3.021,0.002,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.612000+00:00,11253,18,3.371,0.35,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:17.543000+00:00,11253,16,0.483,0.483,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:17.733000+00:00,11253,1,0.652,0.169,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:17.826000+00:00,11253,63,0.748,0.096,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.160000+00:00,11253,44,1.057,0.309,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.372000+00:00,11253,12,1.308,0.251,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.611000+00:00,11253,6,1.537,0.229,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.635000+00:00,11253,10,1.543,0.006,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.945000+00:00,11253,41,1.883,0.34,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:19.122000+00:00,11253,3,2.039,0.156,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:19.249000+00:00,11253,31,2.133,0.094,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:19.410000+00:00,11253,30,2.256,0.123,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:19.638000+00:00,11253,5,2.54,0.284,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:19.783000+00:00,11253,55,2.672,0.132,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:19.928000+00:00,11253,43,2.807,0.135,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.115000+00:00,11253,23,2.937,0.13,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.293000+00:00,11253,11,3.105,0.168,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.445000+00:00,11253,87,3.226,0.121,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.573000+00:00,11253,27,3.358,0.132,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.906000+00:00,11253,77,3.704,0.346,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.932000+00:00,11253,14,3.71,0.006,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:20.992000+00:00,11253,18,3.914,0.204,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:21.003000+00:00,11253,16,0.603,0.603,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:21.320000+00:00,11253,1,0.923,0.32,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:21.590000+00:00,11253,63,1.188,0.265,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:21.796000+00:00,11253,44,1.439,0.251,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:22.063000+00:00,11253,12,1.673,0.234,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:22.347000+00:00,11253,10,1.949,0.276,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:22.444000+00:00,11253,6,2.035,0.086,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:22.691000+00:00,11253,41,2.284,0.249,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:22.929000+00:00,11253,3,2.529,0.245,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:23.124000+00:00,11253,31,2.739,0.21,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:23.393000+00:00,11253,30,2.983,0.244,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:23.556000+00:00,11253,5,3.155,0.172,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:23.745000+00:00,11253,55,3.318,0.163,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:23.822000+00:00,11253,43,3.338,0.02,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:23.960000+00:00,11253,23,3.55,0.212,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.133000+00:00,11253,11,3.731,0.181,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.164000+00:00,11253,87,3.77,0.039,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.432000+00:00,11253,27,4.041,0.271,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.513000+00:00,11253,16,0.752,0.752,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.713000+00:00,11253,14,4.32,0.279,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.931000+00:00,11253,77,4.508,0.188,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:24.995000+00:00,11253,1,1.232,0.48,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:25.088000+00:00,11253,18,4.689,0.181,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:25.277000+00:00,11253,63,1.515,0.283,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:25.571000+00:00,11253,44,1.776,0.261,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:25.917000+00:00,11253,12,2.197,0.421,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:26.390000+00:00,11253,10,2.644,0.447,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:26.619000+00:00,11253,6,2.842,0.198,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:26.773000+00:00,11253,41,2.954,0.112,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:27.141000+00:00,11253,3,3.36,0.406,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:27.271000+00:00,11253,31,3.509,0.149,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:27.500000+00:00,11253,30,3.75,0.241,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:27.721000+00:00,11253,5,3.958,0.208,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:27.963000+00:00,11253,55,4.178,0.22,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:27.973000+00:00,11253,43,4.19,0.012,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:28.147000+00:00,11253,23,4.414,0.224,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:28.383000+00:00,11253,87,4.619,0.205,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:28.403000+00:00,11253,11,4.643,0.024,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:28.684000+00:00,11253,27,4.925,0.282,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:29.132000+00:00,11253,14,5.364,0.439,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:29.325000+00:00,11253,77,5.561,0.197,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:29.541000+00:00,11253,18,5.788,0.227,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:30.952000+00:00,11253,16,0.901,0.901,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:31.714000+00:00,11253,1,1.703,0.802,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:32.095000+00:00,11253,63,2.046,0.343,1281,2026-07-25T16:31:14.640634Z
