date,session_key,pit_duration,stop_duration,lap_number,lane_duration,driver_number,meeting_key
2026-07-17T15:00:08.821000+00:00,11328,,,1,,77,1290
2026-07-17T15:00:13.647000+00:00,11328,,,1,,63,1290
2026-07-17T15:00:16.563000+00:00,11328,,,1,,11,1290
2026-07-17T15:00:20.178000+00:00,11328,,,1,,43,1290
2026-07-17T15:00:23.625000+00:00,11328,,,1,,12,1290
2026-07-17T15:00:30.851000+00:00,11328,,,1,,23,1290
2026-07-17T15:00:41.657000+00:00,11328,,,1,,16,1290
2026-07-17T15:00:49.851000+00:00,11328,,,1,,44,1290
2026-07-17T15:00:56.437000+00:00,11328,,,1,,30,1290
2026-07-17T15:01:03.104000+00:00,11328,,,1,,41,1290
2026-07-17T15:01:11.567000+00:00,11328,,,1,,6,1290
2026-07-17T15:01:14.977000+00:00,11328,,,1,,27,1290
2026-07-17T15:01:20.522000+00:00,11328,,,1,,3,1290
2026-07-17T15:01:25.418000+00:00,11328,,,1,,5,1290
2026-07-17T15:01:26.787000+00:00,11328,,,1,,14,1290
2026-07-17T15:01:34.451000+00:00,11328,,,1,,1,1290
2026-07-17T15:01:38.404000+00:00,11328,,,1,,31,1290
2026-07-17T15:01:41.522000+00:00,11328,,,1,,18,1290
2026-07-17T15:01:44.586000+00:00,11328,,,1,,10,1290
2026-07-17T15:01:50.996000+00:00,11328,,,1,,87,1290
2026-07-17T15:02:25.541000+00:00,11328,,,1,,55,1290
2026-07-17T15:08:09.624000+00:00,11328,134.7,,3,134.7,27,1290
2026-07-17T15:17:04.182000+00:00,11328,,,6,,10,1290
2026-07-17T15:17:08.981000+00:00,11328,,,6,,41,1290
2026-07-17T15:17:14.425000+00:00,11328,680.5,,3,680.5,30,1290
2026-07-17T15:17:19.768000+00:00,11328,,,6,,31,1290
2026-07-17T15:17:26.430000+00:00,11328,,,5,,1,1290
2026-07-17T15:17:30.242000+00:00,11328,,,6,,5,1290
2026-07-17T15:17:44.326000+00:00,11328,,,6,,6,1290
2026-07-17T15:17:51.231000+00:00,11328,716.2,,5,716.2,27,1290
2026-07-17T15:17:53.072000+00:00,11328,,,6,,14,1290
2026-07-17T15:18:11.752000+00:00,11328,,,6,,23,1290
2026-07-17T15:18:15.524000+00:00,11328,,,6,,18,1290
2026-07-17T15:18:21.240000+00:00,11328,,,6,,3,1290
2026-07-17T15:18:28.346000+00:00,11328,,,6,,12,1290
2026-07-17T15:19:31.945000+00:00,11328,,,6,,43,1290
2026-07-17T15:19:46.310000+00:00,11328,,,1,,81,1290
2026-07-17T15:19:49.380000+00:00,11328,,,6,,63,1290
2026-07-17T15:20:23.263000+00:00,11328,,,6,,55,1290
2026-07-17T15:20:55.603000+00:00,11328,,,6,,44,1290
2026-07-17T15:21:06.208000+00:00,11328,,,6,,16,1290
2026-07-17T15:21:09.862000+00:00,11328,593.9,,6,593.9,11,1290
2026-07-17T15:25:12.589000+00:00,11328,,,7,,77,1290
