date,session_key,pit_duration,stop_duration,lap_number,lane_duration,driver_number,meeting_key
2026-07-17T15:26:17.452000+00:00,11328,196.3,,9,196.3,41,1290
2026-07-17T15:26:18.562000+00:00,11328,26.7,,9,26.7,63,1290
2026-07-17T15:26:22.762000+00:00,11328,27.0,,9,27.0,43,1290
2026-07-17T15:26:25.029000+00:00,11328,169.7,,9,169.7,31,1290
2026-07-17T15:26:29.688000+00:00,11328,,,6,,87,1290
2026-07-17T15:26:54.459000+00:00,11328,205.8,,8,205.8,1,1290
2026-07-17T15:27:52.545000+00:00,11328,102.0,,9,102.0,55,1290
2026-07-17T15:29:18.997000+00:00,11328,81.1,,9,81.1,16,1290
2026-07-17T15:29:22.442000+00:00,11328,288.0,,9,288.0,3,1290
2026-07-17T15:29:34.271000+00:00,11328,290.8,,9,290.8,18,1290
2026-07-17T15:29:36.803000+00:00,11328,191.5,,10,191.5,14,1290
2026-07-17T15:29:42.645000+00:00,11328,133.8,,11,133.8,10,1290
2026-07-17T15:29:44.026000+00:00,11328,336.7,,9,336.7,6,1290
2026-07-17T15:30:15.737000+00:00,11328,155.1,,8,155.1,30,1290
2026-07-17T15:32:51.175000+00:00,11328,409.1,,4,409.1,81,1290
2026-07-17T15:33:04.037000+00:00,11328,383.1,,9,383.1,27,1290
2026-07-17T15:33:34.083000+00:00,11328,390.5,,10,390.5,23,1290
2026-07-17T15:33:42.565000+00:00,11328,537.6,,9,537.6,12,1290
2026-07-17T15:34:29.332000+00:00,11328,488.3,,10,488.3,5,1290
2026-07-17T15:34:38.582000+00:00,11328,286.5,,10,286.5,11,1290
2026-07-17T15:37:26.618000+00:00,11328,309.1,,12,309.1,63,1290
2026-07-17T15:38:04.386000+00:00,11328,255.7,,12,255.7,55,1290
2026-07-17T15:38:22.205000+00:00,11328,338.3,,11,338.3,1,1290
2026-07-17T15:39:45.343000+00:00,11328,27.7,,13,27.7,23,1290
2026-07-17T15:40:40.893000+00:00,11328,315.2,,12,315.2,16,1290
2026-07-17T15:40:43.155000+00:00,11328,273.3,,12,273.3,77,1290
2026-07-17T15:41:06.376000+00:00,11328,536.2,,11,536.2,44,1290
2026-07-17T15:41:09.669000+00:00,11328,301.8,,14,301.8,10,1290
2026-07-17T15:41:19.494000+00:00,11328,236.8,,14,236.8,43,1290
2026-07-17T15:41:25.336000+00:00,11328,274.2,,14,274.2,41,1290
2026-07-17T15:43:11.305000+00:00,11328,262.6,,7,262.6,81,1290
2026-07-17T15:44:19.442000+00:00,11328,258.3,,15,258.3,31,1290
2026-07-17T15:44:29.575000+00:00,11328,227.0,,12,227.0,87,1290
2026-07-17T15:58:02.298000+00:00,11328,1312.6,,15,1312.6,77,1290
2026-07-17T15:58:04.577000+00:00,11328,1692.5,,16,1692.5,11,1290
2026-07-17T15:58:07.606000+00:00,11328,1244.9,,16,1244.9,43,1290
2026-07-17T15:58:09.228000+00:00,11328,889.5,,14,889.5,5,1290
2026-07-17T15:58:14.147000+00:00,11328,973.6,,13,973.6,27,1290
2026-07-17T15:58:18.264000+00:00,11328,1097.2,,16,1097.2,31,1290
2026-07-17T15:58:19.420000+00:00,11328,1056.8,,13,1056.8,87,1290
2026-07-17T15:58:22.902000+00:00,11328,1074.7,,14,1074.7,18,1290
2026-07-17T15:58:24.335000+00:00,11328,802.8,,16,802.8,14,1290
2026-07-17T15:58:26.290000+00:00,11328,1055.2,,13,1055.2,30,1290
2026-07-17T15:58:27.571000+00:00,11328,1478.8,,16,1478.8,55,1290
2026-07-17T15:58:29.805000+00:00,11328,1298.6,,17,1298.6,41,1290
2026-07-17T15:58:31.848000+00:00,11328,1386.1,,15,1386.1,16,1290
2026-07-17T15:58:33.418000+00:00,11328,1155.6,,16,1155.6,23,1290
2026-07-17T15:58:35.176000+00:00,11328,1551.2,,15,1551.2,1,1290
2026-07-17T15:58:40.738000+00:00,11328,1192.0,,8,1192.0,81,1290
2026-07-17T15:58:43.856000+00:00,11328,1593.8,,13,1593.8,44,1290
2026-07-17T15:58:45.062000+00:00,11328,2050.5,,18,2050.5,3,1290
2026-07-17T15:58:47.187000+00:00,11328,2079.9,,17,2079.9,6,1290
2026-07-17T15:58:54.998000+00:00,11328,1597.4,,17,1597.4,63,1290
2026-07-17T15:59:01.666000+00:00,11328,2056.7,,15,2056.7,12,1290
